 	on	extrait	de	l'	huile	de	la	datte	lekolo	</S>
a66	0.289348	0.210114	0.124332	0.0897203	0.0950791	0.0804426	0.0502546	0.0326704	0.0176437	0.010395
a87	0.279047	0.116953	0.0669886	0.0542323	0.0722538	0.100859	0.0928778	0.0914298	0.0671528	0.0582057
a97	0.0728678	0.104938	0.12854	0.13839	0.152355	0.131137	0.0992605	0.0678532	0.0553554	0.0493021
a99	0.0566573	0.0981821	0.143742	0.192262	0.175803	0.114164	0.0824544	0.0612866	0.0427308	0.0327184
a83	0.0686533	0.143963	0.158687	0.180998	0.144292	0.112343	0.0774773	0.049767	0.0366823	0.0271376
a62	0.15246	0.16323	0.131689	0.129906	0.100005	0.0895276	0.0639919	0.0662672	0.0613918	0.0415316
a96	0.149633	0.135263	0.156076	0.170021	0.109488	0.120139	0.0747506	0.0337224	0.0264054	0.0245018
a66	0.116881	0.126471	0.163513	0.184022	0.13512	0.120426	0.0759029	0.0316845	0.0226214	0.0233577
a44	0.0702605	0.0976558	0.141504	0.170911	0.142113	0.120652	0.0933756	0.0542775	0.0499237	0.0593279
a93	0.0736064	0.115214	0.150526	0.17448	0.126895	0.106887	0.0833839	0.0487254	0.052054	0.0682285
a56	0.0603533	0.100612	0.137795	0.155283	0.134376	0.140117	0.116801	0.0599869	0.0463758	0.0483005
a93	0.0703818	0.105876	0.11955	0.126211	0.122468	0.145477	0.135319	0.0843584	0.0501041	0.0402561
a98	0.067254	0.088392	0.100155	0.104737	0.118496	0.151273	0.150824	0.109784	0.0641861	0.0448981
a47	0.0455882	0.0513772	0.0642129	0.0755968	0.0940133	0.127586	0.171698	0.157802	0.123877	0.0882497
a36	0.0192443	0.0231517	0.0357816	0.0449717	0.0625479	0.085763	0.132635	0.185554	0.200351	0.21
a98	0.0147699	0.0163958	0.0290893	0.0309963	0.0466677	0.065681	0.0957403	0.200272	0.257565	0.242823
a47	0.00801253	0.00969502	0.0167896	0.0224106	0.0438813	0.0662051	0.107885	0.23264	0.256973	0.235509
a79	0.00397061	0.00520012	0.00938275	0.0115207	0.0196513	0.0294233	0.0542856	0.173979	0.291469	0.401118
a44	0.0014268	0.00168848	0.00335223	0.00458904	0.0101921	0.0212549	0.0435837	0.178514	0.331761	0.403638
a90	0.000877244	0.000751435	0.00153617	0.00211414	0.0050179	0.0109791	0.0253967	0.151016	0.354929	0.447382
a54	0.00105352	0.000802115	0.00190714	0.00278487	0.00651257	0.0130248	0.0266818	0.129066	0.306371	0.511796
a36	0.000253014	0.00024305	0.000698506	0.00115325	0.00287009	0.00620097	0.0147673	0.09879	0.255839	0.619185
a26	0.00023408	0.000147067	0.000318325	0.000450226	0.00107667	0.00274286	0.00671636	0.0601379	0.253298	0.674878
a57	0.00253366	0.00129086	0.00159757	0.00159062	0.00335654	0.00520064	0.00981619	0.103907	0.350315	0.520392
a3	0.0262269	0.020935	0.0164888	0.0126471	0.0160027	0.0222369	0.0311125	0.139512	0.242029	0.472809
a97	0.0205533	0.0151697	0.0115354	0.00962969	0.0114577	0.0143354	0.0179812	0.104028	0.246493	0.548817
a3	0.0236424	0.0173017	0.0137648	0.011663	0.0135336	0.0172766	0.02145	0.103154	0.249844	0.52837
a97	0.0242287	0.0230001	0.0285777	0.0265523	0.0332084	0.0457839	0.052364	0.11101	0.200288	0.454987
a82	0.0394887	0.0423525	0.0476131	0.0384697	0.0441348	0.063273	0.0705829	0.0994516	0.168949	0.385685
</S>	0.0276765	0.0221568	0.0243413	0.0186976	0.022643	0.0435788	0.0576412	0.0776986	0.176806	0.52876
