 	j'	envisage	de	rentrer	au	pays	</S>
a85	0.359869	0.14221	0.188286	0.152036	0.0893236	0.0418763	0.0263994
a66	0.363042	0.0766731	0.121934	0.120092	0.120897	0.122973	0.0743889
a87	0.377535	0.151994	0.120175	0.0895932	0.0726998	0.0778348	0.110167
a23	0.520089	0.226604	0.0966016	0.0483901	0.0310993	0.0343496	0.0428662
a97	0.481703	0.213222	0.0921083	0.0502474	0.041517	0.0534487	0.0677533
a82	0.328666	0.211167	0.125183	0.0771145	0.0689878	0.0909175	0.0979644
a38	0.311565	0.210961	0.128091	0.0754072	0.067816	0.0939686	0.112191
a54	0.375083	0.19772	0.084447	0.055217	0.0618238	0.0980442	0.127666
a6	0.399407	0.285027	0.119139	0.0582812	0.0407769	0.0402417	0.0571265
a36	0.224257	0.287601	0.177624	0.10168	0.0722091	0.063748	0.0728805
a37	0.229274	0.303961	0.171605	0.0938353	0.0634871	0.0568674	0.0809704
a96	0.246709	0.344702	0.168191	0.0850672	0.0533488	0.0441226	0.0578591
a50	0.19411	0.300322	0.174357	0.0983893	0.0706609	0.0682381	0.093922
a0	0.195678	0.28283	0.171096	0.101694	0.0765968	0.0736283	0.0984771
a75	0.14247	0.212858	0.202968	0.129506	0.0949037	0.0930022	0.124292
a90	0.0663987	0.10507	0.17029	0.173007	0.174263	0.147659	0.163313
a25	0.0719988	0.112933	0.218878	0.190469	0.155178	0.12361	0.126934
a15	0.0363377	0.0520791	0.152366	0.19322	0.187961	0.181963	0.196074
a47	0.0246278	0.0280995	0.0868551	0.159356	0.218882	0.233752	0.248428
a37	0.0179841	0.019863	0.0608334	0.134979	0.214622	0.251277	0.300441
a94	0.0184349	0.0184805	0.0537321	0.153897	0.228026	0.226402	0.301027
a26	0.011316	0.0127169	0.037459	0.125712	0.216354	0.262462	0.33398
a11	0.00991078	0.00825347	0.0239705	0.101067	0.224138	0.2867	0.34596
a56	0.00793507	0.00663908	0.018175	0.0728104	0.182148	0.313467	0.398825
a75	0.00393756	0.00457899	0.0175199	0.0609685	0.159904	0.320757	0.432333
a92	0.00227069	0.00320241	0.0123176	0.0475403	0.141384	0.292202	0.501083
a47	0.00146964	0.00196141	0.00863401	0.0378158	0.123324	0.300967	0.525828
a26	0.00095434	0.00117129	0.00446291	0.0230804	0.081841	0.270693	0.617797
a44	0.00354889	0.0021539	0.00448481	0.0173979	0.0777305	0.349436	0.545248
a4	0.00226571	0.00152764	0.00360972	0.0138069	0.0672124	0.371967	0.539611
a57	0.000739097	0.000632468	0.00222578	0.0114777	0.0614072	0.347971	0.575547
a3	0.0123026	0.00751566	0.0119352	0.0277465	0.0846228	0.321369	0.534509
a99	0.0626355	0.02502	0.0248075	0.0432509	0.10286	0.279911	0.461515
a87	0.129343	0.0474871	0.0406342	0.0594673	0.11055	0.243529	0.368989
a23	0.122025	0.0436085	0.04097	0.0715303	0.119432	0.256379	0.346056
a87	0.120343	0.0418145	0.0330921	0.0593975	0.10539	0.200569	0.439395
a23	0.0403327	0.0221837	0.0274105	0.0546543	0.0874427	0.201272	0.566704
a87	0.0718568	0.0336218	0.0390489	0.0730032	0.109865	0.2144	0.458204
</S>	0.0457484	0.0238401	0.0309577	0.060199	0.0918897	0.188504	0.558861
