 	il	a	donné	de	la	viande	au	chien	</S>
a23	0.263973	0.269432	0.183972	0.0859987	0.0552101	0.0453563	0.0375863	0.0297419	0.0287296
a30	0.233979	0.221767	0.162525	0.110324	0.081245	0.0474586	0.0415397	0.0458301	0.0553323
a53	0.167574	0.156368	0.157611	0.136096	0.105797	0.0635667	0.0573192	0.0685987	0.0870687
a20	0.29126	0.283054	0.195435	0.0812191	0.0472311	0.0411888	0.0253917	0.0187417	0.016478
a30	0.244705	0.234946	0.251164	0.138715	0.0814734	0.0318937	0.00989205	0.00439614	0.00281461
a57	0.217526	0.213933	0.228601	0.156151	0.113623	0.0481154	0.0128709	0.00544768	0.00373214
a40	0.219208	0.168923	0.173541	0.16777	0.129148	0.0639339	0.029103	0.0224217	0.025951
a30	0.175179	0.162564	0.187168	0.19209	0.154156	0.067725	0.0261426	0.0171584	0.0178174
a57	0.20674	0.161765	0.149543	0.1641	0.159231	0.0951116	0.0315872	0.0165164	0.0154066
a38	0.147857	0.123023	0.115632	0.156681	0.171373	0.125907	0.0565446	0.041716	0.0612674
a41	0.126314	0.114149	0.112382	0.141238	0.160863	0.142212	0.0716324	0.0540592	0.07715
a94	0.158115	0.153095	0.138091	0.153081	0.143673	0.118789	0.0675862	0.0368716	0.0306989
a66	0.115668	0.11909	0.110936	0.137788	0.146591	0.145101	0.103477	0.0640676	0.0572818
a38	0.083684	0.0825817	0.0825381	0.114256	0.13098	0.142889	0.12873	0.112834	0.121508
a14	0.0441076	0.0528758	0.0614924	0.0908118	0.109169	0.159033	0.164641	0.153798	0.164072
a35	0.0313948	0.0356485	0.0366891	0.0452927	0.0563902	0.119345	0.203198	0.241291	0.230751
a66	0.0162382	0.0172	0.0176768	0.0214263	0.0307742	0.0999529	0.220321	0.298964	0.277447
a24	0.00926607	0.00992363	0.0118823	0.0154914	0.0214877	0.0663433	0.170804	0.303174	0.391628
a41	0.00448585	0.00382137	0.00374453	0.0043321	0.00622397	0.0249115	0.11697	0.320209	0.515301
a24	0.00509832	0.00440325	0.00420342	0.00488046	0.00683197	0.0292214	0.132749	0.353364	0.459249
a50	0.0033374	0.00262182	0.00249435	0.00297269	0.0044127	0.0179086	0.0913574	0.31231	0.562585
a62	0.00502362	0.0039146	0.00354915	0.00361262	0.00488226	0.0171422	0.0763135	0.288798	0.596764
a41	0.00429475	0.00366555	0.0035215	0.00368031	0.00503331	0.0149555	0.0662851	0.278751	0.619813
a14	0.00318663	0.00239349	0.00207999	0.00263969	0.00443733	0.0220527	0.0964818	0.301767	0.564961
a35	0.00493131	0.00379183	0.00310105	0.00360446	0.0054475	0.0263229	0.10851	0.311046	0.533245
a73	0.00518444	0.00375449	0.00286755	0.00331016	0.00497545	0.0224524	0.0923341	0.29194	0.573181
a57	0.00774663	0.00607938	0.0050069	0.0051103	0.00688778	0.0280972	0.0984402	0.277779	0.564852
a87	0.0164137	0.0112436	0.00699764	0.00593402	0.00820219	0.0249281	0.0688745	0.200624	0.656783
a23	0.0314321	0.025796	0.0181148	0.0151338	0.0209427	0.0503156	0.118914	0.245977	0.473374
a87	0.029145	0.0255242	0.0214979	0.0213897	0.031098	0.0682666	0.157356	0.266694	0.379029
</S>	0.0244702	0.0191634	0.0154694	0.0161564	0.0253532	0.0669408	0.161663	0.267584	0.403199
