 	les	feuilles	bougent	avec	le	vent	</S>
a87	0.57312	0.256203	0.103425	0.0208803	0.0125143	0.0139442	0.0199127
a23	0.539531	0.173287	0.0486066	0.0361766	0.0479905	0.0701785	0.0842299
a40	0.294603	0.205314	0.153173	0.101025	0.0789549	0.08732	0.0796098
a36	0.498889	0.231453	0.111309	0.0340619	0.0278168	0.0437078	0.0527628
a43	0.27388	0.290673	0.289685	0.0901084	0.034625	0.0147844	0.00624339
a24	0.121189	0.207274	0.472965	0.130346	0.0393102	0.0186409	0.0102753
a62	0.0915957	0.134746	0.309069	0.258531	0.128388	0.0500185	0.0276513
a88	0.0663143	0.0861261	0.204639	0.255079	0.2095	0.116579	0.0617631
a24	0.0391445	0.0423335	0.0869404	0.168301	0.293032	0.2223	0.147949
a62	0.0295987	0.03043	0.0649167	0.118465	0.258585	0.306987	0.191017
a75	0.0187652	0.0171073	0.0282815	0.0580552	0.184606	0.390337	0.302848
a92	0.0103274	0.0130646	0.0222531	0.0467542	0.132509	0.347425	0.427667
a79	0.00822039	0.0128437	0.020122	0.0436159	0.101799	0.305851	0.507548
a69	0.00451463	0.00531598	0.00672273	0.0189853	0.0601863	0.316155	0.58812
a58	0.00111516	0.00102723	0.00116293	0.00500637	0.0288822	0.273708	0.689098
a44	0.00290767	0.00224552	0.00250873	0.011747	0.0565501	0.283707	0.640334
a57	0.00389868	0.00429904	0.00400836	0.0189426	0.0836914	0.324375	0.560785
a82	0.0138395	0.00912988	0.00525388	0.0104353	0.0366451	0.203324	0.721372
a87	0.117068	0.055684	0.0344053	0.0371623	0.0663262	0.194865	0.494489
a23	0.395977	0.191426	0.0877862	0.0552462	0.0572894	0.087779	0.124496
a87	0.317534	0.1768	0.0991286	0.0707875	0.0704232	0.115923	0.149403
a97	0.118955	0.0639219	0.0413912	0.0455963	0.0708337	0.22531	0.433992
</S>	0.160359	0.128956	0.0675057	0.0559439	0.0671888	0.194093	0.325953
