 	que	la	saison	sèche	arrive	pour	que	je	parte	pêcher	à	l'	écope	</S>
a66	0.0848612	0.0816938	0.0709397	0.158405	0.186389	0.149106	0.110259	0.07721	0.0441284	0.0114114	0.00875925	0.00705705	0.00531452	0.00446553
a87	0.219565	0.132545	0.116493	0.102853	0.0786258	0.0619485	0.0627118	0.0491253	0.0546618	0.0335744	0.0336189	0.0256662	0.0165484	0.0120626
a23	0.158391	0.117645	0.11418	0.12566	0.0952507	0.0694321	0.0671913	0.0489636	0.0788449	0.0343779	0.0287246	0.0241657	0.0195462	0.0176273
a62	0.126474	0.110025	0.131231	0.114387	0.0626981	0.0341951	0.0372487	0.0436705	0.113372	0.0712113	0.0590587	0.0453046	0.0277184	0.0234051
a34	0.17644	0.152841	0.162636	0.136728	0.0874871	0.0475471	0.0384693	0.0404003	0.0453312	0.0216767	0.0245896	0.0268147	0.0208392	0.0182
a93	0.216755	0.208047	0.212464	0.106697	0.0764216	0.03242	0.0295762	0.03804	0.0382432	0.0126934	0.0109628	0.00868252	0.00516786	0.00382972
a90	0.148299	0.16713	0.176263	0.0874097	0.0728301	0.0449886	0.0493208	0.064245	0.0900684	0.0361127	0.0259297	0.0179796	0.0109403	0.00848314
a25	0.118828	0.130902	0.157163	0.0850199	0.0914067	0.0475729	0.0443737	0.0555134	0.101839	0.0540962	0.0390831	0.0307992	0.022384	0.0210189
a5	0.0623355	0.0816094	0.0952835	0.0707411	0.103625	0.0725122	0.0669929	0.0831099	0.126527	0.0698631	0.0497673	0.0424852	0.0372286	0.0379192
a23	0.139209	0.128315	0.119996	0.0905586	0.104913	0.059641	0.0449046	0.0488903	0.0620667	0.0484393	0.0410371	0.0351992	0.037107	0.0397241
a21	0.0838831	0.0900289	0.10703	0.100281	0.11551	0.0778908	0.0535657	0.0476093	0.053096	0.046817	0.0492297	0.0480379	0.0594292	0.067592
a85	0.0401909	0.0503246	0.0675292	0.103009	0.148839	0.127701	0.089581	0.0669477	0.0552381	0.0371436	0.040891	0.0426927	0.059441	0.070471
a47	0.0176846	0.0234978	0.0357201	0.0504523	0.0724862	0.0830986	0.0769589	0.0820457	0.117481	0.0824177	0.082923	0.0754567	0.0887948	0.110982
a98	0.0208078	0.0272581	0.033155	0.0988856	0.101632	0.110498	0.0642956	0.0522947	0.0630922	0.0686362	0.0755138	0.0753833	0.0958676	0.112679
a47	0.01807	0.0231435	0.0310502	0.0808406	0.0893324	0.108358	0.0816292	0.0812933	0.0982303	0.0687405	0.0717283	0.068833	0.0825589	0.0961913
a92	0.0108193	0.0134942	0.0171811	0.0613262	0.0669351	0.0866506	0.0549279	0.0475846	0.0664522	0.064021	0.0755482	0.0885762	0.150359	0.196124
a5	0.00387925	0.00460897	0.00553561	0.0264271	0.0444976	0.0811228	0.0794838	0.0750125	0.0974322	0.0918348	0.104535	0.104432	0.132875	0.148323
a12	0.00392335	0.00415372	0.00454894	0.0228414	0.0429391	0.0884248	0.0851592	0.0679369	0.0740908	0.0812838	0.115807	0.125055	0.141416	0.14242
a18	0.0031504	0.00293014	0.00283261	0.00931337	0.0190619	0.048819	0.0574513	0.0529364	0.0776585	0.0946495	0.134149	0.150378	0.169363	0.177306
a62	0.00302609	0.00273731	0.00231469	0.00706878	0.0109825	0.0273382	0.0287958	0.0229953	0.0373449	0.0444593	0.0787621	0.129295	0.258048	0.346832
a88	0.00230725	0.00208127	0.0018867	0.00416602	0.00715185	0.0190618	0.0262929	0.0245209	0.0369276	0.0467909	0.0845593	0.135359	0.251452	0.357443
a90	0.0014841	0.00131812	0.00108266	0.00372266	0.0052264	0.0137504	0.0164804	0.0138916	0.0260542	0.0310784	0.0591165	0.112893	0.263158	0.450743
a69	0.000543578	0.000431863	0.000344423	0.0014357	0.00203216	0.00540107	0.00749342	0.00739693	0.0122963	0.0222445	0.0603091	0.126913	0.290869	0.462289
a58	0.000261265	0.000190411	0.000143897	0.000659759	0.000692571	0.00210549	0.00301049	0.00374629	0.00854444	0.0205063	0.0552986	0.123975	0.307323	0.473542
a82	0.0030725	0.00234326	0.00194296	0.0053728	0.00557274	0.0133917	0.0122274	0.00846768	0.0129291	0.0287	0.0528	0.100915	0.275	0.477265
a87	0.0346213	0.024504	0.0184214	0.0373587	0.0473151	0.0816827	0.0892245	0.061346	0.0839712	0.0595159	0.057912	0.0717219	0.120149	0.212256
a23	0.107653	0.0683122	0.0617326	0.0881651	0.107202	0.121031	0.124683	0.0765686	0.0674562	0.0367145	0.0313274	0.034563	0.0370764	0.0375146
a99	0.0101779	0.00557178	0.00434274	0.00415024	0.0050532	0.00878543	0.01742	0.0189597	0.0445134	0.11087	0.193152	0.23546	0.182949	0.158594
a27	0.00534344	0.0031983	0.00281613	0.00389059	0.00547342	0.0100144	0.0208569	0.0250531	0.0571595	0.121432	0.183266	0.199969	0.182393	0.179133
</S>	0.00134138	0.00100695	0.00111465	0.00227202	0.00296814	0.00584713	0.0130579	0.0193571	0.0534828	0.134645	0.186699	0.188401	0.194662	0.195146
