 	les	mauvaises	herbes	se	sont	répandues	dans	la	cour	</S>
a10	0.207979	0.143187	0.0987753	0.104029	0.108042	0.0978555	0.102826	0.0639568	0.0419299	0.0314193
a9	0.132132	0.101848	0.0730468	0.121766	0.149642	0.168106	0.118712	0.0669884	0.0415558	0.0262026
a83	0.206467	0.147565	0.0946018	0.104725	0.0840382	0.0852637	0.0939053	0.0676027	0.0646	0.0512318
a34	0.239105	0.233175	0.11502	0.107651	0.0809189	0.0601052	0.047761	0.0369317	0.037992	0.0413394
a56	0.32233	0.303724	0.164584	0.109961	0.0547404	0.026581	0.0087415	0.0040766	0.00282085	0.00244086
a96	0.274948	0.294183	0.193444	0.128467	0.0609465	0.0279561	0.00902115	0.00433086	0.0033007	0.00340327
a75	0.22468	0.282013	0.231183	0.13451	0.0634752	0.0313063	0.0130036	0.0077603	0.00621123	0.0058568
a96	0.253999	0.252225	0.212788	0.118393	0.0692636	0.0459068	0.0199461	0.0111989	0.00833216	0.00794781
a75	0.189233	0.202083	0.218535	0.143554	0.0987075	0.061282	0.032449	0.0223732	0.017132	0.0146512
a88	0.173245	0.147963	0.165293	0.144605	0.124757	0.0961891	0.0533789	0.0378978	0.0290428	0.0276282
a75	0.0999331	0.0832553	0.110962	0.134017	0.157389	0.133388	0.091449	0.0761854	0.0599579	0.0534645
a85	0.0916214	0.062704	0.0878731	0.125203	0.167483	0.139698	0.0971738	0.0849487	0.0715287	0.0717666
a98	0.0591585	0.0431913	0.0617407	0.098933	0.136554	0.146619	0.134909	0.120659	0.0991293	0.099106
a85	0.0327067	0.0195248	0.0292672	0.0548076	0.102317	0.11538	0.142995	0.160353	0.157356	0.185293
a43	0.0260726	0.0169301	0.0244402	0.042408	0.0726385	0.0972229	0.157259	0.186182	0.186224	0.190622
a11	0.0194249	0.0114269	0.0124142	0.01783	0.0343596	0.0501655	0.115194	0.192343	0.251794	0.295049
a75	0.00759454	0.00410653	0.00527819	0.00760051	0.0155154	0.0260196	0.0781471	0.157961	0.289374	0.408403
a85	0.0121883	0.00560258	0.00650995	0.00828122	0.0133991	0.0200272	0.058458	0.142356	0.272019	0.461159
a66	0.0116255	0.00625001	0.00770152	0.0096701	0.0133196	0.0227537	0.0587747	0.135601	0.265459	0.468845
a75	0.00172021	0.000959701	0.00138709	0.00207885	0.00399563	0.010454	0.0355594	0.0982372	0.284323	0.561285
a5	0.00363543	0.00186233	0.00267723	0.00369212	0.0059239	0.0124754	0.03865	0.097124	0.267434	0.566526
a96	0.00243105	0.00129211	0.00167408	0.00230823	0.00394766	0.0105468	0.0307948	0.0809856	0.25688	0.609139
a62	0.00106948	0.000627866	0.00102035	0.00174237	0.00368948	0.00931166	0.0324068	0.0922511	0.255378	0.602503
a83	0.00140921	0.000948815	0.00141417	0.00228061	0.00437177	0.0119228	0.0325589	0.089341	0.249933	0.60582
a9	0.00236802	0.00159979	0.00243587	0.00371729	0.00654494	0.0152457	0.043297	0.101649	0.2495	0.573642
a87	0.0222622	0.0148255	0.0151603	0.0192779	0.0247798	0.0336726	0.0511713	0.105514	0.229102	0.484234
a23	0.0662258	0.0431751	0.0275068	0.0398577	0.0524639	0.0786038	0.119035	0.175952	0.191652	0.205527
a87	0.0819634	0.04727	0.0335806	0.0401868	0.0534104	0.0898377	0.13717	0.178322	0.176227	0.162033
a10	0.0124745	0.00777302	0.00745358	0.0128923	0.0261309	0.0535444	0.104552	0.171142	0.255492	0.348545
a87	0.0605638	0.0434734	0.0284055	0.0397775	0.0558059	0.0961662	0.137522	0.155008	0.179127	0.20415
a23	0.0441847	0.0346211	0.0228417	0.0329136	0.0501694	0.09721	0.151208	0.172049	0.19272	0.202083
a87	0.0230217	0.0152259	0.0134275	0.018768	0.0322109	0.0603938	0.116167	0.193975	0.241323	0.285487
</S>	0.0158486	0.00877424	0.00969703	0.0147	0.024671	0.0512749	0.104029	0.164571	0.253868	0.352567
