 	il	attache	le	cabri	a	l'	arbre	</S>
a87	0.469281	0.224349	0.103333	0.0465453	0.0354813	0.0323168	0.0415217	0.0471718
a23	0.314694	0.112846	0.0962154	0.0806273	0.0816529	0.0816957	0.09976	0.132509
a30	0.170168	0.10851	0.106539	0.0876644	0.0832678	0.105135	0.144219	0.194496
a20	0.226233	0.137173	0.0830518	0.0488553	0.0434976	0.0661424	0.141748	0.253299
a44	0.469986	0.191108	0.103818	0.0696134	0.0531348	0.0420856	0.0386115	0.0316434
a98	0.46493	0.20325	0.116255	0.0741455	0.0432739	0.0343709	0.0333358	0.0304391
a25	0.26281	0.195447	0.15935	0.129769	0.0811285	0.0605642	0.0549404	0.0559908
a79	0.265657	0.229041	0.183266	0.1389	0.0657012	0.0414	0.0365786	0.0394567
a98	0.180192	0.186389	0.184913	0.160147	0.0895103	0.0632065	0.0624769	0.0731643
a73	0.138567	0.132904	0.159819	0.159649	0.116085	0.0926824	0.0921082	0.108184
a94	0.163334	0.17421	0.205644	0.163683	0.0946323	0.0658144	0.0607685	0.0719132
a54	0.178368	0.193305	0.199369	0.16261	0.0844802	0.0555398	0.0550648	0.0712625
a73	0.116804	0.111814	0.125342	0.120449	0.119962	0.120496	0.123702	0.161431
a44	0.100444	0.114188	0.133463	0.127649	0.114097	0.110327	0.123035	0.176797
a58	0.136221	0.127777	0.130681	0.12735	0.118752	0.112882	0.108374	0.137963
a53	0.0943673	0.10662	0.114763	0.129014	0.132375	0.123158	0.125552	0.17415
a76	0.0912543	0.0832079	0.084715	0.0944619	0.113395	0.143676	0.164847	0.224444
a90	0.051308	0.0408518	0.058506	0.0758671	0.108399	0.163657	0.217925	0.283485
a32	0.0716775	0.0569097	0.0689172	0.089002	0.13358	0.169011	0.178192	0.23271
a90	0.057042	0.0478705	0.0606861	0.0748661	0.109824	0.169182	0.203233	0.277296
a70	0.0669334	0.0582181	0.06892	0.0790765	0.10638	0.167431	0.195076	0.257965
a98	0.0303008	0.0272099	0.0404207	0.0544974	0.0825525	0.162707	0.25357	0.348741
a57	0.0230377	0.0206752	0.0308234	0.0414907	0.0703335	0.153735	0.269933	0.389971
a53	0.00951703	0.0100463	0.0140155	0.0207613	0.0405663	0.117205	0.279694	0.508194
a90	0.0219319	0.0196849	0.0248039	0.0290316	0.05084	0.127052	0.269063	0.457593
a15	0.0228557	0.0166503	0.0185983	0.020752	0.0365222	0.0997036	0.273957	0.510961
a20	0.00899907	0.00967439	0.0147933	0.0194756	0.0359649	0.101516	0.291081	0.518496
a84	0.0100407	0.00837552	0.013376	0.0184972	0.0425381	0.117566	0.289282	0.500324
a87	0.00322574	0.00231043	0.003349	0.00469402	0.0147271	0.0655357	0.270934	0.635224
</S>	0.00729349	0.00366778	0.00560921	0.00956568	0.0334876	0.101807	0.293992	0.544577
