 	cet	enfant	est	un	farceur	</S>
a85	0.510587	0.192433	0.124295	0.0810966	0.0559791	0.0356088
a87	0.443179	0.201987	0.152485	0.0916805	0.0633718	0.0472969
a23	0.309261	0.21133	0.158208	0.110588	0.0884987	0.122114
a87	0.485794	0.209908	0.100183	0.0505879	0.055698	0.0978293
a23	0.36766	0.21977	0.14144	0.0873106	0.0785034	0.105317
a44	0.448529	0.234841	0.107934	0.0557904	0.0689947	0.0839104
a54	0.622838	0.218499	0.0765592	0.0355852	0.0248306	0.0216875
a85	0.288507	0.254122	0.214887	0.121373	0.0717721	0.0493383
a47	0.37815	0.25852	0.173052	0.0894378	0.0564459	0.0443946
a79	0.391621	0.259255	0.167134	0.0796402	0.0522027	0.0501467
a98	0.392727	0.251792	0.17015	0.0828894	0.0539074	0.0485344
a85	0.210335	0.211648	0.191575	0.132142	0.118393	0.135907
a37	0.187926	0.162415	0.164571	0.137659	0.151992	0.195436
a61	0.174857	0.181695	0.209747	0.160371	0.148537	0.124793
a31	0.0970669	0.137203	0.232298	0.235152	0.17744	0.12084
a24	0.0520233	0.0778769	0.16611	0.262249	0.265604	0.176137
a66	0.0388408	0.0475092	0.0875648	0.177731	0.345155	0.3032
a0	0.0261778	0.0310364	0.0621368	0.148129	0.375015	0.357505
a75	0.00659226	0.00879319	0.0241217	0.0821276	0.371308	0.507057
a93	0.00808686	0.0130876	0.0328916	0.0790524	0.308251	0.558631
a4	0.002055	0.00358973	0.011929	0.0462751	0.279971	0.65618
a13	0.00114462	0.00231364	0.0087364	0.0390858	0.260789	0.687931
a99	0.000550839	0.000987587	0.00310486	0.0212996	0.253829	0.720228
a87	0.00295636	0.00416088	0.00915722	0.0419974	0.292616	0.649112
a23	0.163019	0.101621	0.0859312	0.105782	0.231168	0.312479
a10	0.0225521	0.0208596	0.0272332	0.0759163	0.290803	0.562636
a38	0.00508007	0.00821178	0.0182966	0.0598062	0.251859	0.656746
a10	0.0158121	0.020353	0.0299342	0.066154	0.231477	0.63627
a82	0.0143409	0.0178221	0.0277243	0.0648603	0.224669	0.650583
</S>	0.0355138	0.0329967	0.0373081	0.0680982	0.214235	0.611848
