 	la	poule	a	pendu	des	oeufs	dans	la	cuisine	</S>
a66	0.412064	0.19738	0.192871	0.119622	0.0316921	0.0181823	0.00907028	0.00719414	0.00533035	0.00659365
a87	0.272842	0.13908	0.10833	0.10676	0.0781495	0.0847159	0.0481744	0.0396949	0.0467526	0.0755008
a23	0.293833	0.256209	0.316796	0.065547	0.0203398	0.0122396	0.0066036	0.00622349	0.0089748	0.0132332
a56	0.291031	0.277869	0.20499	0.0429276	0.0195324	0.0189473	0.0208895	0.0278856	0.0425968	0.0533304
a75	0.338784	0.275626	0.22939	0.0667736	0.0228137	0.0190251	0.0109442	0.0106394	0.0133132	0.0126909
a85	0.239909	0.253132	0.278627	0.12887	0.0424666	0.0240899	0.00955594	0.00791368	0.00796898	0.00746624
a6	0.0745974	0.116587	0.307276	0.309346	0.10592	0.054021	0.0122931	0.0070068	0.00720717	0.00574492
a37	0.0912644	0.12292	0.216375	0.366404	0.126605	0.0555314	0.0123447	0.00400153	0.00253038	0.00202287
a75	0.110519	0.154261	0.260592	0.276609	0.091671	0.0549796	0.0251164	0.0120698	0.00801921	0.00616381
a85	0.0340476	0.063197	0.21825	0.396634	0.14104	0.0905995	0.030952	0.0120112	0.00755987	0.00570937
a6	0.0240732	0.0444022	0.13296	0.281591	0.137527	0.119041	0.0926185	0.0694652	0.0508201	0.0475029
a36	0.0268271	0.0525299	0.121023	0.29126	0.163872	0.132331	0.0863296	0.0595854	0.0349563	0.0312866
a12	0.00831042	0.0120093	0.0163018	0.0642794	0.0907099	0.128003	0.173843	0.189269	0.164291	0.152983
a18	0.00538288	0.00608982	0.00493764	0.0153577	0.0335234	0.0641041	0.16522	0.240118	0.219825	0.245441
a75	0.00168584	0.00174091	0.002427	0.00729099	0.0112147	0.0211823	0.0849485	0.201982	0.2729	0.394628
a6	0.000406656	0.000516371	0.000739385	0.00660645	0.0118731	0.0206419	0.0918154	0.24271	0.245813	0.378878
a7	0.000182306	0.000240979	0.000449139	0.00480764	0.00785165	0.013328	0.067213	0.206663	0.252389	0.446875
a44	0.000420308	0.00039493	0.00108148	0.00677198	0.00961662	0.0177123	0.0694534	0.210327	0.250264	0.433958
a57	0.000274749	0.000272253	0.0009089	0.00727092	0.0127909	0.0222448	0.0803463	0.203198	0.25987	0.412823
a82	0.00241018	0.0018581	0.00322836	0.00708721	0.0122808	0.0222617	0.0742002	0.174696	0.262355	0.439622
a10	0.176033	0.153578	0.107023	0.0624565	0.0535985	0.0588127	0.0920866	0.114977	0.0848575	0.0965789
a87	0.232498	0.186842	0.207855	0.133587	0.0565292	0.0456233	0.0391557	0.0386353	0.0272245	0.0320486
a23	0.252087	0.199665	0.20311	0.105532	0.0569118	0.0455755	0.0414572	0.0407192	0.0261408	0.0288007
a99	0.017233	0.0162996	0.0232918	0.0303682	0.0347266	0.0629644	0.15514	0.228218	0.168785	0.262973
a38	0.00529996	0.0047513	0.00872537	0.0235551	0.0320038	0.0589404	0.149876	0.199992	0.205239	0.311616
a26	0.0144896	0.0152753	0.0446303	0.053834	0.0489785	0.0666483	0.119345	0.15405	0.1848	0.297949
</S>	0.0170497	0.0181499	0.0680757	0.0538321	0.0375341	0.0480979	0.105213	0.147975	0.189133	0.31494
