 	le	fil	qu'	on	a	utilisé	pour	la	passerelle	est	maintenant	détendu	</S>
a66	0.155228	0.104986	0.0725283	0.0646774	0.0793058	0.121451	0.138891	0.10683	0.0654676	0.0334666	0.0199268	0.0198701	0.0173712
a87	0.387244	0.232892	0.11394	0.0587771	0.0433323	0.0312935	0.0360252	0.0388059	0.0258465	0.0116579	0.00703302	0.00674565	0.00640685
a23	0.385481	0.217185	0.107484	0.0704442	0.0590584	0.031681	0.0295482	0.0393052	0.0255864	0.0138777	0.00807602	0.0062129	0.0060587
a10	0.332165	0.235478	0.126501	0.0694207	0.0532079	0.0256295	0.0161102	0.0203728	0.0253036	0.022032	0.0222126	0.0235479	0.0280194
a24	0.217281	0.177414	0.141533	0.0884972	0.0850136	0.0552848	0.0339583	0.0391093	0.0380083	0.0354875	0.0327854	0.0305654	0.0250625
a83	0.152212	0.139234	0.119523	0.0991727	0.122335	0.0730814	0.0419646	0.0498384	0.0593803	0.0427555	0.0374339	0.0340636	0.0290058
a61	0.14601	0.186888	0.175772	0.1517	0.144804	0.0615521	0.0307098	0.0321277	0.0276384	0.0175054	0.0102072	0.00843824	0.00664728
a5	0.120275	0.181153	0.191651	0.160391	0.162123	0.0602604	0.0268668	0.027928	0.0271809	0.017269	0.0116084	0.00814788	0.00514601
a12	0.100802	0.149153	0.16091	0.154896	0.18087	0.0666839	0.0354432	0.0410489	0.0458275	0.027687	0.0173816	0.0117162	0.00758063
a18	0.0962447	0.134821	0.142755	0.150215	0.192796	0.0925894	0.0468391	0.0453493	0.0394938	0.0243341	0.0149002	0.0108598	0.00880385
a75	0.0477049	0.0586263	0.0662274	0.0812171	0.142053	0.13003	0.0886735	0.0923569	0.0756459	0.0587296	0.0529595	0.0497317	0.0560434
a5	0.0195446	0.0315725	0.0545569	0.101577	0.198091	0.1652	0.0979561	0.0731184	0.0656915	0.0549664	0.0470652	0.0445648	0.0460954
a12	0.0201119	0.0319849	0.0505937	0.088629	0.196689	0.186754	0.128338	0.0939661	0.056922	0.0443971	0.0354514	0.0327764	0.0333866
a18	0.0210646	0.0302359	0.0426133	0.0733718	0.174569	0.20269	0.153841	0.101179	0.0608145	0.0415667	0.0350344	0.0326257	0.0303939
a75	0.0225754	0.0278488	0.0369108	0.0563458	0.120433	0.206205	0.163752	0.112182	0.065952	0.0436297	0.0436703	0.0499976	0.0504979
a85	0.00894995	0.00940747	0.0133958	0.0262665	0.0676712	0.113688	0.129148	0.0994099	0.118469	0.116212	0.105372	0.104932	0.0870784
a37	0.00839257	0.00873386	0.0124809	0.0238503	0.0592471	0.0956875	0.119707	0.0949591	0.116906	0.117288	0.110644	0.114936	0.117168
a61	0.0140061	0.0141592	0.0189429	0.0305103	0.0653023	0.129604	0.160672	0.125713	0.100386	0.077363	0.0728194	0.0921643	0.0983576
a62	0.00788349	0.00983693	0.015577	0.0304009	0.0593471	0.0937562	0.150384	0.1432	0.145537	0.10577	0.0889002	0.085253	0.064153
a83	0.00693286	0.00878947	0.0142539	0.0276422	0.0491589	0.0654191	0.101909	0.108158	0.129697	0.120463	0.125133	0.141328	0.101114
a93	0.0075243	0.00939268	0.0147659	0.0230844	0.0371616	0.0475402	0.063949	0.0728958	0.102645	0.108328	0.159902	0.205586	0.147225
a56	0.00365244	0.00418772	0.00667833	0.0132911	0.0262329	0.0406819	0.0681871	0.0788878	0.112104	0.121885	0.162546	0.210903	0.150762
a96	0.00197279	0.00216984	0.00335535	0.00672019	0.011972	0.0167602	0.0282688	0.0365678	0.0674648	0.100041	0.195474	0.277421	0.251813
a70	0.00225611	0.00261964	0.00418309	0.00766588	0.0117642	0.0135448	0.0199894	0.0259378	0.0523046	0.0762425	0.183175	0.289867	0.31045
a93	0.00154355	0.00170302	0.00268231	0.00471843	0.00711316	0.00839973	0.0117436	0.0161011	0.0400669	0.0661661	0.184909	0.288214	0.36664
a4	0.00101028	0.00109525	0.00163306	0.00288432	0.00447553	0.00625114	0.0102661	0.0155944	0.0396113	0.0644734	0.186542	0.282767	0.383396
a57	0.000312285	0.000276872	0.000395621	0.000765661	0.00144023	0.00245878	0.00439894	0.00684038	0.0243905	0.0452206	0.154581	0.272536	0.486384
a3	0.00082446	0.000767205	0.00100294	0.00140924	0.00222584	0.00314178	0.00525758	0.00727213	0.0190513	0.0379216	0.137367	0.249744	0.534014
a87	0.00787211	0.00696172	0.00890355	0.0134651	0.0188997	0.0152331	0.0216524	0.0251257	0.0447796	0.0847163	0.209573	0.272809	0.270009
a40	0.0240574	0.0129685	0.010437	0.0127358	0.021551	0.0228263	0.0545841	0.0925735	0.130547	0.156207	0.171879	0.169858	0.119776
a37	0.000615648	0.000542055	0.000606743	0.000896197	0.00191363	0.00374858	0.0135024	0.0298879	0.0721862	0.108694	0.206315	0.278451	0.282641
a61	8.18623e-05	8.4011e-05	0.00012613	0.000233788	0.000482149	0.000887796	0.0032526	0.00671813	0.0261949	0.0528522	0.17977	0.316836	0.41248
a34	0.000123906	0.000118793	0.000184657	0.000435331	0.0010418	0.00160209	0.00463857	0.00763582	0.0240846	0.0464904	0.135916	0.254208	0.52352
a56	0.000161678	0.000148523	0.000221439	0.000486673	0.00109259	0.00159802	0.00400502	0.00674376	0.0244292	0.0462714	0.129614	0.238585	0.546642
a44	0.000174549	0.000168125	0.000249238	0.000563483	0.00122634	0.00172514	0.00384819	0.00616208	0.0201436	0.0394815	0.121658	0.230059	0.574542
