 	ne	vous	bagarrez	pas	</S>
a87	0.4164	0.209008	0.261506	0.0635079	0.0495771
a83	0.222141	0.332316	0.195575	0.136133	0.113835
a21	0.305869	0.251233	0.250689	0.0975736	0.0946344
a18	0.459711	0.228739	0.207498	0.0601649	0.0438869
a25	0.398291	0.220581	0.289006	0.0623419	0.029781
a75	0.218928	0.159768	0.257003	0.194929	0.169372
a85	0.222874	0.149173	0.241899	0.21932	0.166735
a41	0.156889	0.142007	0.223925	0.267696	0.209483
a85	0.0711751	0.0794222	0.164373	0.342354	0.342676
a12	0.0436384	0.0557605	0.101924	0.348317	0.45036
a66	0.0371335	0.0527551	0.115373	0.31115	0.483588
a71	0.00930423	0.0165206	0.0407789	0.230267	0.703129
a38	0.00869258	0.0154601	0.0325729	0.150937	0.792337
a83	0.0103327	0.0218749	0.0402609	0.184159	0.743372
a9	0.0262784	0.044775	0.0641452	0.214275	0.650526
a99	0.0853851	0.12105	0.116784	0.185804	0.490977
a87	0.169464	0.224248	0.228445	0.178127	0.199715
a23	0.125489	0.167553	0.179335	0.19979	0.327833
a87	0.0660859	0.075184	0.0923605	0.226206	0.540164
a23	0.0330769	0.0519894	0.0701815	0.222966	0.621787
a87	0.0389853	0.0496822	0.066384	0.220323	0.624625
</S>	0.0430591	0.0683482	0.077246	0.22424	0.587107
