 	il	a	adopté	l'	enfant	orphelin	</S>
a79	0.323029	0.224324	0.113611	0.093657	0.0713088	0.0811923	0.0928777
a15	0.234317	0.120434	0.163173	0.178203	0.10703	0.0939799	0.102863
a14	0.287748	0.188051	0.112632	0.107691	0.0746373	0.105087	0.124153
a44	0.58151	0.279481	0.0485626	0.0245193	0.0143951	0.0253664	0.026166
a38	0.582119	0.280936	0.0577473	0.0228849	0.0142646	0.0192452	0.0228035
a41	0.449618	0.28405	0.0959184	0.0501314	0.0355172	0.0384339	0.0463302
a32	0.440154	0.31767	0.131291	0.0539748	0.022397	0.0164823	0.0180301
a24	0.399441	0.293674	0.143817	0.0592164	0.0324086	0.0324342	0.0390094
a76	0.31781	0.274576	0.154602	0.0767407	0.0552882	0.0568896	0.0640928
a90	0.208409	0.240022	0.241185	0.132173	0.064428	0.0530596	0.0607226
a9	0.260471	0.255035	0.195327	0.108679	0.0625482	0.0561228	0.0618163
a38	0.19147	0.197401	0.181033	0.149355	0.105177	0.0861362	0.0894282
a76	0.111777	0.127398	0.13124	0.163836	0.149792	0.15346	0.162498
a14	0.109806	0.115331	0.104935	0.144843	0.163845	0.180639	0.180602
a35	0.0586735	0.0767597	0.0848279	0.135358	0.18539	0.23329	0.225701
a73	0.0309158	0.040272	0.0454837	0.074946	0.16409	0.312638	0.331655
a94	0.0173877	0.0218211	0.0245244	0.0637416	0.171397	0.35251	0.348619
a76	0.0137615	0.014153	0.0156672	0.0360764	0.125607	0.369001	0.425734
a14	0.0123705	0.0130384	0.0190455	0.0527005	0.172581	0.383844	0.34642
a35	0.0132608	0.0127323	0.0173391	0.0476846	0.155419	0.372132	0.381432
a14	0.00956436	0.00727556	0.0093342	0.0282012	0.106467	0.379404	0.459753
a44	0.00808477	0.00748282	0.00987982	0.0349314	0.129621	0.389372	0.420628
a57	0.00904775	0.00737509	0.0109808	0.0361063	0.112264	0.33058	0.493646
a10	0.0093693	0.00699617	0.00821119	0.0274969	0.0824682	0.298896	0.566562
a11	0.00892461	0.00729483	0.00740484	0.0226396	0.0721477	0.295082	0.586506
a75	0.0205528	0.0156605	0.0146153	0.0302365	0.0765567	0.287642	0.554736
a14	0.0077358	0.00709802	0.00862313	0.0240837	0.0669226	0.291656	0.593881
a41	0.00456507	0.00349743	0.0057565	0.0184441	0.0714893	0.333294	0.562954
a35	0.0108583	0.00756078	0.0110079	0.0296891	0.0891748	0.320654	0.531055
a98	0.00479633	0.00368958	0.00642962	0.0191948	0.0639514	0.298451	0.603487
a83	0.00654367	0.00543907	0.00936645	0.0266111	0.0804075	0.299185	0.572448
a9	0.0103693	0.00919424	0.0167123	0.0458692	0.101769	0.281742	0.534344
a87	0.056954	0.0417299	0.0345602	0.0507387	0.0955904	0.244031	0.476396
</S>	0.0574826	0.0422221	0.029993	0.0415728	0.0893891	0.257739	0.481601
