 	ce	chapeau	m'	appartient	</S>
a23	0.367966	0.228456	0.165853	0.123685	0.11404
a79	0.33739	0.146643	0.224301	0.171022	0.120644
a41	0.420174	0.225587	0.158809	0.109184	0.0862464
a32	0.519216	0.240975	0.125584	0.0673334	0.046892
a25	0.51511	0.242527	0.12551	0.067472	0.0493809
a76	0.386869	0.296381	0.167523	0.0910494	0.0581778
a44	0.394908	0.309175	0.148793	0.0834566	0.0636677
a84	0.433552	0.295921	0.139746	0.0758548	0.0549264
a11	0.188308	0.199371	0.17882	0.219008	0.214492
a24	0.153699	0.180623	0.161645	0.237661	0.266372
a41	0.169604	0.178174	0.18211	0.223173	0.246939
a25	0.115001	0.144872	0.1859	0.25684	0.297387
a87	0.0564808	0.0839641	0.149703	0.297471	0.412382
a23	0.0233832	0.0425847	0.108323	0.256815	0.568894
a41	0.0321019	0.0500569	0.155295	0.276297	0.48625
a32	0.0399904	0.0450411	0.120115	0.267585	0.527268
a71	0.0281744	0.0376956	0.106609	0.253274	0.574247
a38	0.0131072	0.0243287	0.0990462	0.291359	0.572159
a24	0.00879258	0.0132913	0.0621231	0.240803	0.67499
a41	0.00947924	0.0121383	0.0547489	0.219072	0.704562
a94	0.009281	0.0102249	0.0408898	0.18718	0.752424
a98	0.00884226	0.00934247	0.0403386	0.183954	0.757523
a75	0.0114713	0.0123153	0.0465629	0.189654	0.739996
a73	0.0122622	0.0123107	0.0507894	0.19732	0.727318
a57	0.0219921	0.0182611	0.0675321	0.204616	0.687598
a87	0.0815786	0.0761209	0.162397	0.241472	0.438432
</S>	0.056745	0.0683075	0.119094	0.243177	0.512676
