 	il	s'	est	blessé	à	l'	arcade	</S>
a66	0.433527	0.198897	0.113021	0.0680008	0.0698275	0.0570926	0.0335126	0.026122
a87	0.306835	0.220313	0.126314	0.106012	0.109314	0.0665519	0.0430512	0.0216079
a79	0.353097	0.235502	0.129284	0.0892633	0.0698723	0.0461551	0.0463031	0.0305229
a15	0.242579	0.209242	0.128108	0.120111	0.104835	0.0805245	0.0657992	0.048802
a79	0.240776	0.218814	0.157421	0.116863	0.0842595	0.0663837	0.06714	0.0483429
a56	0.251596	0.23825	0.225315	0.13456	0.071164	0.0389165	0.0273301	0.0128673
a44	0.156142	0.218674	0.245927	0.175784	0.0932791	0.0491652	0.0443941	0.0166342
a25	0.0763999	0.125776	0.196685	0.198374	0.140333	0.105501	0.111751	0.0451796
a15	0.103841	0.134875	0.160658	0.144738	0.112996	0.1154	0.152036	0.0754559
a92	0.0395952	0.0492437	0.0940422	0.133203	0.143639	0.175822	0.205519	0.158936
a21	0.0515397	0.0555827	0.0974196	0.147019	0.163643	0.167302	0.169607	0.147886
a12	0.024311	0.0248218	0.0463673	0.0861727	0.141059	0.173042	0.230712	0.273514
a18	0.0156075	0.0154105	0.0276509	0.0559437	0.124978	0.173824	0.235787	0.350798
a43	0.00957034	0.00799757	0.0132789	0.0261755	0.0619801	0.141982	0.208942	0.530073
a88	0.0171757	0.0122623	0.0134832	0.0201658	0.0453827	0.114122	0.208455	0.568953
a71	0.0118025	0.0109873	0.0126376	0.0226534	0.0598159	0.138759	0.201186	0.542158
a9	0.0408153	0.0401186	0.0391726	0.0539438	0.100736	0.132383	0.224506	0.368325
a87	0.219168	0.142628	0.114125	0.109455	0.102726	0.0880771	0.10527	0.118551
a23	0.30989	0.198747	0.125562	0.0958675	0.0841263	0.0667387	0.067059	0.0520096
a87	0.136969	0.0825799	0.0665566	0.0839188	0.117477	0.164811	0.163289	0.184398
a23	0.0333794	0.0229758	0.0253973	0.0459847	0.0872816	0.179898	0.251807	0.353276
</S>	0.0380378	0.0283951	0.0326657	0.0604985	0.105486	0.17724	0.235264	0.322412
