 	l'	enfant	a	cassé	la	calebasse	</S>
a23	0.41607	0.197522	0.11359	0.0854229	0.0699927	0.0586076	0.0587953
a13	0.482844	0.209361	0.135547	0.0680285	0.0442629	0.0273117	0.0326459
a94	0.4098	0.217241	0.128625	0.0604153	0.0473205	0.0483901	0.0882077
a15	0.525547	0.24118	0.120328	0.0486027	0.0302097	0.0175009	0.0166327
a41	0.412104	0.246399	0.155098	0.0678053	0.0480401	0.0344462	0.0361072
a85	0.366318	0.225431	0.154526	0.0786655	0.0619153	0.0528528	0.060291
a37	0.243578	0.187468	0.152231	0.11285	0.105422	0.0978568	0.100594
a12	0.182391	0.176013	0.187801	0.136992	0.112792	0.0938155	0.110196
a66	0.0981881	0.130389	0.188733	0.202817	0.178369	0.106287	0.095217
a90	0.0312709	0.0467299	0.0885146	0.160494	0.215111	0.224046	0.233834
a75	0.0337862	0.0502153	0.0903676	0.175178	0.231668	0.211416	0.207368
a37	0.0315781	0.0420765	0.0622898	0.11655	0.191798	0.254454	0.301254
a75	0.0124417	0.0176955	0.0332704	0.0793996	0.155188	0.286861	0.415143
a37	0.0123371	0.0166824	0.0251725	0.052321	0.114086	0.286274	0.493127
a27	0.00476301	0.00666573	0.0131284	0.0351611	0.0819889	0.251226	0.607066
a11	0.00414776	0.00511005	0.00950229	0.025301	0.0621595	0.222468	0.671312
a90	0.00837103	0.00807149	0.0125053	0.0299394	0.0716304	0.248592	0.620891
a4	0.00213929	0.00284184	0.0054508	0.0169136	0.048517	0.223449	0.700689
a57	0.00157978	0.002048	0.0038933	0.0131373	0.0417726	0.226523	0.711046
a9	0.00149874	0.00196867	0.00381664	0.0124341	0.0396415	0.223923	0.716717
a3	0.0529269	0.0405879	0.0416548	0.0642971	0.102379	0.235693	0.462461
a87	0.125863	0.095799	0.0768043	0.0894339	0.117317	0.201715	0.293068
a23	0.126277	0.103674	0.0878827	0.100564	0.126615	0.194935	0.260053
a87	0.0597896	0.05676	0.0533413	0.0862997	0.136113	0.27186	0.335836
</S>	0.0195066	0.0238106	0.0305869	0.0709132	0.124336	0.278488	0.452359
