 	au	commencement	quand	dieu	créa	l'	homme	celui-ci	était	parfait	</S>
a66	0.10967	0.119067	0.235457	0.192936	0.131003	0.0870927	0.0677905	0.0317454	0.0118661	0.00765986	0.0057125
a87	0.520598	0.119301	0.0956337	0.0816703	0.028974	0.0295673	0.032509	0.0278825	0.0229623	0.02459	0.016312
a23	0.486784	0.182363	0.139894	0.0675436	0.0419011	0.0220147	0.0157633	0.0121603	0.00955836	0.0104136	0.0116035
a50	0.37578	0.194378	0.148194	0.0974828	0.0807994	0.0313125	0.0168478	0.0153693	0.0125621	0.0126102	0.0146643
a83	0.288843	0.195032	0.182761	0.10602	0.0815182	0.0257177	0.0194271	0.0278652	0.0232691	0.0275846	0.0219613
a93	0.394775	0.171343	0.133768	0.115913	0.0925256	0.0219241	0.0144453	0.0203525	0.0138542	0.0133758	0.00772309
a11	0.374602	0.17221	0.136741	0.140431	0.0971232	0.0220763	0.0136168	0.0153801	0.0112483	0.00967715	0.00689419
a0	0.237505	0.170403	0.133261	0.15898	0.128418	0.0476877	0.0280204	0.0298004	0.0267495	0.0215402	0.0176345
a75	0.258511	0.154798	0.118857	0.142763	0.123632	0.0495495	0.0273168	0.0308432	0.0350578	0.0312575	0.0274138
a47	0.142839	0.104419	0.129388	0.186993	0.166069	0.0683711	0.0342958	0.0390581	0.0459841	0.0432547	0.0393283
a85	0.120007	0.101243	0.125249	0.156624	0.180266	0.0819166	0.0357231	0.0352741	0.047562	0.0528036	0.0633311
a5	0.0923376	0.120208	0.134223	0.159451	0.19074	0.105321	0.0478841	0.0307321	0.0317375	0.0373378	0.0500274
a21	0.105687	0.152593	0.184114	0.191046	0.174382	0.0810186	0.0365113	0.0200985	0.0166743	0.0175077	0.0203674
a12	0.0364719	0.104871	0.181882	0.202556	0.195069	0.124032	0.0595064	0.024096	0.0198252	0.0220391	0.0296517
a31	0.0164458	0.0731714	0.200056	0.208724	0.194493	0.133424	0.0653143	0.0272572	0.0230897	0.025272	0.0327526
a21	0.0185202	0.0712471	0.188147	0.200737	0.185641	0.159221	0.0809877	0.028368	0.0204445	0.0209322	0.0257541
a5	0.0110759	0.0468832	0.158042	0.182791	0.196759	0.181131	0.0882964	0.0341821	0.0269371	0.0322403	0.0416616
a61	0.00972809	0.0367612	0.137182	0.144792	0.158199	0.180455	0.112104	0.0481598	0.0434019	0.0550271	0.0741906
a75	0.010617	0.0372684	0.128211	0.139062	0.155456	0.196211	0.1091	0.0465916	0.0403502	0.0560372	0.0810949
a92	0.00370804	0.0126574	0.0564121	0.0553611	0.0730497	0.155732	0.145755	0.0908546	0.107114	0.135473	0.163883
a37	0.00364936	0.0136009	0.0567969	0.0510573	0.0628215	0.164668	0.175583	0.0986634	0.0990746	0.120674	0.153411
a75	0.00938676	0.0209072	0.0690249	0.052938	0.0605384	0.143521	0.14726	0.0887532	0.0822809	0.120057	0.205332
