 	nous	avons	mangé	du	poisson	fumé	</S>
a66	0.489417	0.198442	0.13639	0.102196	0.0488609	0.0127187	0.0119743
a87	0.608214	0.204665	0.0655641	0.0372408	0.0283499	0.0198335	0.0361326
a23	0.54662	0.254516	0.0770263	0.0413749	0.0270936	0.0200566	0.0333125
a10	0.590658	0.217248	0.0459081	0.031601	0.0280185	0.0279666	0.0586001
a87	0.534959	0.208772	0.0556677	0.0387141	0.0387568	0.0427364	0.0803937
a23	0.58354	0.176797	0.0608177	0.0406145	0.0338503	0.0321826	0.0721983
a88	0.49742	0.147674	0.0544991	0.0522447	0.0591151	0.068376	0.12067
a0	0.386115	0.214774	0.0866374	0.0779675	0.0888451	0.0648532	0.0808071
a24	0.332956	0.244978	0.14231	0.102568	0.082531	0.0446843	0.0499719
a12	0.245758	0.215057	0.157089	0.12676	0.110428	0.0716945	0.0732132
a96	0.242747	0.311616	0.187423	0.115153	0.0724799	0.0395811	0.0310005
a31	0.190211	0.293419	0.228845	0.137187	0.0762875	0.0414945	0.0325551
a47	0.134705	0.216831	0.228247	0.17978	0.104149	0.07459	0.061698
a62	0.124524	0.175963	0.203365	0.197597	0.127677	0.0916721	0.079201
a0	0.103674	0.144007	0.238698	0.215379	0.132642	0.0904773	0.0751228
a47	0.0648959	0.0844064	0.164459	0.233285	0.180744	0.142156	0.130052
a12	0.0500508	0.0612193	0.126466	0.214276	0.221258	0.198587	0.128144
a62	0.0331404	0.0397668	0.0726571	0.138257	0.21478	0.291555	0.209843
a96	0.0125977	0.0117333	0.0230625	0.0617714	0.130739	0.330246	0.429849
a93	0.0162202	0.0143636	0.0266839	0.0634605	0.141732	0.330907	0.406633
a4	0.00783332	0.00737077	0.0153887	0.0435694	0.116271	0.31495	0.494617
a70	0.00315654	0.00255921	0.00641318	0.0209167	0.070364	0.276378	0.620213
a50	0.00183755	0.00138817	0.00445559	0.0159895	0.0555861	0.239214	0.681529
a88	0.00178776	0.00135757	0.00640751	0.0173997	0.0517868	0.221534	0.699727
a71	0.00115385	0.000830649	0.00427846	0.0133263	0.0426499	0.209015	0.728746
a9	0.00614374	0.00469435	0.0163017	0.0378122	0.0794561	0.257765	0.597827
a99	0.325348	0.159301	0.121315	0.100014	0.0900924	0.0990154	0.104914
a87	0.223247	0.0969831	0.0835156	0.0836105	0.0993639	0.125869	0.287412
a23	0.187102	0.0774123	0.0613211	0.061297	0.0761356	0.114711	0.422021
a87	0.178291	0.06646	0.0574144	0.0570585	0.0782629	0.110837	0.451676
</S>	0.0190951	0.0112423	0.0152414	0.0286281	0.0649337	0.146113	0.714746
