 	c'	est	bien	toi	qui	a	fait	couler	le	bateau	d'	autrui	</S>
a66	0.186551	0.157321	0.125732	0.0998102	0.0719868	0.0688725	0.0939093	0.103361	0.0493275	0.0205729	0.00916116	0.00671419	0.00667986
a87	0.154695	0.111209	0.0897073	0.0889709	0.0924869	0.120337	0.141149	0.108284	0.0462373	0.014192	0.00933944	0.0107527	0.012639
a23	0.236264	0.181387	0.156163	0.141567	0.0932821	0.0761916	0.0643518	0.0203659	0.00830211	0.00470479	0.00341432	0.00542089	0.00858448
a87	0.196705	0.170572	0.148529	0.151808	0.114304	0.0876209	0.0674688	0.02436	0.00605515	0.00276769	0.00319246	0.00975811	0.0168591
a23	0.20644	0.167235	0.137686	0.127591	0.1011	0.0828266	0.0774026	0.037796	0.0136355	0.00635335	0.006342	0.0137837	0.0218083
a87	0.181159	0.145458	0.12139	0.115082	0.0968136	0.0823031	0.0839402	0.0470948	0.0161916	0.0133214	0.0170045	0.0373795	0.042862
a83	0.174063	0.142797	0.121721	0.121699	0.107667	0.0941037	0.0914617	0.0550356	0.0192326	0.0114695	0.0121301	0.0227574	0.0258631
a61	0.12707	0.130626	0.125353	0.120827	0.101834	0.0808288	0.0942861	0.102107	0.0349171	0.026071	0.0214093	0.0206868	0.0139832
a83	0.100108	0.118579	0.125558	0.125604	0.114399	0.0909684	0.102987	0.125623	0.0461514	0.0175009	0.0117617	0.0118851	0.00887385
a70	0.0556671	0.0677468	0.0827293	0.0962912	0.10845	0.10614	0.122541	0.180278	0.0896709	0.0346305	0.0209066	0.0199106	0.0150382
a61	0.0432467	0.0468951	0.0578081	0.0766719	0.106862	0.121016	0.137505	0.202261	0.118254	0.0394313	0.019129	0.0170177	0.0139008
a0	0.0324803	0.0310264	0.0332759	0.0451983	0.0794143	0.115314	0.139501	0.210159	0.158023	0.0619583	0.0320718	0.0325388	0.0290391
a75	0.0210417	0.0180095	0.017313	0.0259557	0.0564379	0.106529	0.138577	0.207147	0.189985	0.0812604	0.0406583	0.0470493	0.0500357
a85	0.00823523	0.00819569	0.00952324	0.0177025	0.0409364	0.0876356	0.134244	0.160505	0.203573	0.102818	0.063499	0.0774012	0.0857316
a6	0.012118	0.0124826	0.0154615	0.0263092	0.0425969	0.0678414	0.0862095	0.109022	0.176787	0.124683	0.0945635	0.101818	0.130107
a0	0.0192996	0.0159861	0.0149997	0.0225112	0.0427493	0.0821798	0.0996552	0.0868064	0.102137	0.0933312	0.0821465	0.134963	0.203235
a90	0.0189936	0.0143064	0.011785	0.0141202	0.0193074	0.0357452	0.0507916	0.0455198	0.0749352	0.0916089	0.084637	0.187017	0.351232
a98	0.0137524	0.0105359	0.00844289	0.0101651	0.0137131	0.0249835	0.0355498	0.032884	0.075621	0.138062	0.117228	0.193174	0.325888
a15	0.0046798	0.00346308	0.00263407	0.00328251	0.00446505	0.00804055	0.0100653	0.00993905	0.0303711	0.101826	0.126738	0.240551	0.453944
a85	0.00346052	0.00232686	0.00162542	0.00181738	0.00219465	0.00341315	0.00386499	0.00404631	0.0130937	0.058802	0.104506	0.261631	0.539218
a5	0.00193681	0.00132901	0.000945222	0.000958878	0.000948761	0.00138198	0.00155605	0.00176435	0.0103188	0.0678736	0.131317	0.26416	0.515509
a12	0.00332461	0.0022265	0.00162129	0.00147713	0.00125137	0.00167083	0.00193121	0.00208572	0.0101705	0.0599494	0.122348	0.267101	0.524842
a18	0.00161515	0.00115718	0.000854561	0.000727693	0.000517292	0.000550952	0.000441268	0.000382045	0.00179697	0.0154832	0.0598315	0.227804	0.688838
a47	0.00294627	0.00241489	0.00203589	0.00207233	0.00185282	0.00200365	0.00110968	0.000739047	0.00210583	0.00935821	0.0330932	0.163313	0.776955
a88	0.0122121	0.0101964	0.00913465	0.00962804	0.00949964	0.010975	0.0067312	0.00494782	0.0117208	0.0390635	0.0861559	0.204288	0.585447
a35	0.00328507	0.00252549	0.00205213	0.00212335	0.00233297	0.00309448	0.00192534	0.00148893	0.00408494	0.0226034	0.0667794	0.208191	0.679514
a44	0.00234672	0.00181623	0.00157946	0.00178416	0.00204025	0.00271478	0.00178295	0.00208626	0.0057519	0.0205785	0.0601814	0.207391	0.689946
a26	0.00171613	0.00142084	0.00128637	0.00151684	0.00185285	0.00233468	0.00140428	0.00147241	0.00430811	0.0206107	0.0682148	0.221282	0.67258
a82	0.0728467	0.0409615	0.0296502	0.0239733	0.0181992	0.0193165	0.0136829	0.00986395	0.0178537	0.045378	0.084747	0.1868	0.436727
a10	0.261455	0.166277	0.12216	0.0944273	0.055791	0.0492952	0.0434892	0.0187109	0.0192185	0.0237612	0.0257803	0.0385898	0.0810449
a87	0.194892	0.15284	0.123814	0.107672	0.0732382	0.065618	0.0606507	0.0252327	0.0135397	0.0130215	0.0178326	0.0417812	0.109868
a23	0.148532	0.119139	0.105319	0.0953404	0.0718649	0.068271	0.06204	0.0249744	0.0148153	0.0162543	0.0253348	0.0674991	0.180617
a87	0.111148	0.0731821	0.061524	0.053157	0.030279	0.0270853	0.0192938	0.00885684	0.00695436	0.0132306	0.0357559	0.144003	0.415529
</S>	0.013863	0.00836516	0.00684053	0.00728494	0.00562017	0.00687102	0.00613759	0.00475897	0.00818341	0.031303	0.0747857	0.24662	0.579367
