 	l'	écorce	de	l'	arbre	contient	de	la	sève	</S>
a87	0.329926	0.167845	0.0838287	0.0696927	0.105833	0.113754	0.0527336	0.0312139	0.0240092	0.0211637
a23	0.396997	0.115796	0.0993616	0.0841521	0.0635085	0.0634135	0.0563917	0.0500276	0.0345812	0.0357701
a5	0.239942	0.143191	0.131015	0.116356	0.106753	0.0907164	0.0512585	0.0441078	0.0366111	0.0400496
a18	0.411857	0.185608	0.126858	0.0949419	0.06359	0.0320599	0.0237151	0.0216717	0.0208588	0.0188398
a25	0.325841	0.270142	0.178603	0.116154	0.056171	0.0218191	0.00986716	0.00928279	0.00622937	0.00589016
a54	0.230272	0.194903	0.176631	0.128295	0.0906293	0.0611234	0.0411951	0.036181	0.0199894	0.0207799
a30	0.163775	0.147861	0.19222	0.168183	0.112494	0.0675991	0.0488824	0.0381324	0.0302128	0.0306396
a47	0.191094	0.161114	0.186552	0.174926	0.132802	0.0679416	0.0300279	0.0216753	0.0161197	0.0177475
a5	0.165934	0.158592	0.205295	0.171698	0.0960165	0.0548695	0.0373558	0.0357462	0.0339351	0.0405578
a31	0.194306	0.131065	0.165973	0.168812	0.116727	0.0762729	0.0460415	0.0395053	0.0306217	0.030676
a88	0.0863083	0.0817664	0.106452	0.131453	0.15551	0.174779	0.0969055	0.0706439	0.0504865	0.0456955
a38	0.0362421	0.0357031	0.0431336	0.0545216	0.100294	0.198766	0.197237	0.1544	0.100178	0.0795239
a93	0.025194	0.0205164	0.026024	0.0353812	0.0828141	0.171947	0.19911	0.175496	0.133884	0.129633
a56	0.0216326	0.0157845	0.0194826	0.0265835	0.0585609	0.128611	0.198277	0.196277	0.182945	0.151846
a66	0.0211776	0.0141886	0.0165145	0.019558	0.0431969	0.11122	0.196941	0.215895	0.202866	0.158442
a61	0.00237146	0.00146214	0.00197892	0.00301233	0.00944058	0.0485142	0.175427	0.231313	0.264578	0.261903
a75	0.00159656	0.00087503	0.00126719	0.00189522	0.00519898	0.0265441	0.134687	0.210491	0.308154	0.309291
a85	0.00238763	0.00107228	0.00164985	0.00209719	0.00452162	0.0160251	0.0749806	0.150681	0.351696	0.394889
a41	0.00184761	0.00106564	0.00174275	0.00218836	0.00424769	0.0138218	0.0655236	0.129705	0.345866	0.433992
a27	0.00316929	0.00131029	0.00202139	0.00227193	0.00357323	0.0101806	0.0531399	0.119347	0.342768	0.462219
a75	0.000918729	0.000305785	0.000610245	0.00100395	0.00231399	0.0129631	0.0843081	0.155489	0.294916	0.447171
a5	0.0012518	0.000500653	0.000920146	0.00123196	0.00256321	0.00998482	0.055112	0.110036	0.324316	0.494083
a66	0.000665386	0.000202169	0.000353529	0.000487359	0.00104445	0.00455424	0.0411999	0.106565	0.315619	0.529309
a83	0.00243141	0.000632001	0.0010701	0.00166665	0.00408194	0.0149259	0.0696092	0.135166	0.31727	0.453147
a9	0.00551286	0.0013419	0.00229952	0.00315185	0.00589137	0.0188446	0.082882	0.147049	0.30229	0.430736
a87	0.0387143	0.012997	0.0191011	0.0171982	0.0195654	0.0422719	0.100962	0.147472	0.261228	0.340491
a23	0.161153	0.0802158	0.0891618	0.0659181	0.0568566	0.0743146	0.0939848	0.119751	0.124603	0.134041
a87	0.0459759	0.0274609	0.0292533	0.0236429	0.0265506	0.0626746	0.126202	0.195861	0.208019	0.25436
a9	0.00775697	0.00474405	0.00718853	0.00892749	0.0156696	0.0350486	0.0908664	0.162819	0.257641	0.409338
a87	0.0544152	0.034342	0.046794	0.0411091	0.0407575	0.0441917	0.0732835	0.113892	0.2034	0.347815
</S>	0.039253	0.0209293	0.0311916	0.0281935	0.0337125	0.044522	0.0841676	0.135737	0.207223	0.37507
