 	où	est	ton	enfant	</S>
a87	0.436087	0.258185	0.153385	0.0890094	0.0633341
a23	0.490372	0.229543	0.127803	0.0801803	0.0721019
a93	0.404868	0.282768	0.17053	0.0808979	0.0609362
a98	0.553966	0.30829	0.0978894	0.024283	0.0155717
a85	0.329803	0.333842	0.217846	0.0760303	0.0424783
a75	0.342756	0.311052	0.232578	0.0788555	0.0347589
a85	0.337513	0.269674	0.218714	0.110235	0.0638641
a66	0.195434	0.18175	0.225583	0.217169	0.180065
a75	0.132946	0.110143	0.179133	0.306014	0.271764
a21	0.0840167	0.0708254	0.139205	0.318567	0.387386
a47	0.0590943	0.0568816	0.122293	0.34211	0.419621
a88	0.0387405	0.0411197	0.0936984	0.315712	0.51073
a25	0.00871529	0.0109597	0.0383711	0.24027	0.701684
a9	0.00335851	0.00479654	0.0234602	0.179066	0.789318
a87	0.0879321	0.0574944	0.0865798	0.221442	0.546551
a23	0.221734	0.113799	0.122743	0.216198	0.325526
a87	0.139709	0.0988863	0.130273	0.254536	0.376596
</S>	0.0419635	0.0431962	0.0919995	0.276053	0.546788
