 	il	casse	les	noix	de	palme	pour	extraire	les	amandes	</S>
a23	0.392773	0.221063	0.0681272	0.0435768	0.032663	0.0387887	0.0359697	0.0305265	0.0468497	0.0461134	0.0435484
a87	0.0991023	0.0649219	0.0418515	0.039158	0.0493241	0.106484	0.0848649	0.114598	0.164179	0.141978	0.093538
a23	0.074403	0.0529249	0.0368677	0.0314913	0.0406846	0.0816215	0.0925644	0.148144	0.175953	0.164452	0.100894
a79	0.0435446	0.0364939	0.0274066	0.0317634	0.0457514	0.0801512	0.088501	0.119889	0.163017	0.210583	0.152899
a20	0.126188	0.123749	0.0698333	0.0430443	0.0477213	0.0699363	0.0480073	0.0772306	0.123339	0.185766	0.0851852
a73	0.261745	0.24325	0.13596	0.0514872	0.0339952	0.0315639	0.0217156	0.0439375	0.0690933	0.083346	0.023906
a35	0.261279	0.190741	0.116769	0.0519277	0.0422468	0.0424956	0.0333568	0.0611741	0.0798309	0.0856951	0.0344831
a30	0.255192	0.17889	0.107519	0.0550927	0.0505237	0.0484815	0.0375978	0.0561346	0.0786189	0.0854853	0.0464648
a26	0.196149	0.174849	0.118346	0.0819032	0.0759235	0.0693409	0.048277	0.0563646	0.0677526	0.0655919	0.0455017
a38	0.0965756	0.0977547	0.0842758	0.0808365	0.0999705	0.10106	0.0796882	0.0867659	0.0979071	0.0965698	0.0785961
a41	0.0743298	0.0935307	0.0865042	0.0873205	0.102347	0.103333	0.0808816	0.0856883	0.0978098	0.0993695	0.0888857
a24	0.0657869	0.080315	0.0714694	0.0807172	0.0960116	0.0966614	0.0829606	0.0768048	0.105385	0.127147	0.116741
a83	0.020685	0.0234407	0.0254936	0.0472902	0.0710584	0.0913071	0.0925084	0.0808903	0.136172	0.214817	0.196338
a38	0.0159162	0.0171719	0.0177078	0.0297809	0.0472565	0.0670321	0.0747096	0.0686378	0.141786	0.272487	0.247515
a62	0.00950047	0.00998448	0.0103462	0.0172503	0.0318247	0.0529903	0.070701	0.0619792	0.138543	0.296531	0.30035
a21	0.00530688	0.0080068	0.01143	0.0191027	0.0327276	0.0496167	0.0711924	0.0597351	0.1231	0.298039	0.321744
a41	0.0026478	0.00526274	0.00897993	0.0200627	0.036171	0.0516909	0.0833644	0.0580755	0.120482	0.267023	0.34624
a14	0.00270767	0.00443263	0.00726985	0.0173245	0.031647	0.0470814	0.0720949	0.0488283	0.121494	0.279484	0.367635
a30	0.00162644	0.0033393	0.00606848	0.0156419	0.0288332	0.043063	0.0672746	0.0486229	0.116014	0.262741	0.406775
a2	0.00672707	0.0106289	0.0122532	0.0232031	0.0345722	0.0414385	0.0686471	0.0469326	0.101548	0.197923	0.456126
a57	0.0131095	0.0183864	0.0175339	0.0312807	0.0436229	0.0445158	0.0639572	0.0447097	0.0723575	0.147351	0.503176
a87	0.063128	0.0677625	0.0358046	0.0402107	0.0427613	0.054058	0.066693	0.0570979	0.087382	0.131353	0.353749
</S>	0.093025	0.105741	0.0504389	0.0371853	0.036952	0.0519517	0.0703299	0.0642715	0.099827	0.145173	0.245105
