 	il	a	attrapé	une	grosse	araignée	</S>
a23	0.435847	0.230712	0.12099	0.068013	0.0628841	0.0494513	0.0321022
a20	0.543115	0.218403	0.0885706	0.0514866	0.0604598	0.0216546	0.0163107
a73	0.375987	0.221698	0.0877211	0.0591283	0.0675976	0.0744056	0.113462
a37	0.330603	0.353409	0.156491	0.0899655	0.0463208	0.0168618	0.00634937
a12	0.201524	0.315266	0.234911	0.133256	0.0800147	0.0235425	0.0114855
a32	0.177265	0.239974	0.262031	0.163216	0.0919247	0.0366631	0.0289254
a25	0.201016	0.189371	0.210929	0.166558	0.112764	0.0639788	0.0553834
a38	0.157342	0.140859	0.17153	0.184116	0.158514	0.0986561	0.0889822
a41	0.169885	0.135522	0.155989	0.15295	0.153258	0.122113	0.110283
a36	0.0851396	0.0713434	0.0839573	0.126989	0.211252	0.226866	0.194453
a41	0.0645681	0.047276	0.0476524	0.0705362	0.146708	0.261634	0.361625
a36	0.0384553	0.0305782	0.0318323	0.0533505	0.114945	0.290199	0.44064
a27	0.0228805	0.0173894	0.0164729	0.028342	0.0657738	0.224183	0.624958
a40	0.0151091	0.0112588	0.0106418	0.0194563	0.0437526	0.149155	0.750626
a41	0.030558	0.0150473	0.0121568	0.0211309	0.0421289	0.149061	0.729917
a20	0.0277333	0.0134767	0.0106576	0.0246307	0.059328	0.261	0.603173
a41	0.0192049	0.00997358	0.00836382	0.0217242	0.0614257	0.241885	0.637423
a21	0.0358035	0.0175405	0.0130744	0.0319904	0.0707897	0.253937	0.576865
a76	0.0106005	0.00658291	0.00748322	0.0198966	0.0566464	0.218758	0.680032
a94	0.0115503	0.0069124	0.00838973	0.0263356	0.0961661	0.283021	0.567625
a35	0.00829739	0.00423095	0.00345139	0.0106804	0.041287	0.202839	0.729214
a41	0.0245945	0.0112525	0.00791505	0.0216042	0.0614201	0.19559	0.677624
a27	0.024518	0.014227	0.0109238	0.0310194	0.0862635	0.228886	0.604163
a25	0.0214103	0.0105449	0.00605139	0.0130483	0.0366596	0.130731	0.781555
a87	0.0558881	0.0446615	0.0259391	0.0477806	0.112386	0.158239	0.555106
</S>	0.0384591	0.0400881	0.0354849	0.0696062	0.122218	0.187537	0.506607
