 	le	pigeon	vert	se	nourrit	de	fruits	de	l'	arbre	isenge	</S>
a66	0.0469189	0.039844	0.0311464	0.038056	0.058355	0.107867	0.182009	0.264329	0.182859	0.0385199	0.00695253	0.00314287
a87	0.213432	0.274207	0.188891	0.109745	0.0353348	0.0334106	0.0373429	0.0387383	0.0301474	0.0180633	0.0132686	0.00741814
a23	0.27483	0.259908	0.154753	0.0619797	0.0319254	0.0351935	0.0421638	0.0440379	0.0417486	0.03262	0.0129422	0.00789835
a50	0.245546	0.258376	0.157835	0.0570136	0.0357343	0.0417756	0.0417653	0.0303718	0.0310037	0.0317157	0.0323373	0.0365264
a88	0.20907	0.220504	0.117809	0.0657366	0.0481793	0.0621451	0.0726027	0.0643959	0.0632798	0.0524287	0.0178936	0.0059557
a62	0.208224	0.191103	0.150887	0.132244	0.0818877	0.0689358	0.0639246	0.0504886	0.0336214	0.0142798	0.00306805	0.00133652
a12	0.14125	0.229493	0.167599	0.115281	0.063164	0.0365372	0.0435886	0.0563017	0.0780008	0.0582888	0.00907474	0.00142081
a96	0.108339	0.181315	0.161623	0.1248	0.0694861	0.0337306	0.0405124	0.0569359	0.100395	0.0993163	0.0206314	0.0029146
a21	0.137378	0.217443	0.145017	0.108311	0.0624123	0.0360697	0.0361221	0.0393978	0.0654363	0.107882	0.0388651	0.00566515
a12	0.133465	0.22115	0.132679	0.0944601	0.0584055	0.0425813	0.0441147	0.051905	0.0737655	0.0948685	0.044001	0.00860385
a21	0.0832541	0.138573	0.0986645	0.114816	0.104844	0.0845953	0.0809226	0.074803	0.0801745	0.0800554	0.0455007	0.0137964
a85	0.0573872	0.0865814	0.0705579	0.101518	0.114149	0.102079	0.0968338	0.0878122	0.0893357	0.0942062	0.0732395	0.0263007
a75	0.0124124	0.0188797	0.0330734	0.0877243	0.140002	0.112956	0.0952178	0.0795217	0.0946648	0.131713	0.131326	0.0625096
a61	0.0205388	0.0186246	0.0278411	0.0798131	0.140056	0.144162	0.125123	0.0985532	0.0877748	0.0967049	0.106371	0.0544371
a11	0.0232963	0.0192823	0.023186	0.0531443	0.115243	0.149466	0.163307	0.136297	0.0964244	0.0729599	0.0687229	0.0786718
a34	0.0207524	0.014132	0.0166996	0.0322809	0.0696066	0.120917	0.179198	0.161791	0.135019	0.0987662	0.0854445	0.0653929
a75	0.0198992	0.012378	0.0149667	0.0279062	0.0560839	0.104133	0.164046	0.1433	0.113832	0.119052	0.133153	0.0912505
a92	0.00534939	0.0032883	0.00459333	0.0110755	0.0254023	0.0462511	0.0787169	0.0792246	0.0715264	0.125285	0.259445	0.289842
a79	0.004829	0.00308913	0.0043177	0.010358	0.0254062	0.0480896	0.0724991	0.0778465	0.079631	0.16679	0.288362	0.218781
a44	0.0025962	0.00156449	0.00209093	0.00440738	0.0114857	0.0240981	0.0361056	0.0369738	0.0485839	0.153645	0.381683	0.296767
a96	0.00211342	0.000902214	0.00128612	0.00244348	0.0043393	0.00766945	0.0104559	0.00933597	0.0147008	0.0751792	0.371368	0.500206
a62	0.000659256	0.000250539	0.000408433	0.000836244	0.00140711	0.00235442	0.00280611	0.00231964	0.00349419	0.0258666	0.325928	0.633669
a0	0.000369364	0.000245121	0.000324949	0.000518652	0.000735657	0.000941458	0.00154704	0.00147069	0.00196862	0.0114952	0.159666	0.820717
a21	0.00188512	0.000920186	0.00151336	0.00313674	0.00482091	0.00510847	0.00593879	0.00498034	0.00613174	0.0299578	0.200273	0.735334
a12	0.000150938	0.00010486	0.000150039	0.000212389	0.000284795	0.000376077	0.000583536	0.000736032	0.00153569	0.00763408	0.12728	0.860952
a96	0.000201929	0.000135619	0.00021017	0.00038612	0.000534113	0.000692508	0.00106681	0.00112853	0.00194964	0.00947717	0.120828	0.863389
a18	0.000885957	0.000511028	0.000757916	0.00135551	0.00170539	0.00203006	0.00311755	0.00353574	0.00573136	0.0225295	0.151022	0.806818
a25	0.00618185	0.00268003	0.00350332	0.00504744	0.00667387	0.00981734	0.0159528	0.0206127	0.0279076	0.0580824	0.238597	0.604943
a87	0.113602	0.0703557	0.0597737	0.0407541	0.0287541	0.0262373	0.0396229	0.0374935	0.0320111	0.0345811	0.12497	0.391845
a23	0.258303	0.189863	0.129075	0.0644055	0.0413216	0.049996	0.0635245	0.0568447	0.0368522	0.0239269	0.0284977	0.057391
a99	0.110025	0.0863673	0.0360794	0.0125987	0.00507831	0.00632035	0.007968	0.00699299	0.00896857	0.0260626	0.102711	0.590828
a97	0.020352	0.0203316	0.0089534	0.00434012	0.00342009	0.00542915	0.0071324	0.00585495	0.00792034	0.0308446	0.149243	0.736178
</S>	0.0139993	0.0151737	0.00694215	0.00518575	0.00552343	0.00887646	0.0121737	0.0110439	0.0107525	0.0254992	0.164483	0.720347
