 	qui	fait	vrombir	la	voiture	</S>
a23	0.355459	0.152589	0.129828	0.156252	0.127733	0.0781398
a83	0.51805	0.200988	0.135443	0.0751651	0.0360646	0.0342891
a62	0.486499	0.205301	0.101546	0.0694977	0.0642206	0.0729354
a21	0.512353	0.292576	0.103187	0.0482953	0.0244607	0.0191274
a5	0.51903	0.296795	0.0885463	0.0443134	0.0286871	0.0226279
a18	0.41608	0.331614	0.127389	0.0579319	0.0358748	0.0311099
a94	0.230549	0.300939	0.236784	0.109872	0.0610521	0.0608038
a76	0.1688	0.249874	0.272524	0.163313	0.0775123	0.0679775
a79	0.108883	0.132856	0.207566	0.207137	0.179786	0.163771
a43	0.0918844	0.109649	0.230766	0.254583	0.172517	0.1406
a25	0.0801534	0.0930105	0.204693	0.261205	0.195539	0.165398
a69	0.0381805	0.0437668	0.141092	0.260657	0.28792	0.228384
a58	0.0308712	0.0393413	0.12061	0.242568	0.301844	0.264765
a90	0.014577	0.0183902	0.059655	0.155684	0.313495	0.438199
a25	0.0264884	0.0313415	0.0843797	0.198039	0.339093	0.320658
a56	0.0155271	0.0160473	0.0331103	0.088773	0.279468	0.567074
a96	0.0164848	0.0180656	0.0421046	0.0978343	0.254329	0.571182
a61	0.0072769	0.00724836	0.0179912	0.04785	0.182744	0.73689
a47	0.00457277	0.00437354	0.0128973	0.0440387	0.186168	0.747949
a61	0.00576196	0.00510731	0.0152115	0.0604803	0.228825	0.684614
a93	0.00996351	0.00823917	0.0204767	0.0603253	0.222009	0.678987
a56	0.00754587	0.00666885	0.0177629	0.0575759	0.205749	0.704697
a62	0.00904207	0.00708764	0.0175917	0.0501499	0.178319	0.73781
a75	0.0108934	0.00805725	0.0176109	0.0504743	0.186429	0.726535
a0	0.00868076	0.00721976	0.0165242	0.0538463	0.173827	0.739901
a27	0.00645922	0.00520195	0.0150926	0.0599831	0.234195	0.679068
a57	0.0826293	0.0513468	0.068809	0.108769	0.253535	0.434911
a10	0.11794	0.105068	0.127963	0.15363	0.225441	0.269958
a87	0.0895856	0.0823617	0.10689	0.142423	0.23284	0.3459
a10	0.11351	0.0910202	0.10875	0.133584	0.226921	0.326216
</S>	0.0554752	0.0439571	0.0637928	0.114372	0.244909	0.477495
