 	le	chien	a	mordu	cet	enfant	</S>
a66	0.410406	0.198175	0.115236	0.0981589	0.0846749	0.0528434	0.0405061
a87	0.243525	0.209964	0.204223	0.175729	0.0942726	0.0415714	0.030714
a23	0.490259	0.274866	0.10677	0.0558426	0.0284067	0.0213174	0.0225386
a99	0.412977	0.257675	0.114567	0.0666106	0.0367859	0.0447773	0.0666078
a54	0.339474	0.168474	0.0889556	0.0907699	0.0782773	0.102232	0.131818
a47	0.242686	0.264138	0.199719	0.125524	0.066411	0.0489116	0.0526107
a85	0.0939396	0.13734	0.196039	0.237556	0.176093	0.0924168	0.0666157
a6	0.134807	0.165064	0.20709	0.208197	0.138522	0.0854737	0.0608458
a85	0.188049	0.170484	0.162693	0.157896	0.137644	0.103157	0.0800773
a5	0.070547	0.0827472	0.117158	0.168452	0.208448	0.18737	0.165278
a85	0.0768891	0.0723464	0.0977176	0.159117	0.226597	0.197929	0.169403
a92	0.0194249	0.0229643	0.047884	0.11948	0.239239	0.272655	0.278352
a79	0.0108502	0.0114501	0.0252749	0.0839124	0.229134	0.315119	0.32426
a94	0.00637991	0.00662475	0.0144185	0.0552534	0.193234	0.330427	0.393663
a24	0.00529589	0.00438654	0.00800604	0.0255511	0.0792815	0.282481	0.594998
a62	0.00180348	0.00147617	0.00384613	0.0164839	0.0646044	0.224564	0.687222
a18	0.00325404	0.00268548	0.00598995	0.0259922	0.0945976	0.255957	0.611524
a38	0.0034257	0.00267784	0.00647329	0.0321281	0.109172	0.272117	0.574006
a30	0.0119805	0.0112222	0.020224	0.0444956	0.114522	0.264634	0.532921
a87	0.100364	0.0545114	0.0507064	0.0654718	0.1362	0.233841	0.358905
a23	0.35388	0.222708	0.121434	0.0854918	0.071483	0.0667989	0.0782045
a87	0.178345	0.129223	0.0938956	0.101269	0.107053	0.16651	0.223705
</S>	0.0196454	0.0159626	0.0161383	0.0316102	0.0769319	0.272631	0.567081
