 	il	est	discrètement	sorti	de	la	parcelle	</S>
a66	0.261319	0.274275	0.355476	0.052618	0.0242616	0.0140739	0.00933349	0.00864271
a87	0.331302	0.275166	0.137317	0.0569982	0.0451369	0.0502699	0.0521355	0.0516745
a97	0.26348	0.201366	0.208543	0.0454915	0.0420257	0.051858	0.0793136	0.107921
a87	0.236135	0.215247	0.244568	0.0324751	0.0368024	0.0566683	0.0847579	0.0933462
a10	0.243096	0.227391	0.229447	0.0349523	0.0371367	0.057158	0.0824895	0.0883297
a87	0.219291	0.222646	0.22045	0.0481998	0.0473927	0.0700913	0.0881117	0.0838173
a10	0.244943	0.235985	0.210686	0.0416801	0.0429479	0.0637958	0.0815771	0.0783851
a97	0.244331	0.211034	0.187865	0.0525047	0.0555071	0.0806165	0.0927889	0.075353
a87	0.211037	0.184801	0.191164	0.067253	0.0724746	0.0905635	0.101485	0.081221
a97	0.210968	0.189594	0.189599	0.0602228	0.0648109	0.0892241	0.108831	0.0867502
a79	0.202231	0.166351	0.16025	0.0676053	0.0832459	0.107038	0.122141	0.0911388
a15	0.243555	0.143971	0.111597	0.0614387	0.072859	0.116829	0.1358	0.11395
a20	0.161661	0.136584	0.0911782	0.0971865	0.101528	0.129606	0.142016	0.14024
a44	0.174295	0.179513	0.154185	0.154081	0.111566	0.0915661	0.072473	0.0623198
a93	0.177525	0.201034	0.283664	0.122717	0.0665755	0.0530731	0.0455935	0.0498175
a43	0.149375	0.186841	0.28104	0.135372	0.0826043	0.0576418	0.0492	0.0579262
a75	0.120336	0.143606	0.229356	0.15153	0.120159	0.0801851	0.0709096	0.0839183
a21	0.0655357	0.10004	0.14739	0.120518	0.160284	0.151484	0.120565	0.134185
a5	0.0903425	0.100285	0.144072	0.128801	0.172581	0.135721	0.111042	0.117155
a18	0.0553132	0.0656045	0.110099	0.130099	0.197686	0.16197	0.138242	0.140986
a98	0.023615	0.0256372	0.0513067	0.107552	0.217726	0.202488	0.18726	0.184416
a15	0.0166049	0.0213155	0.0514237	0.101352	0.207648	0.225112	0.186525	0.190018
a79	0.00424703	0.00447812	0.0175899	0.0685999	0.182135	0.216252	0.239583	0.267115
a93	0.0043761	0.00460255	0.0137264	0.0650122	0.175683	0.227605	0.259058	0.249937
a53	0.00431314	0.00382185	0.00723706	0.0332623	0.119669	0.185208	0.282909	0.363579
a90	0.000614011	0.000487389	0.00107689	0.00935909	0.0606673	0.133085	0.302398	0.492312
a25	0.000544357	0.000496813	0.0016283	0.0125034	0.0589691	0.127916	0.312056	0.485886
a5	0.000149813	0.000134652	0.000320345	0.00482627	0.0259461	0.0755655	0.281721	0.611336
a21	0.00029613	0.000183926	0.00026982	0.00428769	0.0343089	0.089253	0.27676	0.594641
a12	0.000578258	0.000472858	0.000658805	0.00604531	0.0360554	0.0949899	0.277654	0.583545
a18	0.000317836	0.00026777	0.000399976	0.00423038	0.0264267	0.0829421	0.273725	0.61169
a71	0.00162729	0.0011195	0.00128329	0.0101511	0.04593	0.106755	0.281279	0.551855
a82	0.00838646	0.00596075	0.00822689	0.0435765	0.0890934	0.139977	0.248566	0.456214
a3	0.0634924	0.0372944	0.0306141	0.0434454	0.0764919	0.121374	0.242442	0.384846
a97	0.0744062	0.0508947	0.0448628	0.0503589	0.0992695	0.156225	0.241392	0.282591
a87	0.0444975	0.0328921	0.0430313	0.0546751	0.122088	0.193629	0.258192	0.250995
a97	0.0262907	0.0203347	0.0327922	0.0365206	0.0877401	0.168794	0.297127	0.330401
a87	0.0279448	0.0224136	0.0381131	0.038249	0.0797973	0.149183	0.286485	0.357814
a97	0.0299594	0.0265946	0.0383196	0.0388143	0.082148	0.148943	0.275532	0.35969
</S>	0.0414242	0.0358416	0.0426159	0.037193	0.0725943	0.138708	0.272291	0.359332
