 	il	est	enivré	à	l'	alcool	de	maïs	</S>
a87	0.233948	0.243909	0.214911	0.101071	0.0814269	0.0618777	0.0303228	0.018877	0.0136567
a23	0.107902	0.0626276	0.127749	0.120365	0.124655	0.09569	0.109434	0.13682	0.114758
a10	0.0906329	0.0930894	0.141103	0.127011	0.11055	0.0898878	0.100575	0.149559	0.0975921
a11	0.113518	0.107738	0.140831	0.112418	0.10553	0.106105	0.103092	0.118871	0.0918962
a0	0.242262	0.177856	0.159514	0.114886	0.0872677	0.0707699	0.0506219	0.0508736	0.0459481
a75	0.35676	0.230237	0.151864	0.0950039	0.0591128	0.0498999	0.0247015	0.0185023	0.0139186
a14	0.311829	0.299369	0.177421	0.083845	0.0510107	0.0366369	0.0204754	0.0108815	0.00853125
a35	0.319089	0.274605	0.227862	0.0778345	0.040874	0.0280899	0.0167069	0.00902879	0.00590974
a24	0.302761	0.245288	0.207266	0.0992172	0.0607262	0.0403434	0.0239864	0.012279	0.00813277
a35	0.24229	0.186344	0.190502	0.129027	0.0901561	0.0603002	0.0476621	0.0298218	0.023897
a30	0.147349	0.138815	0.18097	0.159873	0.12088	0.091571	0.0719789	0.04784	0.0407228
a35	0.105639	0.100235	0.137026	0.158486	0.128357	0.101315	0.0875878	0.0868552	0.094498
a20	0.0651721	0.0582465	0.0860576	0.149161	0.159429	0.15836	0.128847	0.103311	0.0914163
a94	0.0475152	0.0448054	0.0695768	0.135274	0.146727	0.158908	0.138059	0.120947	0.138187
a54	0.0392813	0.0365739	0.0472255	0.0997126	0.129544	0.177165	0.16712	0.151607	0.151771
a30	0.0213879	0.025622	0.0349264	0.0903262	0.123158	0.171965	0.153766	0.159416	0.219432
a35	0.0218797	0.0188843	0.0237414	0.0668194	0.098912	0.157157	0.183606	0.202786	0.226214
a66	0.00620757	0.00662552	0.00822568	0.0265636	0.0568685	0.123379	0.18621	0.281788	0.304133
a38	0.000920079	0.00115485	0.00198616	0.0108862	0.0355544	0.102024	0.185488	0.301658	0.360329
a20	0.000946267	0.00113445	0.00241168	0.0120967	0.0342091	0.0918538	0.166553	0.278748	0.412046
a2	0.00108125	0.00137391	0.00280848	0.010626	0.0273803	0.0901652	0.165352	0.284086	0.417127
a57	0.000695727	0.0007744	0.00171524	0.00707052	0.0202449	0.0427149	0.145359	0.273564	0.507861
a87	0.0128902	0.0135528	0.0176303	0.0257023	0.0467081	0.0481716	0.113114	0.224116	0.498115
</S>	0.0300454	0.0378629	0.0299531	0.0371281	0.0756172	0.111632	0.164137	0.235573	0.278051
