 	qui	est-ce	qui	a	pété	</S>
a66	0.349225	0.324544	0.193397	0.0742692	0.0328762	0.0256896
a87	0.352487	0.311852	0.196858	0.0828146	0.0346991	0.0212882
a23	0.332422	0.272295	0.233024	0.116062	0.025702	0.0204942
a53	0.416191	0.273269	0.140381	0.0790286	0.0464446	0.0446859
a44	0.412896	0.336204	0.171911	0.0526687	0.0177491	0.0085713
a34	0.289621	0.389187	0.21992	0.070856	0.02135	0.0090663
a12	0.193735	0.407266	0.267175	0.0846707	0.0316365	0.0155176
a21	0.104317	0.293676	0.335428	0.149452	0.0741983	0.0429294
a12	0.0743799	0.19605	0.288362	0.183433	0.148457	0.109317
a75	0.0878552	0.105497	0.194643	0.200399	0.207813	0.203793
a56	0.0204498	0.0402449	0.136153	0.209895	0.280933	0.312325
a90	0.00998559	0.00895525	0.0338375	0.111357	0.33872	0.497145
a4	0.00320124	0.00258864	0.010278	0.0570905	0.338335	0.588507
a11	0.00211026	0.00147138	0.00354563	0.0169553	0.22187	0.754048
a94	0.00164953	0.00180296	0.00473114	0.0171931	0.190875	0.783748
a66	0.00465326	0.00847646	0.0203286	0.0433107	0.227048	0.696184
a36	0.0693895	0.0284003	0.0321925	0.0538421	0.241928	0.574247
a27	0.198867	0.092469	0.0940716	0.113253	0.190534	0.310805
a57	0.42563	0.19572	0.10897	0.0856554	0.0843288	0.0996954
a87	0.298145	0.195712	0.12555	0.107625	0.126088	0.14688
a23	0.183399	0.135558	0.116052	0.12211	0.196046	0.246836
a87	0.0201372	0.0170035	0.0226833	0.0547913	0.174786	0.710599
</S>	0.00488536	0.00458258	0.0108594	0.0457202	0.180173	0.753779
