 	cet	homme	m'	a	donné	50	francs	</S>
a85	0.26231	0.162396	0.146737	0.15169	0.13542	0.0771044	0.0363742	0.027969
a66	0.249439	0.116691	0.0697892	0.0622038	0.062527	0.085684	0.162166	0.191501
a10	0.389701	0.20882	0.0825031	0.0487055	0.0465839	0.0374614	0.0721699	0.114055
a87	0.36512	0.229859	0.136454	0.0918776	0.0644324	0.0348262	0.0400302	0.037401
a23	0.406139	0.240588	0.13136	0.0671735	0.0433635	0.0294659	0.0380293	0.0438804
a83	0.437543	0.266976	0.146305	0.0570917	0.0213801	0.0139309	0.0242698	0.032504
a93	0.324933	0.210691	0.129881	0.0798979	0.0458638	0.0413148	0.0766009	0.0908179
a90	0.324967	0.244669	0.179972	0.10358	0.049628	0.028733	0.0359807	0.032471
a76	0.181765	0.176953	0.189128	0.14028	0.0800795	0.0539555	0.0813858	0.0964531
a73	0.130088	0.137515	0.170604	0.166859	0.139794	0.0989652	0.0831061	0.0730689
a7	0.106264	0.123337	0.157363	0.179174	0.134304	0.0874438	0.0986907	0.113424
a84	0.0935574	0.112203	0.147348	0.171683	0.155443	0.0954612	0.101823	0.122481
a75	0.063381	0.0807237	0.107429	0.133401	0.143018	0.112057	0.137379	0.222612
a5	0.054026	0.0816409	0.135108	0.180627	0.193168	0.143986	0.103833	0.10761
a18	0.101267	0.117794	0.169896	0.201373	0.170945	0.0923684	0.0627228	0.0836338
a85	0.0448685	0.0501618	0.078169	0.152423	0.240236	0.174727	0.108334	0.151081
a36	0.0511106	0.0470716	0.0599236	0.118104	0.177782	0.156411	0.143551	0.246047
a2	0.0324928	0.029844	0.0333897	0.0587564	0.131379	0.138357	0.174049	0.401731
a57	0.0394357	0.0334383	0.0335325	0.0545449	0.113175	0.105476	0.172924	0.447474
a54	0.0506151	0.0413917	0.0432121	0.0716141	0.138781	0.125746	0.184616	0.344025
a47	0.0180476	0.015145	0.0171279	0.0257151	0.0606183	0.118428	0.219591	0.525327
a85	0.0118854	0.00890482	0.00887402	0.0143456	0.0351226	0.103806	0.256151	0.56091
a66	0.0118771	0.00909054	0.00968919	0.0166775	0.0441673	0.124591	0.329841	0.454066
a38	0.00214567	0.00152838	0.00152513	0.00309197	0.0144991	0.0704728	0.256942	0.649795
a56	0.00293543	0.00199242	0.00185849	0.00292658	0.00939165	0.0527998	0.244358	0.683738
a66	0.00195157	0.00132072	0.00114921	0.00204179	0.0079083	0.056736	0.281677	0.647215
a9	0.000930042	0.000512184	0.000326019	0.000580011	0.0033522	0.0430679	0.225781	0.725451
a99	0.0139534	0.00722106	0.00498205	0.00653234	0.0197415	0.0882178	0.236536	0.622816
a87	0.106575	0.0496866	0.0275631	0.0256454	0.0471062	0.122149	0.198137	0.423137
a23	0.295608	0.150496	0.0691975	0.0467989	0.0691142	0.110605	0.106376	0.151805
a87	0.270137	0.119454	0.0458791	0.0245988	0.0296862	0.062083	0.157372	0.29079
</S>	0.047779	0.0232361	0.0125492	0.0116398	0.0228354	0.0623831	0.223189	0.596388
