 	il	fend	le	bois	de	chauffe	</S>
a66	0.580547	0.280028	0.0674877	0.0250785	0.0149828	0.0131197	0.0187562
a87	0.601221	0.228014	0.0677998	0.0357877	0.0184178	0.0193324	0.0294275
a23	0.339515	0.267252	0.0895693	0.0545435	0.0433378	0.0762726	0.12951
a79	0.174969	0.103843	0.0562693	0.0564005	0.0714668	0.189301	0.34775
a15	0.455723	0.239564	0.0928713	0.050554	0.0369465	0.0447952	0.0795462
a98	0.321862	0.24461	0.143663	0.0957885	0.063521	0.0581503	0.072405
a47	0.226241	0.240653	0.187328	0.161478	0.088885	0.0500961	0.0453188
a36	0.137864	0.228952	0.223439	0.182618	0.118981	0.0648903	0.0432558
a15	0.0597953	0.108876	0.181124	0.215129	0.182054	0.137612	0.115411
a47	0.0619774	0.0956206	0.174231	0.196868	0.180561	0.150142	0.140599
a0	0.0496244	0.0833744	0.165418	0.219536	0.182002	0.144802	0.155243
a98	0.00420028	0.00825353	0.0290283	0.0946412	0.170111	0.266568	0.427198
a47	0.00406199	0.00867187	0.0347271	0.108763	0.169119	0.23824	0.436417
a7	0.00111515	0.00204783	0.00950525	0.0514349	0.1389	0.286136	0.510861
a90	0.000863923	0.00157079	0.00595514	0.02513	0.0843824	0.266214	0.615884
a93	0.00149574	0.00340954	0.0110428	0.0340458	0.0961201	0.266467	0.587419
a70	0.000842661	0.00202753	0.0107774	0.0398395	0.10324	0.273158	0.570116
a66	0.00237494	0.00502036	0.0190543	0.0592098	0.119432	0.284909	0.509999
a57	0.00628297	0.00788853	0.0151794	0.0393806	0.0813311	0.223623	0.626314
a3	0.0193048	0.0188718	0.0249486	0.0430667	0.0831321	0.227012	0.583664
a10	0.16613	0.118961	0.0812071	0.0849687	0.101172	0.172117	0.275444
a87	0.13542	0.127595	0.0892188	0.0876465	0.103002	0.166054	0.291064
a97	0.117688	0.132084	0.105321	0.108118	0.122652	0.163336	0.250801
a87	0.0165104	0.0266288	0.0333062	0.0651782	0.127663	0.259547	0.471166
a97	0.0106052	0.0136535	0.0173542	0.0436243	0.0990309	0.266551	0.549181
a87	0.00868155	0.0114381	0.0160456	0.0460173	0.11537	0.290589	0.511858
a97	0.00859257	0.0123914	0.0194931	0.0505719	0.120347	0.292608	0.495996
</S>	0.00605974	0.0106554	0.0186293	0.0566408	0.144147	0.318011	0.445856
