 	l'	homme	partit	le	fusil	en	bandoulière	</S>
a23	0.318765	0.233753	0.18389	0.093868	0.0770336	0.0408006	0.0264132	0.0254765
a83	0.440497	0.218574	0.174438	0.0925102	0.0335566	0.0154901	0.0112948	0.0136393
a93	0.403566	0.237976	0.131819	0.0518874	0.0342256	0.0315387	0.0364681	0.0725194
a90	0.366522	0.248692	0.15231	0.10003	0.0633476	0.0348624	0.0199807	0.0142555
a92	0.243519	0.226395	0.210836	0.15872	0.0775451	0.0338159	0.0246658	0.0245032
a37	0.25111	0.225597	0.201896	0.17169	0.076235	0.0299617	0.0212524	0.0222576
a61	0.223338	0.2082	0.22753	0.186773	0.0741924	0.0329394	0.0234416	0.0235857
a21	0.177595	0.178952	0.213674	0.222423	0.106133	0.0444195	0.0288335	0.0279703
a75	0.276225	0.227937	0.219128	0.132837	0.0658188	0.0349133	0.0223547	0.0207858
a92	0.170607	0.135278	0.147025	0.113235	0.108527	0.108063	0.102235	0.11503
a36	0.160415	0.12059	0.157668	0.140116	0.130727	0.106942	0.0845185	0.0990246
a26	0.120776	0.084739	0.157015	0.163432	0.156146	0.120194	0.085842	0.111857
a75	0.0450973	0.0357812	0.0937636	0.121688	0.189827	0.178679	0.141399	0.193765
a85	0.0812947	0.0368647	0.0454989	0.0628887	0.134492	0.188743	0.189291	0.260927
a61	0.061302	0.0303802	0.0292149	0.0453726	0.123892	0.195354	0.211384	0.3031
a47	0.0246474	0.0141288	0.0214991	0.0403734	0.128239	0.222574	0.253849	0.294689
a88	0.0191385	0.0114719	0.015906	0.0256579	0.0826228	0.154214	0.253049	0.437939
a71	0.0060328	0.00369355	0.00632848	0.0162346	0.0756399	0.160519	0.262628	0.468924
a62	0.00188474	0.00117135	0.00264691	0.00649479	0.0388404	0.107501	0.231477	0.609983
a0	0.00125571	0.000705101	0.00174481	0.00651499	0.0430105	0.119723	0.256901	0.570145
a9	0.000369303	0.00021064	0.000593567	0.00239401	0.0187106	0.0670631	0.206047	0.704611
a10	0.00267444	0.00174637	0.00265778	0.00498438	0.0160919	0.0503703	0.155414	0.76606
a57	0.0157433	0.00719612	0.00778202	0.0105482	0.0291133	0.0756941	0.203041	0.650882
a87	0.0609923	0.0346506	0.0356315	0.0274495	0.0494047	0.101741	0.211123	0.479007
a23	0.0639903	0.0395682	0.0468764	0.042453	0.076397	0.136179	0.221234	0.373303
a87	0.0157431	0.0113869	0.0150311	0.0224086	0.0586529	0.127982	0.232473	0.516322
</S>	0.0045695	0.00417113	0.00577307	0.0125144	0.0388423	0.0847478	0.194022	0.65536
