 	cet	enfant-ci	a	mangé	trois	morceaux	de	manioc	</S>
a15	0.292127	0.222682	0.214221	0.138399	0.0677664	0.0281583	0.0161146	0.0102828	0.0102483
a66	0.3398	0.21581	0.166478	0.0880559	0.0539492	0.0371953	0.02943	0.0301424	0.0391398
a87	0.490775	0.185418	0.114821	0.0608586	0.0353476	0.0184728	0.0195202	0.0282318	0.0465544
a23	0.428923	0.185633	0.146061	0.0873258	0.0363213	0.0197283	0.021251	0.0291877	0.045569
a38	0.357016	0.172621	0.151734	0.100955	0.0390009	0.0322441	0.0363863	0.0471681	0.062875
a20	0.205687	0.205016	0.168881	0.113857	0.0506351	0.0448973	0.049525	0.065986	0.0955147
a47	0.198064	0.271002	0.166275	0.105754	0.047887	0.0380283	0.042843	0.0547584	0.075388
a85	0.198839	0.260759	0.158407	0.107976	0.0406029	0.0413142	0.0484488	0.0602315	0.0834215
a15	0.213053	0.235717	0.143358	0.126612	0.0893506	0.0464044	0.0425646	0.0485486	0.0543923
a85	0.138436	0.197891	0.146125	0.156047	0.114963	0.0631088	0.0549901	0.0585133	0.0699258
a6	0.113275	0.147931	0.121428	0.152119	0.182594	0.0886418	0.0626637	0.0629769	0.0683699
a75	0.109954	0.131466	0.126619	0.165125	0.165858	0.0827825	0.0661401	0.0683652	0.0836902
a85	0.0779489	0.103609	0.118096	0.168668	0.193667	0.101771	0.076063	0.0736003	0.0865771
a47	0.0559283	0.0767009	0.0977513	0.142973	0.182378	0.127585	0.10374	0.100445	0.112498
a37	0.0335057	0.0643658	0.105078	0.158539	0.185949	0.107279	0.0936866	0.111271	0.140326
a56	0.0260141	0.0516423	0.12898	0.224691	0.217936	0.0770726	0.0682998	0.0874781	0.117886
a96	0.0185556	0.0287794	0.0812359	0.179818	0.263938	0.112681	0.0882403	0.1	0.126752
a61	0.0187587	0.0191658	0.0450997	0.116342	0.27614	0.135256	0.10615	0.119944	0.163143
a47	0.0232538	0.0232674	0.0458254	0.103581	0.272874	0.151704	0.109327	0.112504	0.157663
a94	0.0197208	0.0223316	0.0400439	0.0769866	0.203665	0.18734	0.138694	0.129717	0.1815
a90	0.0122045	0.0180937	0.0322719	0.0556879	0.128749	0.168654	0.158885	0.175701	0.249754
a15	0.00282294	0.003496	0.00737597	0.0202879	0.0897989	0.172116	0.174634	0.218862	0.310606
a98	0.00216065	0.00271237	0.00579051	0.0153742	0.0677285	0.140569	0.175587	0.249768	0.34031
a85	0.00283062	0.00343072	0.00625843	0.0139101	0.0560484	0.127086	0.166577	0.255014	0.368844
a47	0.00142494	0.00166698	0.00326078	0.00886426	0.0458897	0.107699	0.159743	0.276562	0.39489
a0	0.00134409	0.00179611	0.00286764	0.00547582	0.0244848	0.0867333	0.154324	0.284705	0.43827
a75	0.000706555	0.000937382	0.00138541	0.00263428	0.0142537	0.0622186	0.131978	0.28461	0.501276
a85	0.000190529	0.000305868	0.000478882	0.0011355	0.00982324	0.0496612	0.118624	0.322953	0.496828
a5	0.000477587	0.000946298	0.00160311	0.00272706	0.014449	0.0502902	0.11773	0.309111	0.502666
a23	0.000482515	0.000809244	0.00128033	0.00242842	0.0158712	0.0828251	0.162721	0.327259	0.406324
a27	0.000301833	0.000616947	0.00109654	0.00221187	0.0129023	0.053944	0.131534	0.322184	0.475209
a82	0.00132552	0.00264812	0.00351061	0.005125	0.0145819	0.0819851	0.146831	0.268891	0.475102
a87	0.0138325	0.0161052	0.012974	0.0123256	0.0263732	0.108394	0.164315	0.256669	0.389012
a10	0.168535	0.124675	0.08021	0.058575	0.0773192	0.10175	0.106867	0.125674	0.156394
a87	0.134535	0.102287	0.0709669	0.0554873	0.0740885	0.0990658	0.124258	0.160049	0.179263
</S>	0.101265	0.0852879	0.0812006	0.0785399	0.10519	0.117152	0.132774	0.145768	0.152822
