 	la	poursuite	des	oiseaux	est	difficile	</S>
a66	0.42194	0.34667	0.141616	0.0333104	0.021654	0.0183742	0.0164357
a87	0.566378	0.19666	0.0942884	0.0533316	0.0439994	0.0256013	0.0197418
a23	0.569313	0.265163	0.0839438	0.0377584	0.0192392	0.0115963	0.0129861
a87	0.507736	0.311119	0.0748193	0.0401006	0.0185707	0.0156495	0.0320045
a23	0.523637	0.316193	0.070434	0.0308189	0.0151647	0.0170354	0.0267168
a30	0.400146	0.274179	0.0913599	0.070602	0.0448227	0.0458024	0.0730876
a13	0.383292	0.199623	0.0865059	0.0814594	0.0901841	0.0765277	0.0824085
a4	0.198552	0.230878	0.133292	0.189736	0.158207	0.0501799	0.0391553
a53	0.0679089	0.119303	0.250057	0.300699	0.18612	0.0476036	0.0283081
a79	0.0446849	0.0712883	0.237082	0.31521	0.201513	0.0770944	0.0531282
a98	0.0270118	0.0693171	0.280695	0.300899	0.160368	0.0845373	0.0771721
a92	0.0335172	0.0613772	0.25601	0.292031	0.183407	0.100826	0.0728321
a56	0.0421924	0.0336242	0.126285	0.22577	0.246388	0.179191	0.146549
a90	0.0182433	0.0155033	0.0578709	0.140216	0.288307	0.272402	0.207458
a56	0.0261697	0.0266181	0.0832183	0.125707	0.248422	0.263945	0.22592
a61	0.00864659	0.00931912	0.0284634	0.0701256	0.218223	0.34472	0.320502
a21	0.00250115	0.00236591	0.00677235	0.0262797	0.0993351	0.342397	0.520349
a5	0.0013042	0.00156404	0.00337648	0.0126362	0.0424246	0.283702	0.654993
a23	0.00095487	0.000910201	0.00223493	0.00921158	0.0308643	0.217932	0.737893
a21	0.00136255	0.0010278	0.00333624	0.0159214	0.0432906	0.203611	0.73145
a12	0.00107264	0.000844711	0.00218472	0.0070912	0.0218033	0.167171	0.799832
a18	0.000712929	0.000584915	0.00161952	0.00626911	0.0208681	0.161186	0.80876
a25	0.00666481	0.00421614	0.0132937	0.0512885	0.0937353	0.266376	0.564425
a87	0.109241	0.0524641	0.0766049	0.116289	0.139668	0.209611	0.296121
</S>	0.426705	0.262186	0.107509	0.0597672	0.047577	0.0475095	0.0487456
