 	le	manioc	préparé	par	de	petits	enfants	provoque	des	nausées	</S>
a66	0.223513	0.155747	0.137444	0.139628	0.127038	0.10007	0.0525277	0.0350301	0.0123578	0.00867552	0.00796827
a87	0.210437	0.134268	0.0962532	0.0765305	0.0887816	0.0811337	0.0907458	0.0749142	0.046265	0.0428668	0.0578042
a23	0.240831	0.168722	0.148549	0.110063	0.0777952	0.0600603	0.0378969	0.0806185	0.0301588	0.0199387	0.0253656
a87	0.241821	0.186461	0.180804	0.14594	0.0844602	0.0469801	0.0250285	0.0401065	0.0162571	0.0125331	0.0196093
a10	0.201687	0.177532	0.184403	0.16431	0.0935393	0.0506795	0.0291214	0.0396705	0.0209411	0.0164773	0.0216391
a87	0.209215	0.201231	0.202309	0.150589	0.0757636	0.0457838	0.0248603	0.0372311	0.017711	0.0152373	0.0200689
a23	0.193211	0.180214	0.186947	0.162576	0.0958889	0.0556113	0.0301223	0.0432989	0.0201946	0.0151168	0.0168196
a50	0.201735	0.204102	0.192593	0.138059	0.072295	0.0498562	0.0275315	0.0437126	0.0224423	0.0213393	0.0263345
a83	0.23916	0.244989	0.220737	0.144657	0.0664436	0.0332025	0.0129383	0.02093	0.00702842	0.00551024	0.00440364
a71	0.258553	0.2775	0.21828	0.118635	0.0547922	0.0264517	0.0106301	0.0133244	0.00642714	0.00784044	0.00756722
a90	0.23952	0.270567	0.200381	0.111864	0.0599938	0.0325502	0.0168339	0.0197004	0.0127434	0.0170942	0.0187527
a15	0.157547	0.200889	0.200632	0.14713	0.102908	0.0652769	0.0307011	0.0250894	0.0181192	0.0255813	0.0261264
a20	0.121272	0.150618	0.150714	0.126784	0.116563	0.0949131	0.05075	0.0386793	0.0301515	0.0534211	0.0661345
a56	0.0824702	0.118161	0.132466	0.135786	0.13716	0.113414	0.0653893	0.0483686	0.0370277	0.0604202	0.069337
a98	0.138993	0.146696	0.15929	0.143561	0.117331	0.0882531	0.0455384	0.0329017	0.0276669	0.0443727	0.0553968
a47	0.0608435	0.0766638	0.121837	0.150146	0.158146	0.13758	0.0911517	0.0601068	0.0343488	0.0493229	0.0598538
a98	0.0379316	0.0456803	0.0747853	0.130475	0.146922	0.130788	0.0810394	0.0687963	0.0584233	0.0912742	0.133884
a47	0.0390834	0.0404447	0.0660707	0.12372	0.157994	0.152646	0.104546	0.0793297	0.0520662	0.0767346	0.107366
a85	0.0291525	0.0291401	0.0382761	0.0796648	0.112295	0.118812	0.103722	0.0754107	0.0759234	0.125967	0.211637
a6	0.0200132	0.0188674	0.0262247	0.051386	0.083057	0.110837	0.127004	0.0975952	0.0831925	0.138424	0.2434
a37	0.0212938	0.0187453	0.0234788	0.0538269	0.0951852	0.127078	0.141836	0.112412	0.0924456	0.12457	0.189129
a21	0.0207476	0.016878	0.0175676	0.0355134	0.0663854	0.101182	0.138388	0.0990439	0.101856	0.158191	0.244248
a12	0.014428	0.0113322	0.0128712	0.0228281	0.0468107	0.078977	0.11023	0.120746	0.136104	0.187273	0.2584
a31	0.0143686	0.010448	0.0100894	0.0170096	0.0347105	0.0729831	0.118175	0.12075	0.131338	0.187212	0.282916
a43	0.0100451	0.00740969	0.00713086	0.0113555	0.0244144	0.0600519	0.115268	0.11791	0.143829	0.192705	0.30988
a24	0.0106384	0.00799224	0.00655082	0.0090993	0.0142236	0.0315306	0.0594822	0.0813334	0.148882	0.222853	0.407415
a88	0.00574906	0.00450103	0.00376598	0.00534177	0.00811373	0.0181628	0.0316135	0.0496769	0.14343	0.259625	0.470021
a21	0.00225418	0.00189039	0.00183795	0.00329058	0.00605916	0.0163667	0.0318584	0.0530872	0.14784	0.246628	0.488888
a47	0.000824271	0.00066309	0.000686276	0.00127519	0.00283893	0.00890994	0.0220913	0.0406313	0.140716	0.275037	0.506326
a21	0.00144148	0.0011611	0.00115157	0.00204146	0.00421761	0.012589	0.0303699	0.0622324	0.162227	0.24931	0.473259
a12	0.00060093	0.00047103	0.000479896	0.000964356	0.00233025	0.00828977	0.0233056	0.0438614	0.140802	0.257681	0.521214
a96	0.000368042	0.000293148	0.000295311	0.000564627	0.00131062	0.00437136	0.0127063	0.0260268	0.113713	0.267346	0.573005
a94	0.000377979	0.000311853	0.000312435	0.000611605	0.00140278	0.00429185	0.0120282	0.0263722	0.121085	0.269891	0.563316
a37	0.000526615	0.000458239	0.000379295	0.000752342	0.00173039	0.00485642	0.0126447	0.0314769	0.125821	0.27567	0.545684
a66	0.00410194	0.00331087	0.00250582	0.00327436	0.0070131	0.0175296	0.0368158	0.063753	0.149384	0.262856	0.449456
a82	0.017008	0.0118368	0.00839083	0.00876234	0.0151267	0.0312218	0.0480749	0.0673943	0.12992	0.240417	0.421848
a87	0.165351	0.0781788	0.0452902	0.0351838	0.042039	0.051662	0.07041	0.1197	0.107939	0.111982	0.172264
a23	0.136583	0.0882728	0.0600269	0.0478973	0.0501261	0.0556159	0.0687779	0.127307	0.139447	0.104804	0.121143
a87	0.0369123	0.0166215	0.00721124	0.00558863	0.00695886	0.00860192	0.019034	0.056763	0.14811	0.247119	0.447079
</S>	0.0155721	0.00814578	0.00439248	0.00377802	0.00516775	0.00853394	0.018227	0.0669918	0.132284	0.226112	0.510796
