 	les	membres	de	son	association	lui	ont	imposé	un	poste	de	responsabilité	</S>
a66	0.183351	0.103024	0.0774812	0.0589447	0.0662748	0.0769885	0.131847	0.151141	0.0592678	0.0368111	0.0216569	0.0168885	0.0163222
a87	0.220094	0.116552	0.0983696	0.101592	0.1064	0.0914665	0.0906447	0.0701209	0.0339478	0.0196845	0.0137948	0.0159159	0.0214166
a23	0.222211	0.111165	0.105277	0.102843	0.11229	0.0890276	0.0891979	0.0545212	0.0318503	0.0170986	0.0150559	0.0233905	0.026072
a40	0.0920931	0.0563523	0.0848993	0.142286	0.173922	0.125525	0.109431	0.067309	0.046364	0.0248836	0.0221125	0.0290654	0.0257565
a44	0.147068	0.0960636	0.108982	0.113888	0.110348	0.0954652	0.11871	0.0947884	0.0375638	0.0216267	0.0161951	0.0188904	0.0204101
a66	0.172783	0.138121	0.18402	0.156127	0.125732	0.0802007	0.056774	0.0332747	0.0147489	0.00959783	0.00964399	0.00913504	0.00984295
a62	0.135978	0.133698	0.176025	0.159568	0.130937	0.0807136	0.0527851	0.0315449	0.0213292	0.01967	0.0220107	0.0185502	0.0171906
a21	0.118258	0.113255	0.145226	0.148753	0.143591	0.0932484	0.0645771	0.0376634	0.0262198	0.0259116	0.0307449	0.026254	0.026298
a66	0.131042	0.126491	0.142805	0.139114	0.140007	0.0989776	0.0721951	0.0434018	0.0265899	0.023164	0.022079	0.0168542	0.0172797
a75	0.0565169	0.0839139	0.117409	0.149939	0.172214	0.115175	0.073715	0.0397487	0.030726	0.0309928	0.0389392	0.0400464	0.0506637
a47	0.07395	0.0978427	0.109157	0.135118	0.163962	0.129153	0.0982362	0.0573187	0.0353715	0.0276199	0.0255872	0.0207025	0.0259816
a98	0.0575131	0.0845657	0.102158	0.14749	0.163993	0.124426	0.098194	0.0569748	0.0395984	0.0309143	0.0290935	0.0260715	0.039006
a71	0.0359089	0.0668724	0.0813114	0.121399	0.150468	0.138643	0.123764	0.073083	0.0510696	0.0388027	0.0398637	0.0343542	0.0444594
a40	0.0262304	0.0415528	0.0437457	0.0633079	0.102326	0.104794	0.0925242	0.0741581	0.0554225	0.0519623	0.069672	0.0989185	0.175386
a93	0.0363132	0.0494688	0.0462241	0.0473709	0.0562754	0.0709975	0.0937368	0.0890686	0.0870232	0.0885744	0.104036	0.100546	0.130366
a34	0.0537161	0.0851184	0.0735949	0.0697589	0.0832648	0.0969982	0.0966468	0.0763762	0.0651004	0.0589666	0.0688528	0.071626	0.0999798
a62	0.0350346	0.065954	0.0586777	0.0589716	0.063658	0.0761971	0.0913353	0.0875641	0.0876296	0.080506	0.09388	0.0908843	0.109708
a18	0.0178737	0.045532	0.046383	0.0525887	0.055243	0.0628779	0.0746868	0.0777876	0.0942064	0.0863867	0.110137	0.119245	0.157053
a82	0.006847	0.0155573	0.0207562	0.0262839	0.0256792	0.0253937	0.0316927	0.0370535	0.0551333	0.0701647	0.11849	0.191685	0.375264
a57	0.00509909	0.0055323	0.00703694	0.00893406	0.0106322	0.0132054	0.0218192	0.0348759	0.0649047	0.112691	0.152087	0.210249	0.352933
a40	0.0152367	0.0142162	0.0159276	0.0174306	0.0186185	0.0238058	0.0389416	0.0444345	0.0623428	0.0964208	0.14274	0.210824	0.299061
a37	0.00660727	0.0135191	0.0138586	0.016664	0.0133017	0.014927	0.0157578	0.0149368	0.0244965	0.0412544	0.0961694	0.211047	0.517461
a90	0.00151393	0.00342361	0.00352287	0.00434197	0.00413802	0.00514748	0.00791908	0.0106468	0.0253914	0.0412832	0.0946601	0.231475	0.566536
a98	0.00186454	0.00412442	0.00424642	0.00526975	0.00508584	0.00616353	0.00892372	0.012153	0.029293	0.0510047	0.107765	0.236903	0.527203
a92	0.00107794	0.00299779	0.00352383	0.0063066	0.00681871	0.00943326	0.0139531	0.0178113	0.0409275	0.063966	0.120117	0.223283	0.489784
a34	0.000906151	0.00230831	0.00253227	0.00420808	0.00523875	0.00825313	0.014101	0.0186892	0.0397731	0.0583963	0.11142	0.224111	0.510063
a93	0.00158326	0.00326578	0.00349906	0.00434743	0.00386737	0.00477548	0.006759	0.00860701	0.0208436	0.0360456	0.0848085	0.221689	0.599909
a90	0.0015116	0.00304301	0.00317786	0.00391136	0.00334719	0.00419596	0.00608944	0.00781026	0.0181065	0.0311469	0.0736555	0.211859	0.632146
a56	0.000632872	0.00126144	0.00137924	0.00197454	0.0016065	0.00206995	0.00321642	0.00406503	0.0105158	0.0210666	0.0552822	0.187312	0.709617
a93	0.00109321	0.00199178	0.00211569	0.00264968	0.00205713	0.00261772	0.00394257	0.00517207	0.0123103	0.0250381	0.0585821	0.181152	0.701278
a70	0.000576001	0.00124215	0.00145108	0.00194256	0.00145154	0.00172936	0.0023093	0.00272242	0.00732206	0.0160089	0.0450474	0.157616	0.760581
a13	0.000435024	0.000963117	0.00117286	0.00155961	0.00116186	0.00134775	0.00165061	0.00167888	0.00489832	0.0129018	0.0490303	0.178576	0.744624
a9	0.000589154	0.00125822	0.00168437	0.00204852	0.00154635	0.00174572	0.0020744	0.00207282	0.00647076	0.0210358	0.0825995	0.230821	0.646053
a82	0.00625483	0.00626981	0.00779185	0.00747326	0.00595996	0.00693957	0.00785972	0.00862991	0.018667	0.0543808	0.128014	0.239251	0.502509
a10	0.0585142	0.0408871	0.0392435	0.0348773	0.0314339	0.0363641	0.0504349	0.0415147	0.0542025	0.0662962	0.0926144	0.187146	0.266471
a87	0.0657267	0.051948	0.0505494	0.052525	0.0477532	0.0451839	0.0504625	0.0401603	0.0439049	0.0531655	0.0700381	0.142994	0.285588
a23	0.0681558	0.0532608	0.047815	0.0462501	0.0391736	0.0392284	0.046222	0.041336	0.0504213	0.0630304	0.089691	0.168283	0.247133
a87	0.0761246	0.0520592	0.0389289	0.0391024	0.0269171	0.0319514	0.0385869	0.0349192	0.0463458	0.048352	0.0698124	0.1708	0.3261
</S>	0.0137318	0.0108834	0.010811	0.0178247	0.0170776	0.0236838	0.0344614	0.0292984	0.0494023	0.0517819	0.0775607	0.19137	0.472113
