 	attention	à	ce	que	tu	fais	</S>
a23	0.47399	0.235674	0.0867377	0.0384704	0.0357041	0.0540306	0.0753934
a53	0.250964	0.215144	0.158342	0.0943308	0.0813617	0.0929712	0.106887
a13	0.475976	0.266893	0.107257	0.0522937	0.0339485	0.0304504	0.0331818
a38	0.468666	0.318134	0.157864	0.0340632	0.0105713	0.00586542	0.00483663
a14	0.364735	0.286158	0.218496	0.0706964	0.0286534	0.0155628	0.015698
a54	0.291406	0.272932	0.240103	0.0950428	0.0470938	0.0275392	0.0258837
a41	0.206018	0.227649	0.227401	0.137139	0.0886368	0.0588816	0.0542752
a94	0.251452	0.25292	0.220482	0.11972	0.0687386	0.0449971	0.0416912
a54	0.185348	0.200423	0.222663	0.15911	0.0992408	0.0692086	0.0640068
a41	0.101973	0.105725	0.127156	0.16353	0.176529	0.165766	0.159322
a35	0.0968794	0.102759	0.121885	0.161991	0.176379	0.1695	0.170606
a76	0.0979194	0.0896913	0.103049	0.12972	0.190299	0.19839	0.19093
a94	0.0776248	0.0699281	0.0759322	0.0920944	0.165102	0.244178	0.27514
a90	0.0430557	0.0409306	0.0509974	0.0756782	0.172589	0.29027	0.326479
a21	0.0622222	0.0557303	0.0574227	0.0675269	0.129256	0.268927	0.358915
a18	0.0320442	0.0333845	0.0366211	0.0579662	0.152006	0.310879	0.377099
a38	0.0217709	0.021402	0.0255883	0.034458	0.0816243	0.263005	0.552151
a21	0.0299932	0.0273	0.0290381	0.0360845	0.0769889	0.235341	0.565255
a41	0.0237428	0.0222943	0.023013	0.0326806	0.0730912	0.234154	0.591024
a94	0.014712	0.0130349	0.0141384	0.0276351	0.0791661	0.263176	0.588137
a70	0.0213238	0.019092	0.0177581	0.0272529	0.0690407	0.241665	0.603867
a94	0.0271511	0.0246043	0.0212095	0.0289341	0.0676236	0.229603	0.600874
a57	0.0278542	0.0252444	0.021365	0.0319879	0.0769811	0.250311	0.566256
a9	0.0218284	0.0213782	0.0199875	0.0346666	0.0743536	0.242568	0.585217
a87	0.0405072	0.0373351	0.0359897	0.0517744	0.0868416	0.215521	0.532031
</S>	0.0767906	0.0700483	0.058175	0.0662562	0.0888343	0.210673	0.429223
