 	il	est	brûlant	de	fièvre	</S>
a85	0.368341	0.242256	0.126659	0.0807585	0.0789511	0.103035
a87	0.218796	0.170083	0.137471	0.128156	0.171223	0.174271
a23	0.329632	0.245668	0.143699	0.0858815	0.0989016	0.0962166
a99	0.264591	0.23506	0.145631	0.104215	0.128868	0.121634
a20	0.268048	0.250932	0.158537	0.116997	0.109892	0.095594
a73	0.35397	0.32728	0.169026	0.0710938	0.0470081	0.0316224
a35	0.412487	0.355075	0.145433	0.0443437	0.0251976	0.0174634
a38	0.404766	0.33469	0.148216	0.0543192	0.0326236	0.0253854
a35	0.307294	0.291371	0.185164	0.0943298	0.0685415	0.0532998
a94	0.255775	0.283558	0.199564	0.11219	0.0852691	0.0636449
a76	0.195971	0.222012	0.198251	0.155362	0.133405	0.0949984
a41	0.17455	0.185572	0.191495	0.164073	0.160557	0.123753
a24	0.0821317	0.10132	0.163938	0.219724	0.242932	0.189954
a41	0.0178138	0.0254802	0.0745922	0.176765	0.330641	0.374707
a32	0.0196925	0.0248348	0.0657553	0.157257	0.342381	0.390079
a38	0.014203	0.0181351	0.0386795	0.100493	0.301788	0.526701
a62	0.00763727	0.0111729	0.0278164	0.0824486	0.291194	0.579731
a70	0.00307716	0.00493191	0.0169433	0.0691754	0.280634	0.625238
a35	0.00248444	0.00420299	0.0161486	0.0651301	0.260611	0.651423
a75	0.00409739	0.00778598	0.0293326	0.0926882	0.298911	0.567185
a14	0.00489545	0.00864212	0.0302332	0.0950837	0.300377	0.560769
a35	0.00388905	0.00650316	0.0232462	0.0888084	0.311428	0.566125
a24	0.00934598	0.0139033	0.0390543	0.118287	0.305204	0.514205
a41	0.00379325	0.00585986	0.0207166	0.0780098	0.283369	0.608252
a14	0.00548586	0.00892418	0.0291511	0.0918825	0.28167	0.582887
a30	0.00786565	0.0141089	0.0407814	0.104612	0.27269	0.559943
a2	0.0100707	0.0157404	0.0371621	0.100769	0.26358	0.572677
a57	0.0331394	0.0354739	0.0590803	0.122387	0.246806	0.503113
a87	0.0380775	0.049485	0.0806801	0.148413	0.250029	0.433316
</S>	0.0191101	0.0265444	0.0486776	0.14053	0.304115	0.461024
