 	avant	d'	étendre	le	filet	on	noue	son	bout	</S>
a66	0.225298	0.174414	0.115981	0.128344	0.14751	0.107823	0.0440509	0.020316	0.0200533	0.0162112
a87	0.257658	0.181247	0.132253	0.114315	0.0826779	0.0807302	0.0523075	0.0399446	0.0324387	0.0264282
a23	0.282227	0.275143	0.154796	0.0966145	0.0750676	0.0509489	0.0252915	0.0135633	0.0133538	0.0129942
a87	0.238465	0.279478	0.16032	0.132662	0.0838446	0.037244	0.0224778	0.015237	0.0138361	0.0164349
a30	0.272933	0.304853	0.153114	0.12463	0.071694	0.0290188	0.0160749	0.00940469	0.00815383	0.0101233
a13	0.259738	0.303946	0.156907	0.116305	0.0702512	0.0333971	0.0206012	0.013224	0.0119811	0.0136501
a93	0.303114	0.25922	0.170891	0.0915232	0.0441477	0.0270775	0.0222828	0.0257336	0.0296755	0.0263345
a56	0.284681	0.22442	0.210479	0.104977	0.0487038	0.031624	0.0212139	0.0246702	0.0258084	0.0234221
a75	0.220256	0.218126	0.239594	0.129575	0.0558743	0.0418019	0.0273561	0.0252714	0.0222771	0.0198688
a56	0.119497	0.118559	0.211304	0.155737	0.0721523	0.0689994	0.0726929	0.0703873	0.0601341	0.0505378
a12	0.142525	0.144193	0.215089	0.165441	0.0711438	0.0606944	0.0485963	0.0532795	0.0501388	0.0488991
a47	0.134865	0.150565	0.205604	0.18149	0.101618	0.0792157	0.0537497	0.0338487	0.0296827	0.0293612
a75	0.0951536	0.122931	0.179506	0.196963	0.131625	0.101243	0.0758963	0.0379303	0.0295256	0.0292257
a92	0.025382	0.0420173	0.0948811	0.167767	0.122486	0.124171	0.143957	0.11309	0.0861604	0.0800896
a98	0.0235255	0.0436155	0.0817298	0.167443	0.156601	0.144018	0.144688	0.0951688	0.0726162	0.0705941
a92	0.0157717	0.0310529	0.0729501	0.148422	0.153242	0.163543	0.133035	0.107025	0.0924275	0.0825298
a44	0.0131489	0.029338	0.0712314	0.164016	0.178333	0.154502	0.134143	0.0890479	0.0825055	0.083734
a94	0.0116743	0.0261333	0.0529564	0.169532	0.217192	0.195976	0.133683	0.0635625	0.0609322	0.0683586
a21	0.0108612	0.0193894	0.0342638	0.117262	0.177364	0.171616	0.142181	0.0805804	0.0972068	0.149275
a85	0.00599831	0.0118774	0.0211363	0.07071	0.165703	0.165556	0.139057	0.123727	0.142754	0.153481
a47	0.00331103	0.00598649	0.0115501	0.0319533	0.0723441	0.0831817	0.0928942	0.137904	0.261425	0.299451
a36	0.00711827	0.00980737	0.014103	0.0326705	0.0840757	0.0938744	0.104799	0.111009	0.222927	0.319615
a2	0.0134704	0.0254492	0.0389283	0.081852	0.123516	0.116201	0.130011	0.0962761	0.143931	0.230365
a40	0.0299375	0.0444259	0.0575575	0.119258	0.100783	0.0892935	0.101101	0.0937729	0.149087	0.214783
a47	0.00248023	0.00405033	0.0063384	0.0155135	0.0278656	0.0338503	0.0656729	0.135529	0.30654	0.402159
a0	0.00120557	0.00217084	0.0037089	0.0115368	0.0218702	0.0271479	0.0629247	0.14083	0.290888	0.437717
a85	0.00239553	0.00357852	0.00524128	0.012863	0.0163707	0.0150271	0.0291357	0.123231	0.285786	0.506371
a47	0.000253243	0.000465476	0.000810797	0.00248845	0.00510247	0.00755563	0.0270652	0.119253	0.325609	0.511397
a98	0.000441066	0.000727321	0.00117994	0.00411699	0.00682252	0.00809372	0.0231926	0.114832	0.311963	0.528631
a47	0.000249184	0.000470406	0.000929296	0.00255995	0.00496774	0.00871833	0.0290814	0.126075	0.327516	0.499432
a36	0.000307459	0.000503893	0.000752429	0.00209918	0.00416275	0.00682463	0.0258106	0.13034	0.342154	0.487045
a47	0.00468813	0.00518188	0.00773526	0.0151008	0.0144279	0.0154629	0.0343788	0.122136	0.303426	0.477463
a79	0.0028152	0.00329696	0.00465302	0.00866429	0.0101112	0.0131025	0.034651	0.127997	0.30514	0.48957
a98	0.0010741	0.00141619	0.00242218	0.00589008	0.00942079	0.0111023	0.0377176	0.157074	0.315241	0.458641
a15	0.000146406	0.000213548	0.000440694	0.00148718	0.00270163	0.00488321	0.0259695	0.147314	0.335476	0.481367
a7	0.000247675	0.000317753	0.000649569	0.00232829	0.00400826	0.00574877	0.0270773	0.153487	0.339301	0.466835
a93	0.00243989	0.00295275	0.00431242	0.00869597	0.00958396	0.00990926	0.0246047	0.141044	0.321829	0.474628
a4	0.00268958	0.00323086	0.00539108	0.0123912	0.0150647	0.0135672	0.025012	0.116468	0.291803	0.514382
a13	0.00167097	0.00185859	0.00292406	0.00694607	0.00987623	0.0116564	0.0216769	0.117737	0.307609	0.518044
a57	0.00352232	0.00390596	0.00773818	0.0185376	0.0159247	0.0184108	0.0356828	0.148435	0.300283	0.44756
a82	0.0348701	0.0317006	0.0362034	0.0451366	0.0445945	0.0589274	0.10767	0.156704	0.198015	0.286178
a87	0.0981898	0.0800968	0.0829125	0.0735095	0.0728384	0.115701	0.125444	0.118197	0.111626	0.121485
a23	0.0916912	0.0652178	0.0979361	0.0937281	0.099408	0.163871	0.137679	0.0927609	0.0797258	0.0779821
a87	0.0138829	0.0132227	0.020055	0.0235903	0.0240866	0.0618603	0.11277	0.192413	0.258126	0.279993
a23	0.00593378	0.00560767	0.00873832	0.0145295	0.0162116	0.0408046	0.0714442	0.165068	0.301851	0.369811
a87	0.00889356	0.00892626	0.0154562	0.0307114	0.0445854	0.0991204	0.135254	0.165051	0.226053	0.265949
a23	0.00442461	0.00529743	0.011552	0.0252926	0.0336182	0.090259	0.135871	0.184273	0.242666	0.266746
a99	0.00745691	0.00784499	0.0166867	0.0321717	0.0507679	0.126832	0.147577	0.179017	0.214185	0.21746
a97	0.00723827	0.0094701	0.0176479	0.0375191	0.0632981	0.126463	0.135086	0.156661	0.214909	0.231707
</S>	0.00684326	0.00972526	0.0189088	0.0420236	0.0489178	0.0918959	0.103042	0.147552	0.238035	0.293056
