 	les	femmes	n'	entrent	jamais	dans	le	lieu	initiatique	du	kyebé-kyebé	</S>
a23	0.110559	0.0911121	0.0609478	0.0940347	0.161109	0.269501	0.166023	0.0335511	0.00700509	0.00205154	0.00214824	0.00195797
a40	0.330398	0.099478	0.077705	0.112337	0.115782	0.11646	0.0774449	0.0272324	0.0104667	0.00672084	0.0109425	0.0150327
a5	0.178417	0.0629233	0.0403984	0.0330405	0.0515094	0.112418	0.173326	0.157948	0.0875939	0.0340673	0.0353604	0.0329969
a12	0.258291	0.153357	0.105501	0.0657844	0.0673229	0.0843261	0.0921777	0.0729395	0.0549192	0.0237011	0.0134399	0.00823915
a75	0.216085	0.149822	0.147753	0.107493	0.0817904	0.0746247	0.0674629	0.0494987	0.0357228	0.0262139	0.0234407	0.0200931
a98	0.113474	0.0793195	0.0981266	0.093385	0.0799032	0.0953372	0.101673	0.101804	0.092561	0.052931	0.0500885	0.0413971
a85	0.118217	0.0886695	0.110277	0.0920113	0.0818009	0.0860561	0.0888958	0.0832575	0.0739544	0.0595676	0.0613935	0.0558995
a6	0.139143	0.0986877	0.115393	0.101993	0.10887	0.10487	0.0902808	0.0524111	0.0443715	0.0425972	0.0498062	0.0515766
a37	0.133272	0.106782	0.120398	0.0969935	0.102132	0.0987125	0.0781123	0.0396766	0.0341983	0.0443462	0.0658295	0.0795467
a61	0.0919657	0.105028	0.123288	0.108024	0.110394	0.0903689	0.0621932	0.0265378	0.0295256	0.056004	0.0864462	0.110225
a31	0.0530819	0.0796308	0.0963529	0.10569	0.131815	0.110707	0.0801872	0.0318422	0.0372919	0.060495	0.0923121	0.120594
a0	0.0334087	0.0532921	0.0680947	0.101046	0.131799	0.121316	0.101198	0.0429983	0.0461173	0.0624765	0.101814	0.13644
a75	0.0267636	0.0460553	0.0609339	0.11081	0.151678	0.164145	0.135839	0.061076	0.0495008	0.0464703	0.065786	0.0809425
a5	0.0580249	0.0602901	0.0509819	0.057004	0.0769075	0.0641411	0.0546551	0.033712	0.0713823	0.119595	0.153357	0.199949
a23	0.028633	0.033241	0.0323295	0.0352003	0.0456345	0.0469981	0.0486955	0.0333726	0.0561922	0.119002	0.202659	0.318042
a61	0.0263699	0.0270266	0.0231526	0.0246697	0.0322662	0.0326673	0.037483	0.0388978	0.0748227	0.127518	0.21949	0.335636
a96	0.0135787	0.0168447	0.0164795	0.017851	0.0215937	0.0222258	0.0261798	0.0312722	0.0700371	0.153493	0.271676	0.338769
a75	0.0139738	0.0185455	0.0197913	0.0217208	0.0235813	0.0216856	0.0239972	0.0330643	0.0888473	0.17	0.262065	0.302728
a5	0.0143628	0.0144582	0.0126625	0.0116332	0.0127874	0.0138162	0.0197322	0.0355797	0.0963866	0.194299	0.251368	0.322915
a23	0.00934302	0.0107249	0.0106843	0.00989361	0.00977804	0.00864987	0.0110396	0.0200119	0.0858785	0.214932	0.263817	0.345248
a12	0.00413941	0.00420804	0.00371745	0.00332701	0.00405664	0.00378825	0.005185	0.0111519	0.0719352	0.21754	0.305912	0.365039
a93	0.00132014	0.00165129	0.00185639	0.00191823	0.00228882	0.00251845	0.00366486	0.00759982	0.0428389	0.190438	0.333274	0.41063
a70	0.000583129	0.000773126	0.00112163	0.0014963	0.001806	0.00240399	0.0040614	0.00876849	0.0441199	0.183709	0.313418	0.437739
a83	0.000789125	0.000958125	0.00143135	0.00196765	0.00225704	0.00269917	0.00423182	0.00837727	0.0384612	0.152278	0.293881	0.492668
a93	0.00105588	0.000942589	0.00127614	0.00174326	0.00253714	0.00311797	0.00434505	0.00753839	0.0291287	0.119107	0.306871	0.522337
a4	0.000615038	0.000729836	0.00113661	0.00175576	0.00247243	0.00369128	0.00614888	0.0123952	0.0521223	0.15934	0.304381	0.455212
a90	0.000986572	0.00112302	0.00164664	0.00236606	0.00347772	0.0049063	0.00780543	0.0134	0.0530986	0.167887	0.308661	0.434641
a15	0.000887958	0.00111241	0.00158756	0.00226961	0.00277851	0.00447404	0.00720219	0.011961	0.040369	0.130665	0.293658	0.503034
a20	0.000784073	0.000750849	0.000912979	0.00135595	0.00204954	0.00314839	0.00502731	0.0102237	0.0393702	0.121401	0.30009	0.514887
a7	0.00152785	0.00144738	0.00169985	0.00230866	0.00294603	0.00368827	0.00450609	0.0111164	0.0461047	0.118073	0.300079	0.506503
a36	0.00451893	0.00415496	0.00466901	0.00613177	0.00684858	0.00601186	0.00574834	0.0126722	0.0561127	0.133368	0.299131	0.460633
a2	0.0121274	0.0092357	0.010343	0.0158924	0.0168737	0.0125411	0.0117108	0.0173836	0.0576085	0.13957	0.278554	0.418159
a57	0.0438524	0.0329194	0.0354029	0.0553182	0.0543326	0.035652	0.042344	0.0512325	0.101137	0.165497	0.170861	0.211451
a87	0.14321	0.118274	0.114774	0.106091	0.119403	0.103543	0.0907733	0.0492241	0.0314911	0.0337561	0.0374809	0.0519809
a23	0.174956	0.143723	0.132806	0.11317	0.119591	0.111195	0.0915555	0.0459393	0.0265735	0.0155986	0.0126428	0.0122492
a87	0.0512258	0.0375709	0.0317309	0.0356899	0.0506565	0.0635629	0.0827685	0.0964898	0.133852	0.165556	0.152026	0.0988713
a97	0.013363	0.0124299	0.0134146	0.0257845	0.0440491	0.0573241	0.0663495	0.0796201	0.1225	0.169649	0.199828	0.195688
</S>	0.0136071	0.0143205	0.0172792	0.0270608	0.0376369	0.0404252	0.0388279	0.0386067	0.0710623	0.159075	0.259629	0.282469
