 	cet	arbuste	que	tu	as	coupé	s'	appelle	okyekyeli	</S>
a66	0.268968	0.172478	0.117865	0.0969737	0.0886411	0.0755644	0.0687037	0.0627599	0.0296277	0.0184188
a87	0.49392	0.205691	0.0956918	0.0559535	0.0384416	0.0235268	0.0221965	0.0201404	0.0236443	0.020794
a23	0.213778	0.136479	0.101332	0.0841123	0.0792001	0.0844517	0.0953614	0.069736	0.0925085	0.0430409
a9	0.196596	0.0959592	0.0576569	0.0497658	0.0488912	0.0644532	0.0903193	0.0900132	0.152696	0.153649
a53	0.247236	0.130055	0.0864865	0.0767599	0.072294	0.06946	0.0780168	0.0854388	0.0813227	0.0729294
a15	0.262586	0.229892	0.162028	0.109386	0.0751248	0.0383177	0.0379944	0.044203	0.025999	0.0144694
a79	0.205329	0.225142	0.191474	0.122107	0.0822698	0.0391535	0.036814	0.0426944	0.0353849	0.019632
a37	0.121246	0.17728	0.210482	0.165637	0.119401	0.0499325	0.044601	0.0482428	0.0377502	0.0254276
a94	0.0592509	0.0734762	0.102677	0.112434	0.138998	0.103793	0.112175	0.110149	0.106413	0.0806364
a18	0.0595558	0.0670567	0.0926691	0.104879	0.138126	0.11528	0.12014	0.102064	0.103404	0.096826
a44	0.050783	0.0436718	0.0520198	0.0589884	0.0829832	0.0952072	0.115302	0.100504	0.15549	0.24505
a56	0.0351084	0.0353474	0.0492952	0.0652256	0.0923708	0.113822	0.12893	0.108762	0.133326	0.237813
a12	0.016821	0.0196092	0.0299956	0.0486635	0.0741468	0.117991	0.146342	0.12046	0.149349	0.276622
a96	0.00595836	0.00622627	0.00882849	0.0161168	0.027976	0.0662431	0.111149	0.117547	0.207336	0.432619
a5	0.00442272	0.00431061	0.00564665	0.00992412	0.0176491	0.0495267	0.0935236	0.110575	0.221618	0.482803
a37	0.00329941	0.00321017	0.0040398	0.00690976	0.0121398	0.035415	0.0755742	0.0976979	0.210025	0.551689
a79	0.00247944	0.00242855	0.00321238	0.00556976	0.00991253	0.0290977	0.0687841	0.0891736	0.19881	0.590532
a69	0.00137503	0.00170032	0.00261124	0.00541738	0.0100474	0.0315595	0.071969	0.0866724	0.200861	0.587787
a58	0.00179348	0.0023632	0.00320004	0.00562702	0.00924092	0.0234205	0.05329	0.0717836	0.226138	0.603143
a96	0.00240651	0.00446603	0.00627237	0.00946455	0.0134212	0.0240952	0.0461156	0.0536645	0.154822	0.685272
a18	0.0107712	0.0173652	0.0220129	0.029619	0.0398056	0.0575698	0.100397	0.105223	0.170403	0.446833
a88	0.0581703	0.0507913	0.0474942	0.0534097	0.0621041	0.0878363	0.109711	0.0826728	0.136581	0.311229
a71	0.0193849	0.0202829	0.023415	0.0307264	0.0432418	0.066002	0.113708	0.115781	0.171343	0.396115
a25	0.0260605	0.0263161	0.0277284	0.0367881	0.0503629	0.082995	0.116717	0.093953	0.167974	0.371105
a87	0.102305	0.0706278	0.0532729	0.0529575	0.056695	0.0837391	0.113595	0.0787527	0.143108	0.244946
a23	0.15711	0.126329	0.0909118	0.0771694	0.074573	0.090949	0.107387	0.0734429	0.102357	0.0997712
a87	0.0633447	0.0457223	0.0344249	0.0345891	0.0406388	0.0770227	0.146944	0.109369	0.218874	0.229071
</S>	0.0139919	0.0147174	0.015795	0.0215608	0.0309393	0.086619	0.166444	0.109759	0.271522	0.268651
