 	si	tu	enlèves	les	bourgeons	de	la	canne-à-	sucre	celle-ci	ne	germera	plus	</S>
a87	0.117087	0.0914046	0.0667119	0.0801351	0.0802842	0.0845917	0.0892467	0.0805896	0.0729944	0.0602534	0.0725631	0.0596203	0.0266679	0.01785
a10	0.0897323	0.0282392	0.0311893	0.0258879	0.0632785	0.0619326	0.0898525	0.0907149	0.0935821	0.0727249	0.105651	0.0921956	0.0722227	0.0827961
a87	0.142253	0.0551872	0.045487	0.0349378	0.0699424	0.0757308	0.0760493	0.0832985	0.101487	0.0716609	0.065827	0.0477732	0.0536105	0.0767552
a30	0.200434	0.121284	0.0901487	0.064055	0.0715147	0.0706474	0.050507	0.0465936	0.0755302	0.0473421	0.0466623	0.0393385	0.0346608	0.041281
a53	0.16531	0.11541	0.104074	0.0675677	0.0866581	0.0667545	0.0514265	0.0514661	0.0532515	0.0369256	0.0498959	0.055932	0.047225	0.0481038
a15	0.208778	0.12018	0.0671202	0.0545342	0.0607719	0.0520096	0.0543744	0.0626348	0.0666428	0.0513301	0.0400489	0.0454912	0.0549278	0.0611568
a41	0.364904	0.142548	0.0562366	0.0372796	0.0310482	0.0267473	0.0295898	0.0418087	0.0513989	0.0426774	0.0367053	0.032372	0.0495121	0.0571726
a37	0.154961	0.121966	0.0893827	0.0689793	0.057298	0.0545666	0.0556503	0.066033	0.0841937	0.0602248	0.0479726	0.0393047	0.0475207	0.051947
a98	0.145316	0.126295	0.110334	0.0863572	0.0668795	0.0602415	0.0506551	0.0617701	0.0796642	0.0541097	0.0428427	0.0381065	0.0378794	0.0395498
a15	0.0814302	0.110689	0.128443	0.118805	0.085113	0.0732235	0.0640664	0.063147	0.07085	0.0606962	0.0424589	0.0287411	0.0315906	0.0407456
a69	0.0928458	0.116109	0.120634	0.115114	0.0826774	0.0718602	0.063911	0.0622247	0.0655205	0.0557539	0.0405998	0.0311408	0.0354438	0.0461645
a44	0.0394563	0.0688902	0.106357	0.108849	0.104178	0.0848031	0.0730874	0.0764808	0.0744105	0.0617171	0.0396457	0.0402901	0.0504278	0.0714075
a98	0.0439432	0.0726074	0.101676	0.106703	0.106022	0.0873309	0.0776027	0.0871344	0.0880072	0.0656707	0.0384184	0.035627	0.0384542	0.0508035
a41	0.0400489	0.0668639	0.0891345	0.104255	0.0943876	0.0725983	0.0722771	0.0803227	0.0681356	0.0668482	0.0584401	0.0640313	0.0581577	0.0644988
a92	0.0406238	0.0640654	0.085927	0.0997469	0.0934726	0.0721713	0.0744482	0.0784167	0.064755	0.0585234	0.0530392	0.0648448	0.0686773	0.0812884
a90	0.0389165	0.0568185	0.0701484	0.0922538	0.0925198	0.0718967	0.0745634	0.0814233	0.0632401	0.0569486	0.0517977	0.0765381	0.0871476	0.0857876
a58	0.0223804	0.034459	0.0495589	0.0662133	0.0980513	0.0777112	0.082695	0.0997222	0.0772216	0.0786107	0.0714914	0.0855976	0.0750763	0.0812113
a82	0.00942218	0.0141094	0.0315835	0.0472865	0.0910117	0.0806422	0.0863354	0.123051	0.104458	0.103861	0.0874733	0.0733281	0.0652318	0.0822058
a53	0.00704332	0.0102007	0.0254687	0.0376824	0.0842956	0.0836843	0.108736	0.190986	0.131971	0.107735	0.0691901	0.0494156	0.0423571	0.0512341
a56	0.0125621	0.015197	0.0250653	0.0350007	0.0790896	0.0639014	0.0735651	0.148922	0.0921613	0.0835466	0.0711023	0.0922717	0.0930392	0.114576
a13	0.0194037	0.0290651	0.0505959	0.0688494	0.0961341	0.0862704	0.0889884	0.104428	0.0930885	0.0825544	0.0674911	0.0747841	0.0695058	0.0688411
a83	0.00442783	0.00677086	0.0175175	0.0258243	0.0723685	0.0692138	0.0874202	0.139902	0.112673	0.119561	0.1066	0.10018	0.0653805	0.072161
a98	0.00476248	0.0077315	0.0193641	0.0284974	0.0827674	0.0812264	0.0981553	0.141923	0.108361	0.100595	0.0878464	0.102706	0.0676764	0.0683874
a24	0.01043	0.0160751	0.0318302	0.0438956	0.0701688	0.0652179	0.0787128	0.11195	0.0830726	0.0683505	0.0591073	0.0988757	0.121911	0.140402
a50	0.0091201	0.0132944	0.0254139	0.0329855	0.0638374	0.0595079	0.082384	0.138202	0.0879743	0.0857309	0.082278	0.122597	0.0981762	0.0984989
a90	0.00728711	0.00874085	0.015291	0.0203536	0.0460175	0.0440085	0.0663645	0.141413	0.083178	0.0806448	0.0848212	0.160714	0.129684	0.111483
a70	0.00695092	0.0104398	0.0214009	0.0284708	0.0619335	0.0645669	0.0905025	0.146308	0.0916354	0.0777611	0.0712415	0.118193	0.103919	0.106677
a90	0.00469745	0.00610326	0.0104655	0.0136305	0.0349185	0.0372306	0.0657737	0.144597	0.0821687	0.0840058	0.081999	0.162008	0.143165	0.129236
a44	0.00485746	0.0070338	0.0141719	0.0176998	0.0442849	0.0491019	0.0674157	0.116519	0.0775328	0.0707627	0.0718521	0.143214	0.14639	0.169164
a75	0.00119461	0.00154581	0.00348018	0.00516821	0.0182686	0.0221986	0.0397932	0.0880328	0.0507503	0.0521629	0.0584289	0.168314	0.237383	0.253278
a25	0.00331843	0.00379479	0.00936093	0.011619	0.0277579	0.0288277	0.0450809	0.0980049	0.0647802	0.0574392	0.0649433	0.142453	0.185358	0.257261
a44	0.00248652	0.0032139	0.00731818	0.00919325	0.0205948	0.0214708	0.0377543	0.0782188	0.0501362	0.0557957	0.0684215	0.170044	0.222759	0.252592
a58	0.000665759	0.000856014	0.00207684	0.00284486	0.0119464	0.0138971	0.027415	0.0630048	0.0303869	0.0308007	0.0345673	0.133023	0.265602	0.382913
a38	0.0005208	0.000423575	0.0010712	0.00117196	0.00561223	0.00688765	0.0157901	0.0606456	0.023929	0.0178401	0.0256043	0.0966028	0.277723	0.466177
a90	0.000331889	0.000250275	0.000577091	0.000617832	0.00324391	0.00451605	0.0108093	0.0411008	0.0182037	0.0160563	0.0294154	0.11111	0.290667	0.473101
a82	0.000201858	0.000219761	0.000674491	0.000823108	0.0045225	0.00569271	0.0109427	0.0274348	0.0134202	0.0132007	0.0224218	0.0943576	0.275818	0.530269
a40	0.000121157	7.84771e-05	0.000189798	0.000198654	0.00124955	0.00161237	0.00471121	0.0210586	0.0092248	0.0083781	0.0144661	0.0670492	0.264602	0.60706
a54	0.000219587	0.000187703	0.000721257	0.00079092	0.00424961	0.00399715	0.00859679	0.0252163	0.0110089	0.0106707	0.0188347	0.0835503	0.271545	0.560411
a36	0.000164544	0.000141664	0.000529851	0.00057316	0.00306794	0.00278575	0.00660699	0.0214883	0.0089188	0.0107497	0.0208763	0.0857859	0.272733	0.565578
a84	0.000150682	0.000120425	0.000421465	0.000388237	0.00196753	0.00195429	0.00446015	0.0149885	0.0060934	0.00627863	0.0162061	0.0892625	0.308637	0.549071
a57	0.00516869	0.0028756	0.00426879	0.00401261	0.0141148	0.0153161	0.0347102	0.123988	0.032821	0.0327177	0.0569847	0.161509	0.240036	0.271478
a87	0.0357575	0.0209133	0.0230882	0.0204567	0.0437213	0.0411383	0.066755	0.0998053	0.0489049	0.06035	0.0948583	0.140352	0.157891	0.146008
a23	0.0376017	0.0209704	0.0269415	0.0246381	0.0567871	0.0526417	0.0850916	0.113564	0.065326	0.0598739	0.0752272	0.10851	0.138036	0.13479
a87	0.0114494	0.00574687	0.0085159	0.00777302	0.0281338	0.0261399	0.0444533	0.0589395	0.0343179	0.0394048	0.0625672	0.126772	0.224801	0.320985
a23	0.00364576	0.00306847	0.00673959	0.00680775	0.0303926	0.0244187	0.0430409	0.0570911	0.0353365	0.0340028	0.0441841	0.101288	0.237014	0.37297
a87	0.00727094	0.00515742	0.00993948	0.00951765	0.0339168	0.0286507	0.0425606	0.0476984	0.0316725	0.0371796	0.0560489	0.112676	0.218616	0.359095
</S>	0.00695338	0.00551456	0.0104748	0.0100358	0.0301221	0.0232076	0.0347096	0.0384778	0.0255323	0.0308206	0.0541253	0.120343	0.243778	0.365905
