 	sa	barbe	pousse	vite	</S>
a23	0.572508	0.157178	0.119097	0.0738238	0.0773931
a85	0.61447	0.154495	0.0884197	0.0649019	0.0777133
a87	0.469381	0.185326	0.0977636	0.0935063	0.154023
a10	0.469309	0.216905	0.0894286	0.0857495	0.138608
a87	0.395101	0.160777	0.0855946	0.119818	0.238709
a23	0.345776	0.16316	0.10119	0.135806	0.254069
a83	0.402739	0.144981	0.0873998	0.127883	0.236998
a5	0.790437	0.125772	0.0310071	0.0229612	0.0298231
a96	0.692621	0.175877	0.0552666	0.0347194	0.0415161
a18	0.625391	0.193681	0.073957	0.0477387	0.0592322
a38	0.399529	0.224502	0.131195	0.110722	0.134052
a41	0.282055	0.22954	0.170827	0.144236	0.173341
a61	0.367931	0.286749	0.144639	0.0938488	0.106833
a12	0.352942	0.292155	0.14827	0.0960914	0.110542
a88	0.220726	0.293377	0.187739	0.134726	0.163431
a35	0.23351	0.317076	0.19698	0.114389	0.138045
a73	0.2314	0.287395	0.191318	0.123933	0.165954
a76	0.142554	0.167237	0.20148	0.192607	0.296121
a73	0.0699415	0.0802516	0.180198	0.276593	0.393016
a56	0.0540429	0.0883382	0.211665	0.275566	0.370388
a24	0.106339	0.158468	0.271029	0.212676	0.251487
a31	0.0461628	0.0784392	0.222903	0.291918	0.360577
a24	0.0637982	0.0919463	0.235367	0.294156	0.314732
a76	0.0593027	0.0748647	0.182395	0.310301	0.373136
a94	0.0817464	0.0977385	0.179777	0.283206	0.357532
a20	0.0354205	0.0487037	0.125072	0.314565	0.476239
a73	0.0439207	0.0648474	0.161519	0.302728	0.426986
a94	0.0348028	0.0515296	0.150924	0.307549	0.455194
a90	0.0257179	0.0399813	0.121925	0.30199	0.510385
a4	0.0233937	0.0350992	0.111329	0.309422	0.520756
a57	0.0148909	0.0212044	0.0789392	0.286618	0.598348
a53	0.0107718	0.0132763	0.0543525	0.259001	0.662598
a90	0.0163304	0.0173196	0.0622504	0.261504	0.642596
a4	0.0131716	0.0138405	0.0483156	0.249153	0.67552
a90	0.0146927	0.01697	0.0611599	0.260188	0.646989
a4	0.0103019	0.0125397	0.045412	0.246436	0.68531
a13	0.0166468	0.0183843	0.0613668	0.258839	0.644763
a9	0.0219962	0.0239404	0.0690145	0.258433	0.626616
a87	0.0121912	0.0159158	0.0686031	0.244949	0.658341
</S>	0.0331529	0.0325745	0.0891819	0.262367	0.582723
