 	elle	est	pour	notre	père	une	cousine	germaine	</S>
a15	0.189436	0.195509	0.204239	0.212009	0.115885	0.066485	0.0116255	0.00304028	0.00177175
a66	0.31315	0.235249	0.201601	0.116063	0.0445978	0.0274267	0.0224246	0.0213647	0.0181227
a87	0.313521	0.261706	0.218537	0.120231	0.038274	0.0127581	0.0109018	0.0109536	0.0131175
a23	0.3387	0.271692	0.217332	0.101606	0.0372767	0.012371	0.00668085	0.00615784	0.00818285
a79	0.335278	0.241917	0.172011	0.0752327	0.0287907	0.0161599	0.0144579	0.0291549	0.0869986
a20	0.206305	0.159538	0.146985	0.130424	0.104867	0.0739826	0.0569451	0.0515511	0.069403
a15	0.16126	0.155019	0.162685	0.173164	0.137518	0.082113	0.05391	0.0373811	0.0369503
a6	0.0706658	0.0922113	0.127263	0.19898	0.238658	0.141504	0.0825849	0.0306176	0.0175152
a36	0.0995871	0.117627	0.141278	0.185515	0.21602	0.14913	0.065213	0.0150828	0.0105475
a85	0.121496	0.130853	0.142718	0.169676	0.183562	0.137076	0.0894989	0.0164205	0.00869907
a6	0.0645625	0.0766412	0.0987802	0.159182	0.256308	0.216642	0.0885613	0.0215885	0.0177335
a36	0.065054	0.0748304	0.0950235	0.160344	0.235808	0.205807	0.0967748	0.0369332	0.0294242
a43	0.0766842	0.0925116	0.107627	0.150251	0.163744	0.210971	0.128334	0.0394099	0.030467
a11	0.0617688	0.0769438	0.0912589	0.133214	0.161543	0.242668	0.138522	0.054088	0.0399924
a75	0.0473954	0.0602877	0.0694093	0.0861471	0.0918976	0.180724	0.169283	0.174233	0.120623
a5	0.0119795	0.0143489	0.0187979	0.043098	0.0701648	0.234027	0.190338	0.227311	0.189935
a61	0.0204674	0.0234852	0.0290979	0.0536444	0.0685228	0.145019	0.127761	0.310838	0.221164
a96	0.0110772	0.0124819	0.0144468	0.025667	0.0294461	0.0651294	0.0844538	0.365429	0.391869
a75	0.003327	0.00396703	0.00442988	0.00737063	0.00910517	0.021	0.0365683	0.301681	0.612551
a92	0.00066801	0.000722888	0.000825588	0.00164	0.0024554	0.0087399	0.0189465	0.193731	0.772271
a12	0.000499931	0.000534855	0.000607875	0.00107396	0.00158284	0.00534694	0.0146501	0.176953	0.79875
a61	0.000470279	0.000523435	0.000523664	0.00082004	0.00124021	0.00373433	0.012795	0.145171	0.834722
a34	0.000230419	0.000283763	0.000335211	0.000721775	0.0012511	0.003074	0.0101776	0.133779	0.850147
a93	0.000198357	0.000259955	0.000330143	0.000901524	0.0017796	0.0048345	0.0158996	0.15418	0.821616
a96	0.000173085	0.000215341	0.00025926	0.00056826	0.00106299	0.00337735	0.014169	0.152606	0.827569
a18	0.000417146	0.000542629	0.000720212	0.00204805	0.00445473	0.0106739	0.0317803	0.197648	0.751715
a71	0.00725831	0.00844121	0.00896946	0.0139362	0.020962	0.0333551	0.0555462	0.204685	0.646847
a9	0.0144358	0.0164113	0.0177429	0.0293983	0.0447673	0.0597094	0.0687433	0.165843	0.582948
a87	0.136212	0.139914	0.138595	0.133596	0.11126	0.0846116	0.0586861	0.0806664	0.11646
a23	0.242276	0.241297	0.221274	0.153391	0.0713285	0.0275285	0.0115393	0.0132766	0.0180887
a87	0.168075	0.171473	0.170938	0.110311	0.0739413	0.0289639	0.0217592	0.0570826	0.197456
a23	0.0650907	0.0700525	0.0705293	0.0541816	0.0406569	0.0224461	0.0204738	0.139104	0.517466
a87	0.0720235	0.0743037	0.0795067	0.0684036	0.0617668	0.0496291	0.0361134	0.133034	0.42522
</S>	0.0314799	0.0328577	0.0355649	0.0353844	0.0409656	0.0420803	0.0455331	0.200688	0.535447
