 	cette	mangue	a	une	fissure	</S>
a66	0.352493	0.343221	0.215978	0.0687734	0.0130758	0.00645831
a87	0.503629	0.282036	0.145878	0.0462412	0.012643	0.00957329
a23	0.666194	0.225275	0.0764617	0.0222974	0.00516808	0.00460381
a99	0.649226	0.219216	0.0657845	0.0276462	0.0154777	0.0226492
a54	0.588956	0.190195	0.0911134	0.0521072	0.0262488	0.0513789
a7	0.0885732	0.11949	0.206172	0.293845	0.190462	0.101457
a44	0.0886032	0.114292	0.228392	0.31007	0.205728	0.0529141
a53	0.075205	0.0882371	0.187984	0.310643	0.265145	0.072786
a15	0.11154	0.122449	0.198212	0.223631	0.213179	0.130989
a79	0.0804277	0.0870893	0.148725	0.193511	0.244442	0.245805
a7	0.077304	0.0837715	0.127789	0.161242	0.223952	0.325943
a37	0.082593	0.0757662	0.0880311	0.116208	0.184128	0.453274
a79	0.065961	0.0597345	0.0645537	0.0919656	0.169966	0.54782
a37	0.0222327	0.0254121	0.0307486	0.0639693	0.19405	0.663588
a6	0.0250717	0.0214234	0.0192035	0.0355992	0.151043	0.747659
a37	0.00523981	0.00587338	0.00613962	0.020712	0.166197	0.795838
a18	0.011828	0.0108387	0.0108122	0.0208764	0.132201	0.813444
a71	0.0124575	0.0101072	0.0104485	0.0214152	0.108775	0.836797
a9	0.0467319	0.0380025	0.0408781	0.0664226	0.151164	0.656801
a87	0.177095	0.0941062	0.0723545	0.0733977	0.131752	0.451294
a23	0.525046	0.214868	0.0937613	0.0422457	0.0471789	0.0768999
a87	0.44805	0.201334	0.0946333	0.0539297	0.079693	0.12236
</S>	0.179224	0.0937944	0.0504544	0.0516847	0.162487	0.462356
