 	j'	aime	manger	l'	aile	de	poulet	</S>
a66	0.213764	0.150432	0.185649	0.17019	0.133696	0.0799436	0.0436952	0.0226306
a87	0.46552	0.231919	0.128454	0.0666718	0.0345002	0.0265409	0.0274267	0.0189673
a23	0.409238	0.25042	0.13339	0.0675789	0.0351106	0.0301594	0.032965	0.041139
a99	0.383484	0.314355	0.158658	0.0669911	0.0294765	0.01598	0.014731	0.0163243
a50	0.344917	0.310802	0.146969	0.0550513	0.0324574	0.0298036	0.036483	0.0435157
a88	0.392939	0.318342	0.164467	0.0556693	0.0236628	0.0178255	0.0149051	0.0121897
a71	0.360099	0.321457	0.17345	0.0656002	0.0284441	0.0236491	0.0169423	0.0103584
a50	0.253679	0.254937	0.192566	0.108786	0.0559568	0.0534271	0.0464609	0.0341875
a62	0.218378	0.251508	0.204888	0.114844	0.0593132	0.056093	0.0535196	0.041457
a75	0.17395	0.215532	0.203004	0.12967	0.0817562	0.0706206	0.0701144	0.0553531
a6	0.120915	0.169605	0.188363	0.154809	0.120498	0.0878479	0.083468	0.0744952
a36	0.103792	0.150985	0.198853	0.18732	0.130117	0.0795092	0.072824	0.0766005
a79	0.0911875	0.142009	0.200567	0.21554	0.143175	0.0730828	0.0611177	0.07332
a56	0.0766379	0.112372	0.159695	0.185316	0.145317	0.0923676	0.092148	0.136146
a75	0.0862437	0.131315	0.215554	0.232842	0.155542	0.0723435	0.0505876	0.055572
a56	0.0318518	0.0563771	0.130347	0.199856	0.185546	0.136412	0.122709	0.136902
a47	0.0419981	0.0677876	0.152257	0.23528	0.216017	0.116542	0.0813994	0.0887176
a88	0.0303713	0.0436886	0.10353	0.226445	0.234968	0.130818	0.101902	0.128279
a98	0.0180413	0.0248441	0.0607443	0.165711	0.25199	0.184998	0.145881	0.147791
a79	0.00852583	0.0111003	0.028333	0.102859	0.194912	0.167101	0.184777	0.302392
a37	0.00704348	0.00895847	0.0210848	0.0669927	0.157825	0.187531	0.217817	0.332748
a92	0.00795829	0.00873291	0.015853	0.0572535	0.165097	0.195426	0.214302	0.335377
a36	0.00347667	0.00383257	0.00764894	0.0292187	0.106992	0.171288	0.239016	0.438526
a34	0.00379261	0.00361	0.00501067	0.0135433	0.0574121	0.112168	0.21513	0.589333
a96	0.00184495	0.00168629	0.00258998	0.00850061	0.0430351	0.10191	0.2163	0.624134
a11	0.00112569	0.000942648	0.00133547	0.00436712	0.0216401	0.0623936	0.182997	0.725198
a0	0.00144892	0.00102773	0.00121839	0.00346983	0.0167282	0.0590051	0.215822	0.701279
a70	0.00223305	0.00148174	0.00169549	0.00435576	0.0171717	0.0584547	0.206671	0.707937
a13	0.00197176	0.00149494	0.00186399	0.00577031	0.0246233	0.0719401	0.222987	0.669348
a9	0.00916782	0.00679128	0.00860815	0.0204955	0.0524789	0.10673	0.237272	0.558456
a87	0.0397751	0.0238848	0.0283379	0.0526374	0.0943766	0.12785	0.218033	0.415105
a23	0.202359	0.110436	0.0969536	0.101501	0.112083	0.107766	0.130214	0.138687
a99	0.07069	0.0303664	0.0227511	0.0356643	0.0679617	0.10442	0.196431	0.471716
a97	0.0547275	0.0253386	0.022	0.0412911	0.0764902	0.106523	0.193083	0.480547
</S>	0.0186302	0.0111953	0.0137075	0.0363448	0.060052	0.0919913	0.190621	0.577458
