 	unes	casseroles	de	maman	s'	est	cassée	</S>
a66	0.363352	0.243206	0.179914	0.106432	0.0501733	0.0262469	0.0163016	0.0143742
a87	0.387263	0.165149	0.159298	0.0959411	0.0609289	0.0443257	0.0422127	0.044881
a23	0.54349	0.159756	0.113307	0.0526439	0.0335645	0.0310875	0.0312694	0.034881
a99	0.499753	0.289978	0.0687322	0.0263764	0.0205287	0.0231134	0.0309846	0.0405335
a18	0.383049	0.268699	0.0492019	0.0309365	0.0350105	0.0502312	0.0827232	0.100149
a62	0.464534	0.326746	0.0524031	0.0258892	0.0217302	0.0258703	0.0358855	0.0469424
a21	0.514643	0.366554	0.0457948	0.0166855	0.0120919	0.0136674	0.0144817	0.0160822
a5	0.3154	0.529351	0.0726499	0.0254825	0.013426	0.0132068	0.0142067	0.0162776
a18	0.216164	0.568733	0.079782	0.0414509	0.0235614	0.0214282	0.0239342	0.0249469
a90	0.160032	0.507342	0.117971	0.052201	0.0358177	0.0373268	0.0411848	0.0481246
a92	0.147647	0.426795	0.151224	0.0769187	0.0475256	0.0451517	0.0474622	0.0572764
a56	0.117944	0.377926	0.185336	0.112789	0.0634996	0.0487411	0.0416537	0.0521099
a75	0.106025	0.310999	0.230464	0.143839	0.0749781	0.0506352	0.0386087	0.0444511
a47	0.0418031	0.199679	0.203462	0.18442	0.127106	0.0907431	0.0678314	0.0849558
a37	0.0295777	0.139525	0.199238	0.189254	0.133634	0.102616	0.0839188	0.122236
a21	0.0288684	0.112313	0.233293	0.211965	0.12079	0.0862787	0.0819995	0.124492
a85	0.0198993	0.0900255	0.272968	0.238102	0.140821	0.0927272	0.066105	0.0793529
a47	0.00631408	0.039498	0.138061	0.158965	0.157441	0.150816	0.137826	0.211079
a37	0.00661527	0.0249884	0.0972701	0.149157	0.156377	0.157234	0.141757	0.266602
a47	0.0152893	0.0294562	0.130302	0.188239	0.140542	0.108285	0.125739	0.262147
a36	0.0112114	0.021801	0.100882	0.178444	0.151303	0.121775	0.134002	0.280581
a2	0.0100087	0.0170332	0.0596418	0.125787	0.141037	0.134505	0.161845	0.350142
a37	0.0304325	0.0230585	0.0833122	0.157604	0.149743	0.128134	0.129374	0.298342
a12	0.00614341	0.00927268	0.0280425	0.0731055	0.115996	0.13661	0.191703	0.439128
a96	0.00324664	0.00896956	0.033019	0.0811469	0.126109	0.146108	0.189318	0.412083
a62	0.00351116	0.00602116	0.0256904	0.0646859	0.10786	0.151104	0.221443	0.419685
a88	0.00268657	0.00506445	0.0189623	0.0396034	0.0688587	0.121473	0.247696	0.495656
a70	0.0017761	0.00365596	0.0158525	0.0378718	0.0678316	0.12454	0.250103	0.498369
a13	0.00121628	0.00305956	0.0129535	0.0322086	0.0585725	0.111245	0.244064	0.536681
a24	0.00330466	0.00564885	0.0211004	0.051281	0.0841763	0.139563	0.228806	0.46612
a9	0.00190861	0.00361461	0.0160596	0.0384658	0.0656186	0.130713	0.264693	0.478927
a57	0.00803484	0.00785426	0.0194773	0.0409049	0.0799025	0.171965	0.276154	0.395706
a87	0.0469333	0.0198034	0.0416477	0.0661848	0.118462	0.209411	0.245099	0.252458
a23	0.0943528	0.0225846	0.0654374	0.122794	0.173252	0.203081	0.16226	0.156238
a87	0.0132177	0.00315841	0.0214515	0.0817794	0.156586	0.22312	0.233184	0.267503
</S>	0.0065699	0.00280032	0.0208338	0.0648168	0.109631	0.178745	0.242154	0.37445
