 	ta	manière	de	garder	le	malade	le	galvanise	</S>
a66	0.285707	0.189164	0.126295	0.100803	0.126025	0.0961018	0.0451603	0.0182318	0.0125121
a10	0.302419	0.170305	0.147724	0.131126	0.103732	0.0829241	0.0374267	0.0129338	0.0114084
a87	0.514915	0.197788	0.102401	0.0800031	0.044697	0.0258554	0.0116384	0.00834047	0.0143623
a23	0.475868	0.254488	0.110871	0.0657966	0.0418126	0.0276963	0.0103309	0.00565881	0.00747727
a18	0.407308	0.175365	0.120667	0.129702	0.0588266	0.0349358	0.0206831	0.0184884	0.0340238
a53	0.319806	0.21413	0.120151	0.0975731	0.0422284	0.0393772	0.0378123	0.0444988	0.0844239
a56	0.279859	0.266655	0.130476	0.0719475	0.0435499	0.0453977	0.0469646	0.0514089	0.0637411
a96	0.153603	0.20406	0.186787	0.146914	0.0810349	0.0677693	0.0535015	0.0522596	0.0540702
a0	0.0839436	0.136794	0.182549	0.238238	0.121418	0.077933	0.0535266	0.0504916	0.0551061
a24	0.0618337	0.0937659	0.145214	0.254466	0.148366	0.0891516	0.0627244	0.0656208	0.0788569
a88	0.0838428	0.102761	0.139771	0.20352	0.15716	0.107743	0.0670639	0.0585341	0.0796043
a62	0.0744675	0.0868796	0.13824	0.217888	0.183317	0.111251	0.0592786	0.052046	0.0766327
a21	0.0604453	0.0608581	0.119833	0.206518	0.22454	0.131518	0.0617	0.053643	0.0809441
a5	0.0363506	0.036904	0.0910416	0.191448	0.253869	0.168888	0.0801996	0.0583608	0.0829386
a34	0.034381	0.0352967	0.074559	0.150853	0.256516	0.170336	0.090291	0.0744289	0.113338
a75	0.0337159	0.0341531	0.0852001	0.153548	0.291142	0.20625	0.0883318	0.0507212	0.0569388
a21	0.0187331	0.0201567	0.0479916	0.0898436	0.228379	0.203932	0.137016	0.106082	0.147865
a12	0.0277679	0.0267385	0.0558355	0.103677	0.253224	0.22563	0.143713	0.079444	0.0839697
a88	0.014997	0.0163109	0.0451077	0.0971315	0.224954	0.216414	0.172846	0.100998	0.111241
a62	0.0154535	0.0152765	0.0396079	0.0691634	0.191984	0.204556	0.181101	0.125171	0.157687
a21	0.012261	0.0128262	0.0313206	0.0655405	0.153196	0.173912	0.20891	0.197592	0.144442
a12	0.0117736	0.0124148	0.0233472	0.0423604	0.123776	0.166113	0.21723	0.223645	0.17934
a23	0.0102438	0.0122982	0.027945	0.0517107	0.0972444	0.140593	0.208734	0.237789	0.213442
a94	0.00818264	0.00835581	0.0203329	0.0325081	0.0677974	0.100651	0.16803	0.234354	0.359788
a90	0.0070627	0.00713031	0.0141339	0.021428	0.0372421	0.0594125	0.126022	0.246486	0.481082
a69	0.00345337	0.00326743	0.00710046	0.0107644	0.0250799	0.0477756	0.121518	0.266902	0.514139
a53	0.00379396	0.00333898	0.00606402	0.00794204	0.0185948	0.0334582	0.0848724	0.229582	0.612354
a44	0.00468521	0.00379498	0.00623027	0.00689084	0.0186774	0.0359578	0.0909864	0.239475	0.593302
a37	0.00172172	0.00126219	0.00206934	0.00245156	0.00517773	0.0102819	0.038227	0.164077	0.774731
a62	0.00174615	0.00116671	0.0022861	0.00276274	0.00377944	0.00560589	0.0229539	0.141443	0.818256
a88	0.00140558	0.00117275	0.00255136	0.00401412	0.007658	0.00910768	0.0265955	0.149648	0.797847
a98	0.00253191	0.00224366	0.00361558	0.00424322	0.00590323	0.00965349	0.036225	0.221259	0.714325
a47	0.000574689	0.000534486	0.00125893	0.00176049	0.0027635	0.00398637	0.017165	0.135587	0.83637
a7	0.000768746	0.000606813	0.00132538	0.00162248	0.00365721	0.00574711	0.0233531	0.154827	0.808092
a26	0.00085812	0.000685901	0.00130281	0.00147746	0.00215714	0.00354981	0.0186492	0.143296	0.828023
a57	0.0211625	0.0148994	0.021217	0.0173495	0.0215741	0.0313633	0.0773048	0.241859	0.553271
a87	0.0817994	0.0478938	0.055778	0.0441866	0.0533965	0.061418	0.096622	0.215065	0.343841
a23	0.235351	0.099439	0.0959229	0.0633619	0.0680262	0.0723388	0.0958687	0.134958	0.134733
a87	0.148211	0.0538733	0.0347456	0.0188192	0.034368	0.0579721	0.130947	0.22182	0.299244
</S>	0.0271545	0.0118932	0.0162742	0.0146065	0.0243423	0.0347265	0.079357	0.197759	0.593887
