 	tu	iras	pêcher	à	l'	écope	dans	la	rivière	</S>
a87	0.185243	0.127786	0.176777	0.174708	0.15128	0.077079	0.0438476	0.0254928	0.0205859	0.0172005
a23	0.280946	0.106861	0.105269	0.0980623	0.0929087	0.0742128	0.055355	0.0550498	0.0633017	0.0680337
a83	0.243239	0.140963	0.114702	0.100243	0.0812179	0.0637531	0.0475345	0.0514165	0.0602197	0.0967117
a90	0.320724	0.131956	0.187237	0.12844	0.0923237	0.056068	0.0350827	0.022937	0.0135937	0.0116369
a92	0.463294	0.125972	0.125641	0.0766082	0.0600981	0.0448096	0.0316809	0.0272802	0.0210877	0.0235286
a15	0.341091	0.16344	0.167202	0.106891	0.0783005	0.0486642	0.0337026	0.0257462	0.017698	0.0172652
a92	0.217592	0.213056	0.173809	0.123168	0.0802026	0.0501764	0.0461281	0.0384407	0.0281568	0.0292708
a44	0.186934	0.240587	0.176189	0.102702	0.0688346	0.0481065	0.0490516	0.0436043	0.0402031	0.0437878
a75	0.140298	0.284459	0.190996	0.117747	0.0632365	0.0367674	0.0425257	0.0394696	0.0389165	0.0455851
a85	0.0866097	0.180957	0.127747	0.0880679	0.0700222	0.0657653	0.0824539	0.0859381	0.0997254	0.112713
a37	0.0713546	0.16035	0.124064	0.0837542	0.0680966	0.0727604	0.0921336	0.102786	0.117276	0.107425
a75	0.0980509	0.184404	0.141172	0.133621	0.109043	0.077097	0.072869	0.0594112	0.0564878	0.0678451
a85	0.0586898	0.108601	0.0835034	0.0803191	0.0758523	0.0829006	0.102808	0.117122	0.143078	0.147126
a6	0.0448502	0.0611805	0.0562011	0.053139	0.0578558	0.0766203	0.107012	0.13663	0.195793	0.210718
a36	0.0379834	0.0568964	0.0484495	0.0505349	0.0593543	0.0809487	0.119295	0.14624	0.19354	0.206758
a11	0.0401884	0.0585566	0.0411786	0.0466085	0.0600482	0.104031	0.144786	0.151534	0.155532	0.197537
a75	0.0147275	0.0234703	0.0148304	0.0217598	0.0343283	0.0698609	0.111183	0.147864	0.199334	0.362641
a61	0.0184557	0.0236011	0.0185023	0.0230238	0.032253	0.0578801	0.0914486	0.137653	0.219819	0.377364
a0	0.010112	0.0155668	0.010763	0.0143469	0.0218715	0.0510214	0.100397	0.169803	0.248626	0.357493
a75	0.00248719	0.00506502	0.00362927	0.00558597	0.0104204	0.0297636	0.0647635	0.126263	0.261937	0.490085
a25	0.00424766	0.00561915	0.0056755	0.00873578	0.0156344	0.0379744	0.0649991	0.123121	0.254768	0.479225
a90	0.00102423	0.0016112	0.00149917	0.00291497	0.0073934	0.0263426	0.0574541	0.117766	0.268059	0.515935
a58	0.00127151	0.00273037	0.00223728	0.00424698	0.00918376	0.0286507	0.0635013	0.131486	0.273611	0.483081
a38	0.000574272	0.00104114	0.000806039	0.00179163	0.00464141	0.0179555	0.0479236	0.114069	0.257085	0.554113
a47	0.00281995	0.00322225	0.00313747	0.00592113	0.0131604	0.036431	0.0631052	0.128363	0.25183	0.49201
a88	0.00129197	0.00197818	0.00167823	0.0030521	0.00671519	0.025381	0.0499519	0.117466	0.272268	0.520217
a0	0.00198291	0.00275068	0.00246215	0.00502429	0.0119881	0.0395609	0.0722724	0.144009	0.265643	0.454307
a24	0.0071565	0.00593871	0.00818435	0.0176256	0.0384609	0.0734171	0.0998336	0.154444	0.240774	0.354165
a9	0.00693384	0.00621866	0.00849172	0.0177316	0.0389002	0.0828001	0.105924	0.160579	0.230564	0.341857
a99	0.0337142	0.0232907	0.0338927	0.0411388	0.0619423	0.0742895	0.0962005	0.139548	0.212644	0.283339
a87	0.0312978	0.0340799	0.0404723	0.0538303	0.0791005	0.105187	0.111149	0.142673	0.20408	0.19813
a23	0.0647175	0.0527387	0.0571932	0.054821	0.0668196	0.0876386	0.0967376	0.125248	0.183407	0.210678
a87	0.0141667	0.01796	0.0128176	0.0175836	0.027616	0.0663713	0.117868	0.171017	0.248083	0.306517
</S>	0.00560264	0.00894905	0.00741371	0.0115367	0.0212621	0.0583965	0.105129	0.162379	0.25596	0.363371
