 	le	guérisseur	rencontre	des	cas	difficiles	dans	le	traitement	des	malades	</S>
a66	0.0518081	0.0529907	0.102851	0.217	0.212004	0.145269	0.0951412	0.063245	0.0419234	0.010204	0.00430108	0.00326153
a87	0.337777	0.220581	0.0956399	0.0942123	0.0605082	0.0304277	0.0360947	0.0420164	0.0420811	0.0131906	0.013023	0.0144482
a23	0.405512	0.260658	0.106491	0.0545213	0.0340706	0.0284579	0.0334783	0.0228347	0.0239056	0.00883835	0.00909156	0.0121408
a83	0.409543	0.22933	0.0896061	0.031511	0.0308629	0.042285	0.049187	0.0332832	0.0238601	0.0117458	0.0174875	0.0312978
a54	0.276017	0.133492	0.0781924	0.0506641	0.0600551	0.0830413	0.0911118	0.0675894	0.0449321	0.0260647	0.0370421	0.0517978
a92	0.172653	0.0992272	0.0469949	0.0683832	0.0765035	0.0807726	0.0954246	0.109971	0.108137	0.0387651	0.0492956	0.0538731
a37	0.160786	0.0968673	0.0569929	0.114471	0.12353	0.0938532	0.092154	0.101947	0.101225	0.020972	0.0188522	0.0183494
a85	0.129403	0.0915822	0.0738348	0.123997	0.127664	0.104079	0.0999879	0.0921221	0.0940366	0.0228631	0.0197716	0.020659
a6	0.0738823	0.0595293	0.0659116	0.1346	0.187961	0.122773	0.0890305	0.101121	0.0870149	0.0316426	0.0230113	0.0235231
a36	0.0803391	0.0596868	0.0709442	0.125532	0.168496	0.144534	0.098149	0.0979135	0.0739321	0.0283285	0.024722	0.0274227
a47	0.0741909	0.0661819	0.0939728	0.121019	0.134982	0.136397	0.105684	0.0989872	0.072523	0.0287236	0.0296022	0.0377362
a88	0.0620584	0.0650148	0.105033	0.116999	0.124643	0.135161	0.11135	0.0989544	0.0666399	0.03136	0.0358228	0.0469629
a94	0.0263687	0.0323647	0.0776108	0.0941968	0.113509	0.15251	0.121687	0.113594	0.0931964	0.0576227	0.054173	0.0631664
a93	0.0187846	0.0210849	0.0576445	0.0768135	0.096543	0.158978	0.134746	0.124898	0.0987706	0.07105	0.0662573	0.0744292
a56	0.0182451	0.0189113	0.0420401	0.0664267	0.0960076	0.134207	0.103731	0.107014	0.107548	0.0964155	0.0978164	0.111638
a54	0.0105937	0.011192	0.022122	0.0392865	0.0722373	0.110419	0.0850959	0.0872575	0.110145	0.117022	0.145625	0.189003
a85	0.00217396	0.00233859	0.00362612	0.00579302	0.0117334	0.0288185	0.0262025	0.0311452	0.0661881	0.150947	0.259687	0.411347
a6	0.00107475	0.00104042	0.00178275	0.00297123	0.00523725	0.0118323	0.0116608	0.014045	0.0380519	0.169665	0.309499	0.43314
a0	0.000738485	0.000636498	0.00106662	0.00160952	0.00318382	0.00827395	0.00936835	0.0116614	0.0361376	0.202118	0.315955	0.409251
a61	0.000774477	0.000554854	0.000548788	0.000473766	0.000693241	0.00220864	0.00363064	0.00429911	0.0145539	0.167622	0.342112	0.462529
a62	0.00133572	0.000934402	0.000750165	0.000698888	0.000893975	0.00242862	0.0048582	0.00602765	0.0212558	0.15715	0.326074	0.477592
a96	0.000850516	0.00066333	0.000558769	0.000577253	0.00057115	0.00170621	0.00422535	0.00645311	0.0230784	0.163595	0.310078	0.487643
a98	0.000577037	0.000400486	0.000334756	0.000385352	0.000442982	0.00117699	0.00316365	0.00518505	0.0212371	0.15575	0.301289	0.510058
a47	0.00012843	9.32309e-05	8.08793e-05	9.15669e-05	0.000115786	0.000448189	0.00166674	0.00263534	0.0129535	0.127018	0.285275	0.569494
a36	0.000163834	0.000119365	9.88049e-05	9.05214e-05	0.000130706	0.000626692	0.00308534	0.00437137	0.0161393	0.141738	0.291196	0.54224
a7	0.00302327	0.00145643	0.00076493	0.000953736	0.0010408	0.00194637	0.00574178	0.00779774	0.0146695	0.0999999	0.274605	0.588
a79	0.00456477	0.00213619	0.00125004	0.00148973	0.0014444	0.00239821	0.00577983	0.00751608	0.013736	0.101546	0.281642	0.576497
a44	0.000614991	0.00032055	0.000190461	0.000234825	0.000304437	0.000635865	0.00185756	0.00301046	0.00669109	0.0700371	0.257679	0.658424
a66	0.000485497	0.000267864	0.000194466	0.000233275	0.000296854	0.000935455	0.00272834	0.00464341	0.0107028	0.100471	0.267601	0.61144
a57	0.00377508	0.00167099	0.00120996	0.00131074	0.000917531	0.00264449	0.00774872	0.00960089	0.0233121	0.151541	0.292085	0.504183
a9	0.0487024	0.0171053	0.0075662	0.00819069	0.00528338	0.00908208	0.0165784	0.0152176	0.0297696	0.115071	0.259124	0.468309
a87	0.219173	0.12365	0.0622011	0.0571544	0.0348958	0.0425416	0.0422851	0.0340242	0.0411263	0.0637619	0.106717	0.172469
a23	0.183536	0.12209	0.0737445	0.0640543	0.0477053	0.0520221	0.0502062	0.0403346	0.0462846	0.0741893	0.107249	0.138583
a87	0.130901	0.102874	0.0313327	0.0162885	0.0132763	0.00902093	0.00757914	0.00778856	0.0125125	0.069794	0.236606	0.362027
a97	0.0164053	0.0123324	0.00508606	0.00354411	0.00561303	0.00654328	0.006498	0.00622765	0.0128431	0.0703253	0.287881	0.5667
</S>	0.0236754	0.0238971	0.0218828	0.0187855	0.0319824	0.0356862	0.0254264	0.0235795	0.0326142	0.0767196	0.23374	0.452011
