 	le	véhicule	qui	est	tombé	en	panne	hier	est	déjà	réparé	</S>
a27	0.253379	0.146085	0.0827388	0.0890147	0.0882037	0.0753474	0.0611933	0.0539371	0.045021	0.0382593	0.0344585	0.0323625
a82	0.328779	0.172495	0.0961349	0.0864941	0.0751289	0.0674644	0.0480872	0.0372883	0.0280715	0.0220844	0.021779	0.0161928
a10	0.298847	0.205626	0.144688	0.091337	0.0675615	0.0657765	0.0372529	0.0268164	0.0189721	0.0156155	0.0141906	0.013316
a87	0.319277	0.236181	0.158566	0.0744431	0.045997	0.0455348	0.0312449	0.0269672	0.0227287	0.0172392	0.0134239	0.00839793
a10	0.297055	0.193395	0.139181	0.0778085	0.0565943	0.0574306	0.044014	0.0398204	0.0340009	0.0268646	0.0220188	0.0118175
a87	0.43314	0.246301	0.115632	0.0540224	0.0269398	0.0223935	0.019164	0.0218002	0.0204253	0.0195483	0.0129705	0.00766277
a23	0.403938	0.254771	0.120709	0.0574864	0.0290378	0.0224917	0.0194119	0.0235537	0.0232163	0.0225777	0.0144172	0.00838922
a87	0.40146	0.247747	0.0942973	0.0485245	0.0333799	0.028762	0.0286606	0.0374605	0.0334861	0.027509	0.0124145	0.00629847
a23	0.404084	0.241593	0.0986595	0.046868	0.0311397	0.027114	0.025593	0.0326359	0.0318934	0.031379	0.0186038	0.0104369
a58	0.398438	0.232652	0.0913782	0.051648	0.0350498	0.0298423	0.0291134	0.0382344	0.0343871	0.0321793	0.0167361	0.0103416
a57	0.295228	0.277431	0.137809	0.0783289	0.0423162	0.0305533	0.031326	0.0368558	0.0296437	0.0217687	0.00950051	0.00923917
a53	0.208433	0.20897	0.127347	0.0882392	0.0626198	0.048569	0.0514575	0.0605046	0.0560217	0.0454093	0.023052	0.0193778
a69	0.202649	0.209929	0.164826	0.106749	0.071124	0.0635796	0.0520948	0.0448106	0.0350327	0.0248738	0.0117485	0.0125835
a4	0.154454	0.181702	0.16266	0.117218	0.0840924	0.07809	0.0595709	0.0496545	0.0390794	0.0314987	0.0191572	0.0228217
a11	0.0626398	0.0878981	0.125689	0.11359	0.0997801	0.0983597	0.0758094	0.0628184	0.0611253	0.0586892	0.0690641	0.0845371
a96	0.0452899	0.0595796	0.101009	0.098505	0.0920717	0.093579	0.0757361	0.0667294	0.0679254	0.0705982	0.103712	0.125265
a98	0.033449	0.0459287	0.0887748	0.0988628	0.0939526	0.0979564	0.0749697	0.063455	0.0606587	0.0631208	0.110552	0.168319
a83	0.0589358	0.0874368	0.125043	0.135711	0.116132	0.113406	0.0803731	0.0639004	0.052562	0.046903	0.0500269	0.0695706
a53	0.0178266	0.0219154	0.0462698	0.0818975	0.0972758	0.105382	0.0755726	0.06215	0.0580749	0.0652102	0.134792	0.233633
a4	0.0355631	0.045363	0.0797201	0.126701	0.123641	0.126126	0.0911591	0.0768515	0.0702964	0.0625385	0.0791689	0.0828713
