 	okyémba	est	pris	en	flagrant	délit	d'	adultère	</S>
a66	0.368505	0.236673	0.16992	0.0904299	0.0593235	0.0386039	0.0185048	0.010334	0.00770575
a87	0.406826	0.169708	0.109869	0.0778237	0.0568346	0.0406388	0.036396	0.0493781	0.0525262
a23	0.344534	0.221923	0.165684	0.0744907	0.048773	0.0355439	0.0303269	0.0360911	0.0426342
a3	0.427841	0.187916	0.151331	0.0675805	0.0480816	0.0331589	0.0214247	0.0266952	0.0359702
a40	0.456443	0.210904	0.165486	0.0572606	0.0377643	0.0217884	0.0148888	0.0161161	0.0193485
a47	0.252637	0.210784	0.193142	0.110022	0.0986133	0.0415482	0.0259911	0.0339691	0.0332922
a36	0.18893	0.172881	0.210368	0.155712	0.159161	0.0462417	0.0193515	0.0223509	0.0250043
a37	0.0869949	0.105645	0.167832	0.180444	0.225639	0.103813	0.0404445	0.0427828	0.0464044
a34	0.0757795	0.0995067	0.174394	0.19725	0.269751	0.109908	0.0277017	0.0244502	0.021259
a93	0.0877964	0.115561	0.191063	0.229333	0.271504	0.0696412	0.0122337	0.0118876	0.01098
a70	0.0873585	0.115014	0.159594	0.226966	0.277657	0.0836048	0.017672	0.0157405	0.0163917
a13	0.105171	0.150711	0.169924	0.203573	0.214761	0.0814423	0.0247237	0.0229104	0.0267839
a61	0.10798	0.130772	0.13383	0.160299	0.152354	0.0975055	0.0555238	0.0751656	0.0865696
a21	0.0813577	0.108472	0.117241	0.189205	0.223672	0.12994	0.0589875	0.0473778	0.0437479
a56	0.100636	0.1106	0.112415	0.149507	0.180262	0.151307	0.0858426	0.0549408	0.054489
a96	0.0587741	0.0792155	0.0858527	0.140666	0.165942	0.152481	0.113987	0.102269	0.100813
a90	0.0347028	0.0496529	0.0517577	0.0844939	0.108344	0.154228	0.169601	0.18488	0.16234
a15	0.0371933	0.0457404	0.0435742	0.061517	0.0738069	0.132995	0.205217	0.216582	0.183375
a25	0.00840087	0.010641	0.00831057	0.0115908	0.0186905	0.0693678	0.201582	0.334026	0.33739
a69	0.00278846	0.00348651	0.00278773	0.004534	0.00675967	0.026747	0.122547	0.396491	0.433859
a90	0.00138406	0.00142204	0.00108905	0.00218506	0.00428498	0.0173017	0.0853005	0.357807	0.529226
a25	0.00120448	0.00138944	0.000914279	0.0014242	0.00211219	0.0102769	0.0664935	0.333497	0.582688
a56	0.000170635	0.00016827	0.000115214	0.000314729	0.000649087	0.00300921	0.0355748	0.310255	0.649743
a11	0.000276016	0.000405898	0.000228616	0.000380336	0.000510695	0.00322778	0.053	0.327981	0.613989
a47	0.00012061	0.00019645	0.000113331	0.000270194	0.00036248	0.00230042	0.0501842	0.310025	0.636428
a31	0.000263573	0.000380023	0.000277506	0.000600187	0.000936204	0.00386223	0.0507095	0.303127	0.639844
a88	0.000316769	0.000463789	0.000403096	0.000851874	0.00121449	0.00480922	0.0554985	0.303921	0.632522
a9	0.000385139	0.000596997	0.000551751	0.00138081	0.00217517	0.00795154	0.0798145	0.325279	0.581865
a87	0.0181097	0.0335215	0.0256606	0.0361827	0.0336616	0.0595861	0.146111	0.242911	0.404256
a23	0.122418	0.176398	0.136396	0.133855	0.0852678	0.0742769	0.0760066	0.0816708	0.113711
a99	0.00793158	0.00740478	0.00652174	0.0099127	0.01108	0.01436	0.0658033	0.340686	0.5363
a97	0.00248873	0.00172597	0.00147187	0.00245493	0.00369917	0.00900394	0.0544178	0.329628	0.595109
</S>	0.00256825	0.00234108	0.00208736	0.00312387	0.00450171	0.00890669	0.0485047	0.332022	0.595944
