 	le	manioc	que	ma	tante	paternelle	a	préparer	s'	est	refroidi	</S>
a66	0.113726	0.0882558	0.0916766	0.116184	0.185944	0.211297	0.114969	0.0463403	0.0124756	0.00734941	0.00645985	0.00532283
a87	0.277722	0.185836	0.115836	0.0961779	0.105504	0.101839	0.0501744	0.0212533	0.0145493	0.0119599	0.0108412	0.00830702
a23	0.308369	0.21477	0.126188	0.106377	0.0711249	0.0800283	0.0353301	0.0135373	0.0114092	0.0104085	0.0117652	0.0106926
a18	0.24431	0.212129	0.118914	0.0933788	0.0659433	0.0975083	0.0343099	0.0213658	0.0285353	0.0265933	0.0304676	0.0265449
a9	0.110141	0.120246	0.103541	0.0996257	0.0765869	0.0869688	0.0439336	0.0561465	0.0755936	0.0762764	0.0882533	0.0626869
a53	0.159317	0.159669	0.143472	0.12211	0.0927207	0.0759594	0.0439287	0.0450201	0.0456742	0.0439807	0.0427632	0.0253857
a90	0.175011	0.202479	0.159642	0.109231	0.0690611	0.0770621	0.0345882	0.0286818	0.0364046	0.0401308	0.0468233	0.0208843
a93	0.0802488	0.113067	0.118075	0.111961	0.0931492	0.111621	0.0677277	0.0496528	0.0581132	0.0648455	0.0827953	0.0487431
a4	0.062411	0.103195	0.130866	0.137163	0.107921	0.139615	0.0703451	0.0397591	0.0385308	0.0445883	0.067916	0.0576891
a94	0.0718833	0.107813	0.131877	0.141886	0.125501	0.173095	0.0767702	0.03187	0.0254185	0.0290051	0.0427048	0.0421764
a62	0.060616	0.0938497	0.123807	0.143302	0.13073	0.187172	0.0827881	0.0296556	0.0251214	0.0298848	0.0452039	0.0478693
a75	0.0476812	0.067218	0.0972492	0.135813	0.138605	0.176992	0.104673	0.0356079	0.0321263	0.037788	0.0571997	0.0690473
a92	0.017306	0.0303409	0.0574698	0.094923	0.121638	0.149291	0.111678	0.0658958	0.0593514	0.0740563	0.113131	0.104919
a37	0.0280307	0.0415764	0.0751008	0.12424	0.160442	0.166161	0.122488	0.0525516	0.0372342	0.0435369	0.0707098	0.0779285
a96	0.020614	0.027838	0.0510178	0.113637	0.171434	0.172678	0.156782	0.0561968	0.0391956	0.0431015	0.0660471	0.0814577
a75	0.0164672	0.0205918	0.0372514	0.0855744	0.150258	0.134053	0.151238	0.0778967	0.0535205	0.0579831	0.0939803	0.121185
a5	0.00837197	0.011598	0.0202945	0.0447962	0.0902947	0.0756911	0.104873	0.0815852	0.0864433	0.104471	0.175013	0.196569
a23	0.0107305	0.0133546	0.0219077	0.0499568	0.103947	0.0696651	0.129061	0.0991853	0.0778401	0.0856115	0.142318	0.196422
a75	0.007312	0.00861424	0.0138903	0.0327677	0.071554	0.0414126	0.0905412	0.0886429	0.0813766	0.0971361	0.183057	0.283695
a47	0.00513506	0.00575809	0.00916239	0.0206027	0.047532	0.0277585	0.0656891	0.0899091	0.105719	0.121075	0.202157	0.299502
a37	0.00338282	0.00365922	0.00541934	0.0131802	0.0264595	0.0152265	0.0362113	0.0586474	0.094543	0.116653	0.207353	0.419265
a54	0.00330974	0.00335471	0.00411219	0.00846505	0.0154943	0.00782127	0.0214599	0.0457078	0.10024	0.136238	0.229591	0.424207
a92	0.00158988	0.00147701	0.00170715	0.00337489	0.00625644	0.00383439	0.0135232	0.0491501	0.130412	0.161946	0.224692	0.402037
a61	0.00176965	0.00164824	0.00181035	0.00312438	0.00548939	0.0031131	0.0112023	0.0395798	0.12191	0.166166	0.244845	0.399342
a62	0.00180368	0.00177437	0.00191513	0.00306375	0.00461332	0.00294136	0.00953857	0.0363595	0.109312	0.167253	0.262837	0.398589
a88	0.00115005	0.00133317	0.00152996	0.00237649	0.00279225	0.00191068	0.00533503	0.0197809	0.0775395	0.155951	0.276633	0.453668
a50	0.000546874	0.000657366	0.000766208	0.00124134	0.00123839	0.000941432	0.00280373	0.0132393	0.0601822	0.133529	0.256508	0.528346
a88	0.000581603	0.000668036	0.000794604	0.00134236	0.00126308	0.000944788	0.00275577	0.0160629	0.0669292	0.136788	0.246684	0.525186
a50	0.000336207	0.000362157	0.000419749	0.000749226	0.000718572	0.000532464	0.00207147	0.0141534	0.0590346	0.116629	0.222569	0.582424
a88	0.000412923	0.000411437	0.000480399	0.000867467	0.00083591	0.000570971	0.00265188	0.0171519	0.0586632	0.111091	0.215786	0.591077
a71	0.000509021	0.000479591	0.000499558	0.000785961	0.000718173	0.000571308	0.00249206	0.016951	0.0555158	0.103389	0.19547	0.622619
a70	0.00320171	0.00241698	0.00210995	0.00249057	0.00221499	0.00180247	0.00551754	0.0201595	0.0513819	0.0926038	0.182487	0.633614
a75	0.000223216	0.000217697	0.00022598	0.00032323	0.000289041	0.000222452	0.00097859	0.00832912	0.0336557	0.0798346	0.180593	0.695108
a79	5.33146e-05	5.38203e-05	6.84862e-05	0.000138655	0.000180432	0.0001444	0.000942796	0.00873723	0.0414851	0.101133	0.201462	0.6456
a44	8.10153e-05	7.28369e-05	8.12495e-05	0.000146735	0.000171503	0.000128991	0.000720554	0.00563581	0.0268809	0.0697832	0.172388	0.72391
a13	0.000167027	0.000156623	0.000181155	0.00031194	0.00036285	0.000270835	0.00118977	0.00829777	0.0323732	0.0783207	0.176423	0.701945
a26	0.00083443	0.000686987	0.000638143	0.000852291	0.00076991	0.000593419	0.00277888	0.016271	0.0478335	0.100027	0.203859	0.624856
a57	0.0495632	0.0268697	0.0189277	0.0169001	0.0161114	0.014578	0.0173424	0.0283378	0.0511318	0.0838196	0.152459	0.52396
a97	0.140043	0.0701696	0.0437851	0.0373832	0.0372756	0.0337767	0.024329	0.0290998	0.0463186	0.0750137	0.124906	0.337899
a87	0.241756	0.128303	0.0756416	0.06325	0.0646019	0.0624711	0.0317432	0.0301147	0.0397339	0.0540511	0.07159	0.136744
a23	0.174853	0.106923	0.0711248	0.0689387	0.0778408	0.0700563	0.0431477	0.0500483	0.0625987	0.0743386	0.0857271	0.114403
a87	0.133002	0.0765092	0.0422376	0.0351378	0.0262055	0.0195529	0.0188867	0.0347908	0.0985286	0.136098	0.185657	0.193395
a23	0.0525177	0.0360034	0.0252032	0.0302177	0.0302643	0.030411	0.0288486	0.0454543	0.102661	0.138529	0.225283	0.254607
a87	0.0798607	0.052738	0.0363194	0.0399877	0.0451149	0.0374997	0.0384503	0.0500398	0.10576	0.135288	0.193002	0.18594
</S>	0.0529084	0.0395983	0.0301885	0.0379751	0.0469458	0.0394893	0.038537	0.0456932	0.101842	0.136116	0.212503	0.218204
