 	j'	aime	travailler	avec	toi	parce	que	tu	es	persévérant	</S>
a66	0.188053	0.145309	0.122977	0.130902	0.0989217	0.0876943	0.089637	0.0710968	0.044305	0.0133373	0.00776552
a87	0.297924	0.207074	0.12613	0.0819241	0.0519333	0.0361813	0.0452383	0.0584514	0.0549286	0.0228963	0.0173185
a23	0.44987	0.259761	0.126752	0.06539	0.0279388	0.0146542	0.0141219	0.0145216	0.0128633	0.00734236	0.00678507
a99	0.441035	0.207652	0.0970241	0.0536383	0.0302953	0.0257184	0.0235205	0.0262182	0.030393	0.0309993	0.0335059
a83	0.286175	0.16669	0.0930259	0.0585408	0.0360789	0.0366945	0.0407713	0.0536092	0.0761714	0.0819643	0.0702787
a88	0.254449	0.184929	0.109394	0.0911538	0.0602116	0.0423713	0.0399748	0.0491021	0.06637	0.0555062	0.0465377
a71	0.266478	0.202734	0.151901	0.113726	0.0753179	0.034562	0.027464	0.0302869	0.040165	0.0318453	0.0255203
a88	0.127132	0.143083	0.153597	0.1367	0.110222	0.0678617	0.0523576	0.0507589	0.0585227	0.0539687	0.0457972
a54	0.104888	0.124271	0.138267	0.129015	0.120563	0.0873453	0.0673593	0.0628612	0.0652597	0.0547689	0.0454015
a7	0.0804422	0.0986302	0.106384	0.100981	0.112588	0.0939406	0.0830014	0.0940282	0.103979	0.0700895	0.0559368
a44	0.102933	0.14491	0.145326	0.142231	0.115156	0.0763644	0.0587288	0.0487174	0.0473376	0.0506751	0.0676211
a11	0.0660082	0.106409	0.121244	0.139951	0.127412	0.0930666	0.0732586	0.0586677	0.0529342	0.0684553	0.0925935
a90	0.0488834	0.0848082	0.115221	0.146793	0.149887	0.127146	0.0932995	0.0589235	0.0436027	0.0552091	0.0762272
a11	0.0207534	0.0343582	0.0574812	0.0912596	0.142561	0.154755	0.134728	0.10858	0.0837746	0.0812492	0.0904986
a75	0.0367676	0.0489317	0.0644716	0.0918522	0.130741	0.152282	0.123177	0.0818854	0.0651986	0.0862625	0.118432
a6	0.0156572	0.0228033	0.0324446	0.0513853	0.0920797	0.132658	0.132803	0.121718	0.121187	0.132132	0.145131
a37	0.0104606	0.0160359	0.0235271	0.0414359	0.0825907	0.122266	0.124079	0.118249	0.128564	0.151778	0.181015
a7	0.0241788	0.0302706	0.0359164	0.0559058	0.0890093	0.127996	0.119066	0.098468	0.0918388	0.1408	0.18655
a58	0.022456	0.0227657	0.0255053	0.0384275	0.0574177	0.09339	0.0908087	0.085041	0.0976775	0.198612	0.267898
a84	0.027752	0.0239576	0.0254722	0.034028	0.0427165	0.063922	0.0691827	0.0778055	0.101971	0.22472	0.308472
a87	0.0675889	0.0582477	0.0643061	0.0726054	0.0747426	0.0909255	0.0924982	0.0813372	0.074051	0.144521	0.179176
a23	0.172435	0.0845823	0.0796957	0.0703133	0.067139	0.0666504	0.067904	0.0630415	0.0692174	0.121501	0.13752
a10	0.0380606	0.017091	0.0182777	0.0193537	0.030378	0.0316401	0.0382685	0.0637339	0.136065	0.28216	0.324972
a38	0.00511347	0.00324762	0.00476395	0.00621405	0.0131553	0.0212241	0.0285405	0.0524279	0.134343	0.345137	0.385833
a66	0.00462309	0.00298966	0.00464124	0.0065376	0.013159	0.0252742	0.0351536	0.0576006	0.140863	0.354061	0.355097
a13	0.00283009	0.0023585	0.00322124	0.00479897	0.00973947	0.0201062	0.0287277	0.0546342	0.137539	0.348841	0.387204
a44	0.00756028	0.00567372	0.00661477	0.00916878	0.0143625	0.0229467	0.0313016	0.058484	0.127534	0.314837	0.401517
a13	0.00322881	0.00251066	0.00330806	0.00517579	0.0103667	0.0202222	0.0292682	0.0550915	0.137652	0.326095	0.407081
a38	0.00449502	0.00353036	0.0037897	0.00541882	0.0112354	0.0205964	0.0273889	0.0521341	0.131905	0.28862	0.450886
a66	0.00452325	0.00345525	0.00390564	0.00565261	0.013238	0.0272038	0.0391883	0.0707447	0.146467	0.269183	0.416438
a54	0.0111923	0.00812702	0.00781866	0.010172	0.0182512	0.0319809	0.0428399	0.0754964	0.13342	0.261173	0.399529
a7	0.00353887	0.00311402	0.00315723	0.00363116	0.0071637	0.0156664	0.0220826	0.035993	0.097258	0.303978	0.504417
a26	0.00216712	0.00165095	0.00205734	0.00280448	0.00561098	0.009103	0.0133179	0.0258203	0.0748388	0.293107	0.569522
a44	0.0187681	0.00989551	0.0109223	0.0142262	0.0256273	0.0296805	0.0369618	0.0652051	0.111358	0.257055	0.4203
a7	0.00610416	0.00444473	0.00541226	0.00781953	0.0185263	0.0309617	0.0418549	0.0697569	0.115012	0.265761	0.434346
a18	0.00497586	0.00344791	0.00397444	0.00583342	0.0144463	0.0238639	0.0323545	0.0585133	0.104871	0.273117	0.474603
a25	0.0115655	0.00639528	0.0071463	0.0100423	0.0209498	0.0283652	0.0371066	0.0671561	0.115454	0.283346	0.412473
a87	0.0148649	0.00840467	0.0110471	0.0182944	0.043766	0.0603363	0.0687272	0.0939884	0.119639	0.227665	0.333267
a23	0.1598	0.0771003	0.0624907	0.0583522	0.0594809	0.0518053	0.0556083	0.0732291	0.0972023	0.137533	0.167398
a87	0.16046	0.129352	0.10861	0.0930615	0.0890212	0.0807608	0.0722822	0.0623117	0.0575876	0.0698692	0.0766846
</S>	0.0738157	0.0550367	0.054206	0.0522187	0.0646329	0.0628648	0.0612355	0.0648329	0.0837317	0.179392	0.248033
