 	nous	nous	sommes	séparés	depuis	longtemps	mon	oncle	et	moi	</S>
a15	0.272849	0.140485	0.0594339	0.0534405	0.0719819	0.0844446	0.095194	0.0956722	0.0635868	0.03565	0.0272619
a82	0.208759	0.114743	0.0732369	0.0664587	0.0919208	0.0878075	0.0933102	0.107584	0.0768275	0.0428198	0.0365328
a99	0.380599	0.291414	0.104012	0.0432644	0.0394544	0.0377028	0.0263049	0.0211755	0.0158422	0.0181721	0.0220593
a10	0.369943	0.315539	0.101695	0.0375191	0.0373137	0.0354378	0.0284914	0.023423	0.016351	0.0156263	0.0186605
a87	0.3892	0.320374	0.103476	0.0272659	0.0289187	0.0270416	0.0242878	0.022874	0.0193177	0.0181834	0.0190617
a99	0.333594	0.271819	0.108496	0.0398613	0.0482154	0.0456664	0.0386211	0.0351934	0.0274545	0.0249018	0.026177
a87	0.419092	0.24511	0.0669326	0.0273309	0.0288947	0.0311028	0.0325841	0.0321422	0.0347561	0.0391144	0.0429398
a23	0.434762	0.254627	0.0727341	0.0249889	0.023773	0.0247536	0.0258713	0.0278946	0.0319945	0.036977	0.0416242
a83	0.256472	0.142166	0.0692713	0.0476044	0.0413854	0.0462551	0.0543447	0.0622033	0.0719793	0.0942423	0.114076
a75	0.158678	0.148253	0.135338	0.0730477	0.0603765	0.0679734	0.0628225	0.0531833	0.0596258	0.0822212	0.098481
a6	0.0774011	0.116346	0.173737	0.140462	0.103375	0.0864413	0.073062	0.0654331	0.0490567	0.057804	0.0568817
a0	0.0324911	0.0666166	0.131509	0.164602	0.144991	0.124289	0.100818	0.0858903	0.0522509	0.0484207	0.048121
a75	0.0227011	0.0514634	0.152176	0.199993	0.158443	0.11954	0.0870831	0.0725813	0.0449009	0.0443322	0.0467859
a47	0.0209047	0.0513417	0.142645	0.185431	0.157754	0.134972	0.100597	0.0791706	0.0450301	0.039873	0.0422806
a92	0.0230188	0.0430878	0.12382	0.190271	0.178827	0.152784	0.0983838	0.0691822	0.0392094	0.0377118	0.0437047
a37	0.0339345	0.0471942	0.120069	0.176475	0.171694	0.156633	0.107666	0.0785101	0.040944	0.0333039	0.0335767
a56	0.020924	0.0271998	0.0686953	0.160771	0.204867	0.179169	0.124041	0.0949418	0.0451518	0.0366806	0.0375584
a75	0.0120808	0.0151664	0.0398018	0.13864	0.215157	0.183592	0.142091	0.109856	0.0569048	0.0425378	0.0441716
a34	0.00803886	0.00898643	0.0203905	0.0712684	0.157771	0.170381	0.152743	0.120089	0.10094	0.0940781	0.0953131
a62	0.00962825	0.00969121	0.019037	0.0765743	0.181002	0.169244	0.163163	0.135325	0.0978165	0.0711625	0.0673562
a47	0.00798403	0.00840846	0.0153447	0.055087	0.133864	0.134902	0.161076	0.151952	0.132116	0.102833	0.0964328
a34	0.00853424	0.00919387	0.0150561	0.0453007	0.0987806	0.110055	0.148633	0.150357	0.146905	0.131517	0.135667
a44	0.00439912	0.00420747	0.0073036	0.0298162	0.0802596	0.0942775	0.141662	0.151225	0.16943	0.163681	0.153738
a75	0.00253553	0.00239156	0.0040648	0.0153788	0.0371521	0.0523131	0.10371	0.143448	0.194069	0.218439	0.226498
a47	0.00125545	0.00121262	0.00223272	0.0091599	0.0219821	0.0337457	0.0716902	0.0998752	0.161134	0.256275	0.341437
a36	0.00105684	0.000824525	0.00136431	0.00712366	0.019888	0.0358858	0.0738762	0.0964128	0.160222	0.260787	0.342558
a2	0.00336781	0.00220454	0.00245997	0.00621232	0.00998554	0.0173605	0.0422803	0.0873523	0.18668	0.2743	0.367797
a57	0.0144323	0.0109145	0.0122725	0.0203578	0.0208259	0.0341458	0.0575256	0.0891176	0.18225	0.237445	0.320713
a87	0.0454036	0.0375878	0.0378011	0.0444489	0.0421871	0.0579341	0.0863342	0.11878	0.168491	0.170665	0.190367
a99	0.0938269	0.0804123	0.0533618	0.0539293	0.0570329	0.0621635	0.0783634	0.105502	0.13427	0.140773	0.140364
a87	0.0663774	0.0695855	0.0670819	0.098485	0.0790114	0.079839	0.0849318	0.0810223	0.107965	0.135532	0.130168
a23	0.0671585	0.0623248	0.0553504	0.0769396	0.0798824	0.091048	0.103893	0.0942204	0.0918967	0.129758	0.147528
a87	0.0390264	0.0434987	0.0442172	0.0543818	0.0667638	0.092325	0.114923	0.0903289	0.121472	0.166097	0.166966
</S>	0.0175753	0.0281835	0.0415668	0.0537023	0.0665307	0.0891906	0.0973495	0.0695935	0.100212	0.19529	0.240806
