 	si	un	cadet	meurt	et	laisse	des	parcelles	il	ne	faut	pas	espérer	c'	est	l'	héritage	de	ses	enfants	</S>
a66	0.0980917	0.0851232	0.125321	0.114052	0.105336	0.0841631	0.0570712	0.0352941	0.0346678	0.0259721	0.0259647	0.0279295	0.0345347	0.0348461	0.0356656	0.0248081	0.0233719	0.0105723	0.00635377	0.00550719	0.00535379
a97	0.210905	0.154403	0.119074	0.109453	0.0618096	0.0484798	0.0221029	0.0167308	0.0080406	0.0139073	0.0132672	0.0125181	0.0204349	0.0220366	0.0235109	0.0263219	0.0188165	0.0186734	0.0241894	0.0266892	0.0286362
a30	0.180362	0.111569	0.11276	0.10517	0.0671715	0.0587077	0.0428411	0.0477796	0.0275144	0.0217404	0.0227014	0.0193312	0.0267259	0.0229459	0.0232278	0.0215798	0.0182142	0.0143552	0.0151013	0.0180815	0.0221195
a57	0.21335	0.115766	0.116719	0.0982256	0.0512622	0.0393768	0.0289159	0.0406045	0.0281419	0.0259729	0.0245233	0.0214273	0.0336733	0.0306543	0.0300414	0.0250924	0.0220363	0.013823	0.012414	0.0123123	0.0156684
a87	0.194961	0.112309	0.135728	0.114662	0.0534173	0.0402534	0.0293654	0.0366117	0.0246567	0.0229295	0.0223245	0.0210094	0.0309536	0.0312519	0.0315479	0.0259718	0.0223658	0.0142124	0.0130641	0.0106728	0.0117324
a23	0.198877	0.119092	0.130988	0.109666	0.0523606	0.0420008	0.0302231	0.0376888	0.0247835	0.022604	0.0227816	0.021048	0.029367	0.0305842	0.0312476	0.025826	0.0216812	0.0147127	0.0131496	0.0103745	0.0109432
a30	0.160705	0.0930312	0.130078	0.126906	0.0739646	0.0679785	0.0506925	0.0369684	0.0276568	0.0191023	0.0193514	0.0210924	0.0235633	0.022578	0.0253538	0.020796	0.0196296	0.016921	0.0156587	0.012931	0.0150419
a53	0.125005	0.0922567	0.13135	0.172656	0.130926	0.106312	0.062997	0.0313186	0.023258	0.0123052	0.0128225	0.0119155	0.0118412	0.0100991	0.010212	0.00784717	0.00801937	0.00954272	0.00975037	0.00941403	0.0101524
a90	0.188379	0.163783	0.150563	0.126137	0.0919456	0.0768478	0.0546269	0.0255387	0.0202473	0.00951528	0.00839952	0.00632479	0.00567068	0.00509907	0.00537717	0.00436928	0.00442282	0.00739907	0.0113438	0.0150708	0.0189396
a56	0.152148	0.15737	0.129946	0.0943422	0.0686484	0.0701407	0.0680903	0.0577475	0.0489855	0.0261507	0.0194116	0.0130418	0.0103447	0.00791453	0.00726976	0.00538037	0.00553699	0.00840552	0.0120576	0.0165688	0.0204992
