 	il	avait	brûlé	l'	herbe	dans	la	plantation	</S>
a23	0.291686	0.212176	0.151277	0.106634	0.0789356	0.0534431	0.041104	0.0315611	0.0331834
a30	0.285729	0.183582	0.146703	0.108606	0.0662912	0.0497225	0.0476836	0.0493218	0.062361
a53	0.179019	0.133785	0.140556	0.138151	0.0696954	0.0600264	0.0764969	0.0903871	0.111884
a20	0.398421	0.224766	0.131407	0.0772344	0.0378897	0.0334914	0.0328921	0.032183	0.031715
a58	0.341567	0.21904	0.164623	0.112657	0.0559889	0.0357801	0.0263734	0.0247729	0.019197
a53	0.265447	0.228219	0.197352	0.150238	0.0645665	0.0291395	0.0212951	0.023429	0.0203144
a93	0.18465	0.19778	0.196056	0.171491	0.0988807	0.0489462	0.0339754	0.0369525	0.0312687
a70	0.176436	0.200022	0.208769	0.180044	0.0962374	0.0444784	0.0293111	0.0333948	0.0313076
a11	0.132837	0.170643	0.215498	0.195718	0.107453	0.0532128	0.0366362	0.0415156	0.0464864
a0	0.10696	0.145012	0.224475	0.226166	0.137515	0.0588231	0.0348268	0.0330552	0.033168
a75	0.0928348	0.130045	0.210163	0.240236	0.159785	0.0668214	0.0361736	0.0313098	0.032632
a73	0.085386	0.112215	0.167837	0.19117	0.141184	0.0916782	0.0692297	0.0705581	0.070741
a0	0.101011	0.119942	0.146334	0.161696	0.125842	0.093442	0.0770646	0.0851224	0.0895462
a94	0.0893875	0.10421	0.142599	0.172841	0.153615	0.102143	0.0699572	0.0747117	0.0905367
a38	0.0843757	0.090378	0.118641	0.139487	0.138101	0.118799	0.096844	0.103067	0.110307
a94	0.0668547	0.0737111	0.0937396	0.108628	0.114777	0.12532	0.122054	0.139119	0.155796
a0	0.0637246	0.067829	0.0840365	0.102718	0.117318	0.133202	0.133085	0.140806	0.157281
a75	0.0538396	0.0490542	0.0583534	0.0788039	0.0988499	0.125378	0.150154	0.175597	0.209971
a73	0.0439524	0.0447066	0.052758	0.0587015	0.0651469	0.0961858	0.14255	0.21193	0.284069
a56	0.0445095	0.0470242	0.0543269	0.0551945	0.0651149	0.106407	0.154637	0.209431	0.263354
a94	0.0545674	0.0523858	0.0595916	0.065593	0.0700972	0.10427	0.16496	0.209528	0.219007
a53	0.0370861	0.0376408	0.0481075	0.0560458	0.0662514	0.0957606	0.164466	0.234982	0.25966
a93	0.0470505	0.0477923	0.0611386	0.0646911	0.073808	0.0974853	0.158178	0.216199	0.233656
a70	0.0402983	0.0387427	0.0444775	0.052033	0.0597009	0.0844604	0.163211	0.244823	0.272253
a66	0.0187576	0.0163069	0.0187487	0.0264523	0.0382461	0.0581523	0.119204	0.246511	0.457621
a54	0.00617331	0.00458759	0.00444889	0.00704688	0.0142669	0.0354694	0.101365	0.243999	0.582643
a73	0.0137568	0.0117752	0.0140852	0.0209705	0.0233331	0.037046	0.0969811	0.230363	0.551689
a84	0.00475114	0.00412629	0.00461771	0.00663298	0.00864389	0.018788	0.0692079	0.224837	0.658395
a57	0.00442052	0.00307515	0.00267047	0.00291617	0.00534769	0.0189957	0.0718721	0.222957	0.667746
a87	0.0331545	0.0197623	0.0171316	0.0149234	0.0193604	0.0572639	0.143112	0.258715	0.436576
a97	0.0249689	0.016865	0.0172749	0.0143393	0.017914	0.0543331	0.141162	0.251805	0.461337
a87	0.0965243	0.0626291	0.0607976	0.054988	0.0555148	0.099496	0.140682	0.185429	0.243938
a23	0.102357	0.0687483	0.0654804	0.0596578	0.0565748	0.09627	0.138036	0.184877	0.227998
a99	0.0475151	0.0408933	0.0523774	0.0498524	0.0574797	0.119678	0.179484	0.207001	0.245718
a87	0.0568391	0.0311784	0.0277227	0.0280464	0.0389996	0.0968818	0.176526	0.242881	0.300925
a23	0.0687896	0.0387612	0.035581	0.0309823	0.0344703	0.0732984	0.125897	0.235	0.35722
a87	0.0892426	0.0637115	0.0673611	0.0564316	0.0545858	0.105936	0.159033	0.191352	0.212346
</S>	0.0813315	0.0523471	0.0485048	0.038293	0.0377621	0.0770284	0.125133	0.21037	0.32923
