 	la	nourriture	qu'	elles	ont	préparée	est	finie	</S>
a66	0.20101	0.172226	0.177436	0.151308	0.0896273	0.0780384	0.0612293	0.0408472	0.0282785
a87	0.382752	0.17715	0.103838	0.0518967	0.0423274	0.0496431	0.0708872	0.0844157	0.0370898
a97	0.333155	0.208256	0.139307	0.0843553	0.0249381	0.0341062	0.0498054	0.0769976	0.0490797
a99	0.277138	0.261014	0.196478	0.130243	0.0337798	0.0358762	0.0281301	0.022438	0.0149022
a97	0.308765	0.268246	0.199371	0.138586	0.0250918	0.0202646	0.0148979	0.0145154	0.0102629
a87	0.318512	0.243819	0.176489	0.132763	0.040709	0.0376966	0.0228362	0.0164538	0.010721
a23	0.31565	0.230832	0.165275	0.119665	0.0447029	0.0485641	0.0341424	0.0243013	0.0168685
a18	0.348504	0.273301	0.181389	0.103047	0.0278262	0.0203342	0.0169963	0.016939	0.011664
a62	0.334247	0.226599	0.187112	0.116494	0.048689	0.0282308	0.0246612	0.0234241	0.0105435
a88	0.143568	0.173354	0.20515	0.236663	0.11646	0.0636451	0.0269628	0.0247372	0.0094605
a75	0.0890633	0.135244	0.185656	0.277347	0.151097	0.0866476	0.0328324	0.0283788	0.0137339
a5	0.0741636	0.0918042	0.134278	0.251009	0.198035	0.109924	0.0482566	0.0645979	0.0279312
a37	0.0533925	0.0741725	0.112947	0.250845	0.206531	0.130089	0.0535264	0.0758739	0.0426236
a96	0.0810284	0.0944351	0.121713	0.188147	0.180632	0.125645	0.0626577	0.0846553	0.0610862
a66	0.0636433	0.072756	0.0992401	0.150406	0.161434	0.141388	0.0964325	0.117344	0.0973563
a62	0.0239913	0.0236766	0.036295	0.0708854	0.098172	0.119675	0.148941	0.255381	0.222983
a50	0.0135333	0.0154495	0.0240878	0.047848	0.073403	0.113848	0.164798	0.269827	0.277206
a88	0.00327504	0.00278457	0.00418031	0.0128377	0.0343721	0.0879294	0.192249	0.282055	0.380317
a0	0.00464135	0.00290875	0.00390232	0.00785164	0.0240115	0.0603539	0.166698	0.24654	0.483093
a21	0.00408819	0.00216039	0.00245453	0.00368093	0.0173422	0.0541446	0.156482	0.217221	0.542426
a43	0.000863331	0.000624992	0.00068199	0.00210774	0.0112153	0.0506507	0.16582	0.227183	0.540853
a27	0.000452552	0.000258478	0.000284999	0.00071998	0.0056138	0.029081	0.118809	0.172805	0.671976
a82	0.0145686	0.00934914	0.0079912	0.00760647	0.0252465	0.0509744	0.133009	0.207104	0.544151
a10	0.0680979	0.0521015	0.0439443	0.032716	0.042101	0.0698556	0.122081	0.170553	0.39855
a87	0.202883	0.150649	0.120167	0.0761398	0.060722	0.0680994	0.0957763	0.101225	0.124338
a23	0.179482	0.123352	0.0901762	0.0648886	0.0586874	0.0674571	0.0963934	0.146715	0.172848
a38	0.0383306	0.0257805	0.022095	0.0211966	0.0225393	0.0421991	0.112051	0.1961	0.519708
a9	0.0079007	0.00583558	0.0053871	0.00850953	0.0130404	0.029879	0.0757432	0.225876	0.627828
a97	0.00441992	0.00276325	0.00265106	0.00405438	0.00701835	0.0194132	0.0713468	0.202054	0.686279
</S>	0.0137912	0.00947484	0.00968517	0.0149884	0.016631	0.0301987	0.0808463	0.229686	0.594699
