 	la	mouche	est	prise	dans	la	toile	d'	araignée	</S>
a84	0.272226	0.151679	0.0888842	0.0988312	0.0996722	0.110797	0.10454	0.0458607	0.0168512	0.0106584
a87	0.296501	0.168078	0.0982952	0.0754752	0.0585869	0.073211	0.0675226	0.0612299	0.0430203	0.0580794
a97	0.254469	0.240123	0.129461	0.0848064	0.063524	0.0661199	0.0474569	0.0340355	0.0314208	0.0485839
a83	0.248985	0.31223	0.153013	0.0974322	0.064021	0.0508281	0.028176	0.0160836	0.0111128	0.0181185
a9	0.297819	0.378767	0.138429	0.0814244	0.0401456	0.0224823	0.00974201	0.00627924	0.00853746	0.0163747
a24	0.278454	0.240703	0.158863	0.121035	0.0835873	0.0564756	0.0237446	0.0127146	0.0103498	0.0140724
a62	0.193562	0.232814	0.174728	0.131935	0.103823	0.0808668	0.040065	0.0212361	0.0109648	0.0100046
a12	0.17776	0.229294	0.20324	0.149679	0.106439	0.071741	0.0328974	0.0160754	0.00679735	0.00607735
a47	0.139721	0.191269	0.208468	0.165021	0.122942	0.0902724	0.0451572	0.0215484	0.00833607	0.00726609
a88	0.114844	0.148643	0.172857	0.153594	0.139076	0.127124	0.069569	0.0400812	0.0177996	0.0164122
a75	0.0532042	0.0683381	0.121473	0.143651	0.167392	0.177229	0.131858	0.0831428	0.0289465	0.0247649
a25	0.061276	0.0566062	0.10557	0.135764	0.169893	0.178829	0.137	0.0829877	0.0387094	0.0333634
a90	0.0378127	0.0268935	0.0593178	0.0927891	0.146487	0.19099	0.179675	0.115377	0.0745424	0.0761167
a4	0.0301576	0.024313	0.0484942	0.0710854	0.112569	0.17338	0.219829	0.147369	0.0874966	0.085307
a94	0.0258991	0.0146644	0.0244553	0.0400064	0.0849631	0.175155	0.253945	0.180406	0.103479	0.097027
a75	0.0132021	0.0081996	0.0133898	0.0208415	0.0473512	0.134706	0.245539	0.225473	0.147476	0.143822
a85	0.00414436	0.00276428	0.00371164	0.00528857	0.0106696	0.0374022	0.095542	0.165641	0.336829	0.338008
a47	0.00569448	0.00345012	0.00445325	0.00669764	0.0125276	0.0371265	0.108471	0.1735	0.331801	0.316278
a36	0.00483204	0.00277404	0.00369659	0.00494369	0.00856362	0.0257682	0.0803545	0.173742	0.29782	0.397505
a6	0.00925459	0.00511365	0.00682573	0.00895892	0.013263	0.0267559	0.0649941	0.153105	0.275618	0.436111
a36	0.00271705	0.00126893	0.00190202	0.00262885	0.00468645	0.0108788	0.032566	0.107257	0.327489	0.508606
a6	0.00476685	0.002224	0.00316094	0.00417676	0.00591311	0.0109043	0.0222362	0.0750165	0.305212	0.56639
a36	0.00103955	0.000475766	0.000795875	0.00113967	0.00225209	0.00561734	0.0176218	0.0799684	0.375997	0.515093
a26	0.000824838	0.000353168	0.000577645	0.000795989	0.00138583	0.00306453	0.00770562	0.0395703	0.329797	0.615925
a57	0.00127516	0.000549555	0.000708395	0.000860581	0.00111295	0.00229162	0.00542906	0.0282113	0.289324	0.670237
a87	0.0179777	0.00793743	0.00837097	0.00876501	0.00952314	0.0146791	0.0292767	0.0842473	0.298328	0.520894
a23	0.125969	0.0524938	0.0357647	0.030205	0.0260699	0.0320116	0.0628869	0.12784	0.228731	0.278027
a97	0.0996879	0.037226	0.0273933	0.0237292	0.0197704	0.0220532	0.0411912	0.100324	0.268681	0.359944
a99	0.0397779	0.0197575	0.0158556	0.0134583	0.0134529	0.0212519	0.0479013	0.0952681	0.260876	0.472401
a97	0.0677542	0.0443888	0.0316613	0.0238518	0.0213717	0.0304105	0.0504262	0.0831876	0.218717	0.428231
a87	0.130004	0.0930086	0.0670971	0.0473003	0.043175	0.0483095	0.061466	0.0797647	0.149745	0.28013
a23	0.153815	0.11812	0.08776	0.061556	0.0470962	0.04984	0.0643354	0.0745933	0.1163	0.226584
a99	0.0566521	0.0379664	0.036851	0.0348187	0.0319739	0.0444457	0.071645	0.108495	0.209506	0.367646
a97	0.0505706	0.0385628	0.0409086	0.0411578	0.0495393	0.0667831	0.104312	0.132012	0.209083	0.26707
</S>	0.0565236	0.0451507	0.0468483	0.0435946	0.0500957	0.0566637	0.0758469	0.0909966	0.189487	0.344793
