 	la	manière	dont	cette	huile	s'	est	fondue	il	ya	certainement	quelqu'	un	qui	l'	a	chauffée	</S>
a66	0.081939	0.0460377	0.0453024	0.0981383	0.111392	0.105323	0.100346	0.115434	0.0888306	0.0691697	0.0447541	0.0395169	0.0162889	0.0119914	0.00696538	0.00647485	0.00628584	0.00581084
a87	0.310615	0.218778	0.131902	0.0628107	0.0566679	0.0379809	0.0342255	0.0316033	0.0261918	0.0179847	0.00873682	0.0101731	0.00999945	0.00963242	0.00767084	0.00850352	0.00787509	0.0086496
a23	0.292376	0.223461	0.123141	0.0807202	0.0584381	0.0442434	0.0363484	0.0381158	0.0250235	0.0202279	0.0125082	0.0117217	0.00646616	0.0055413	0.00388664	0.00465977	0.00584291	0.00727796
a18	0.237436	0.299289	0.186438	0.0893323	0.0435638	0.0279146	0.0193395	0.0201907	0.0132259	0.0117163	0.00786617	0.00720326	0.00573712	0.0051323	0.00402615	0.00468204	0.00631411	0.0105931
a83	0.193323	0.224045	0.193699	0.123886	0.0576638	0.0384567	0.0241636	0.0234295	0.0161623	0.0120693	0.00988012	0.00952636	0.0105101	0.0102976	0.0107955	0.0115836	0.012667	0.0178411
a36	0.380387	0.234908	0.140218	0.0928359	0.0440447	0.0223449	0.0129697	0.0122566	0.0100987	0.0070165	0.00461791	0.00371258	0.00452995	0.00479306	0.00513817	0.0063123	0.00658407	0.00723178
a37	0.354044	0.276178	0.129462	0.0848336	0.0419583	0.0213856	0.0120672	0.0134638	0.0112119	0.00787708	0.0055697	0.0043749	0.00503588	0.00569918	0.00593492	0.00723868	0.00712552	0.00654004
a26	0.263606	0.267347	0.147272	0.0994931	0.0531742	0.0307488	0.0179735	0.0204601	0.0134418	0.01148	0.00963799	0.00757837	0.00735694	0.00786901	0.00878536	0.010753	0.0117806	0.0112427
a24	0.154971	0.169036	0.129488	0.125795	0.0621898	0.0425318	0.0274083	0.0316677	0.0214242	0.0190655	0.0183449	0.0140881	0.0159266	0.0182213	0.0257855	0.0362316	0.0442093	0.0436148
a88	0.103528	0.105599	0.121479	0.130959	0.0671111	0.0532466	0.0376872	0.0421756	0.0277762	0.025947	0.0275191	0.0225784	0.0225664	0.0252392	0.0360773	0.0458086	0.0535521	0.0511485
a24	0.107539	0.102548	0.126904	0.118044	0.0684383	0.0554896	0.0401511	0.0444573	0.0265958	0.0261391	0.0268488	0.0233034	0.0217159	0.0234581	0.0358975	0.0458851	0.0545632	0.0520217
a62	0.102337	0.105865	0.134279	0.124843	0.0824531	0.0667988	0.0486119	0.0527433	0.0285829	0.0265356	0.0252275	0.0205245	0.0184728	0.0195567	0.0290079	0.0354094	0.0399546	0.0387968
a12	0.0642138	0.0884862	0.126397	0.116836	0.101312	0.0889708	0.0683695	0.0726845	0.0461233	0.0423068	0.0415628	0.0354303	0.019022	0.0164594	0.0177657	0.0180824	0.018922	0.0170548
