 	le	fleuve	est	maintenant	calme	</S>
a66	0.420946	0.219712	0.10223	0.0707676	0.0965797	0.0897642
a87	0.317	0.217349	0.198354	0.150877	0.0730586	0.0433613
a23	0.62394	0.269775	0.053353	0.0188056	0.0164887	0.0176382
a87	0.542937	0.308133	0.0626791	0.0239879	0.0288736	0.0333894
a23	0.552234	0.331383	0.0704006	0.0164306	0.0136992	0.0158527
a99	0.495695	0.234375	0.0703766	0.0476006	0.0670888	0.0848641
a75	0.397251	0.236175	0.102533	0.0697959	0.0876053	0.10664
a5	0.266929	0.285156	0.181575	0.132511	0.0926953	0.0411341
a12	0.265392	0.265668	0.198169	0.144249	0.0876151	0.0389071
a5	0.205601	0.221561	0.228839	0.187888	0.106847	0.0492633
a21	0.163358	0.182284	0.218345	0.21065	0.148108	0.0772547
a75	0.150624	0.155236	0.175026	0.183737	0.204801	0.130575
a98	0.0906585	0.0920963	0.136128	0.193907	0.266162	0.221048
a79	0.0305544	0.0364831	0.0768288	0.17464	0.327259	0.354234
a25	0.0160119	0.0142909	0.0268562	0.106876	0.367246	0.468719
a92	0.00314739	0.00194653	0.00474163	0.0417532	0.271018	0.677393
a56	0.00137605	0.000793411	0.00229493	0.0148863	0.182045	0.798604
a44	0.0050096	0.00259385	0.00510208	0.0140763	0.107639	0.86558
a57	0.00277344	0.00129793	0.00357061	0.0129821	0.0958954	0.883481
a82	0.00661917	0.00419229	0.00708295	0.0230838	0.132236	0.826786
a87	0.283838	0.160971	0.0767573	0.0660794	0.133917	0.278436
a23	0.326486	0.211115	0.143057	0.0787566	0.088935	0.15165
a87	0.19555	0.136117	0.0808861	0.0570056	0.128067	0.402374
a23	0.045092	0.0305918	0.0214633	0.0358313	0.191996	0.675025
a87	0.0520222	0.0678239	0.0856255	0.0927485	0.231409	0.470371
</S>	0.0490492	0.0758859	0.102662	0.122071	0.237914	0.412418
