 	il	est	bon	pour	une	famille	d'	avoir	planté	le	dzakumba	dans	la	parcelle	</S>
a15	0.0594433	0.0448356	0.0296268	0.033827	0.0494126	0.0783636	0.136169	0.145999	0.170225	0.124396	0.0926575	0.018038	0.00799862	0.00491834	0.00408991
a87	0.0542595	0.0420934	0.0357981	0.0395387	0.0568984	0.0728547	0.118473	0.122389	0.144978	0.121434	0.110533	0.0329317	0.0194365	0.0157111	0.0126708
a10	0.19697	0.106966	0.0689896	0.0540378	0.0421559	0.0360737	0.0350717	0.0350947	0.0522952	0.0733422	0.0855063	0.0511503	0.0457724	0.0555768	0.0609973
a50	0.213162	0.109627	0.0752634	0.061632	0.0539678	0.0547907	0.0525893	0.0499693	0.0731586	0.101053	0.0784803	0.0222503	0.017575	0.0181931	0.0182879
a9	0.145906	0.0938528	0.0716564	0.0629666	0.0544129	0.0575565	0.0642043	0.0548434	0.0741514	0.129558	0.0913812	0.0265075	0.0263237	0.0232122	0.023468
a40	0.17079	0.109155	0.0732007	0.0613163	0.0451014	0.0426361	0.0430629	0.0342603	0.0576656	0.114803	0.107406	0.0418941	0.0402447	0.0310719	0.0273929
a90	0.160785	0.146577	0.119571	0.091467	0.0533014	0.0433073	0.0283961	0.0183514	0.0162634	0.0225232	0.0426399	0.0467273	0.0662333	0.0668063	0.07705
a92	0.204523	0.214529	0.155565	0.104441	0.0524904	0.0449106	0.0306289	0.02108	0.0208676	0.0212229	0.0327619	0.0302476	0.0266319	0.0199121	0.020188
a85	0.160791	0.185675	0.152699	0.117874	0.0697624	0.061293	0.046251	0.0336339	0.0302053	0.0254272	0.0354243	0.0281034	0.0215385	0.0153357	0.0159863
a18	0.108981	0.127216	0.13213	0.141254	0.113069	0.0970385	0.0737203	0.0541763	0.0443557	0.027579	0.0281214	0.0160429	0.0123829	0.0109098	0.0130229
a11	0.0718301	0.0805896	0.104834	0.136161	0.143838	0.128888	0.0958123	0.0660323	0.051605	0.0296327	0.0334709	0.0199395	0.0138234	0.0116903	0.0118536
a62	0.0671733	0.0739627	0.0925393	0.110551	0.118019	0.106467	0.0889379	0.069273	0.0474262	0.0293614	0.0348205	0.0367016	0.0364737	0.0401906	0.0481035
a66	0.0669514	0.0713965	0.0990572	0.123658	0.1411	0.13237	0.116058	0.0923657	0.0578858	0.0263977	0.0205364	0.0154209	0.0118876	0.0117279	0.0131865
a61	0.0308304	0.0335969	0.0516731	0.0681727	0.103321	0.121481	0.122546	0.108205	0.0758353	0.0538462	0.0451345	0.0447994	0.0393052	0.0460122	0.055241
a21	0.0390118	0.042275	0.0608382	0.0823257	0.119998	0.130137	0.141525	0.131843	0.0673485	0.0354939	0.0248561	0.0271449	0.0245693	0.0309584	0.0416755
a66	0.0744197	0.0722516	0.0806688	0.0889831	0.0952088	0.114558	0.142518	0.124339	0.0762671	0.044455	0.0291294	0.0221041	0.0120134	0.0108829	0.0122014
a75	0.0202612	0.0215676	0.0301793	0.0376991	0.0578117	0.0835703	0.132666	0.157298	0.0901059	0.0680499	0.0432627	0.0516595	0.0552993	0.0671238	0.0834464
a44	0.0417858	0.0439361	0.0520114	0.0651085	0.0758564	0.0989352	0.147689	0.153409	0.0875132	0.0541814	0.0318521	0.028548	0.0283603	0.0380105	0.0528035
a82	0.0257347	0.0268394	0.0340386	0.0410565	0.0515919	0.0671207	0.101848	0.130501	0.0820622	0.0728369	0.0497239	0.0661933	0.0675242	0.0801641	0.102765
a38	0.0117246	0.0123578	0.0137923	0.0153371	0.021129	0.0355528	0.103245	0.187811	0.117416	0.107955	0.0531595	0.051681	0.062499	0.0825401	0.123799
a99	0.0206219	0.0212048	0.0230891	0.0243948	0.0291552	0.0411843	0.0955833	0.158397	0.10932	0.0996602	0.0542014	0.0589654	0.0614491	0.0779854	0.124789
a98	0.0132935	0.0133588	0.0152525	0.0165484	0.0198356	0.0284898	0.0673815	0.115189	0.0807904	0.0829095	0.0538622	0.0754368	0.0977053	0.123876	0.196072
a56	0.0277703	0.0273171	0.0358317	0.0433184	0.0435978	0.0425621	0.0519691	0.0580521	0.031914	0.0348996	0.0251972	0.0540246	0.0962523	0.151963	0.275331
a11	0.0139576	0.0142226	0.0193115	0.0237057	0.0261046	0.0318153	0.0464992	0.0558419	0.0290527	0.0340059	0.021676	0.049375	0.119593	0.192589	0.32225
a21	0.00278152	0.00276045	0.0038556	0.00474086	0.00641013	0.0088232	0.0160134	0.0257324	0.0185019	0.0251377	0.0256506	0.0652656	0.155919	0.252035	0.386373
a96	0.0174362	0.0172254	0.0186736	0.0219568	0.0238471	0.0304081	0.0436981	0.0494141	0.0314193	0.0349564	0.0240816	0.0586117	0.126894	0.195939	0.305439
a11	0.00106523	0.00111878	0.00166257	0.00220694	0.00321947	0.00431642	0.00736222	0.0118652	0.00897081	0.0123067	0.0152767	0.0500309	0.138989	0.280849	0.460761
a83	0.000670632	0.000617947	0.000825396	0.000981438	0.00130674	0.00172383	0.00414814	0.00830296	0.00799266	0.0159748	0.0225029	0.0541754	0.127343	0.259367	0.494068
a99	0.00118859	0.0010145	0.00101006	0.00111673	0.00137949	0.00186627	0.00491344	0.00994522	0.0107752	0.0224072	0.0245151	0.0510782	0.119626	0.253946	0.495218
a9	0.00344582	0.00255564	0.00187738	0.00188509	0.00194553	0.00236192	0.0057252	0.0109161	0.0134418	0.0312255	0.0358311	0.0569501	0.117082	0.258509	0.456249
a87	0.0421839	0.0261844	0.0184891	0.0186483	0.0155544	0.0146372	0.0254445	0.0333548	0.0361408	0.0632886	0.0568557	0.0641015	0.0975656	0.198978	0.288573
a10	0.0652916	0.0382729	0.0210949	0.0211313	0.0207591	0.0231294	0.0420527	0.0655055	0.0941736	0.148646	0.109966	0.0675501	0.0689651	0.107552	0.10591
a87	0.0723196	0.0466678	0.0227617	0.0207333	0.0199148	0.0271953	0.0523172	0.074553	0.101312	0.126219	0.10273	0.0694353	0.0714456	0.0981758	0.0942196
a23	0.0757389	0.052197	0.026884	0.023439	0.0206371	0.0263654	0.0476886	0.0663825	0.0819307	0.0931312	0.0855893	0.0711678	0.0780872	0.111638	0.139124
a99	0.0454165	0.0319528	0.0241204	0.0225774	0.0182561	0.0156693	0.0210683	0.02705	0.0322779	0.0411539	0.0473774	0.0658008	0.108887	0.212279	0.286114
a87	0.0452862	0.0317431	0.0271339	0.0269704	0.0249878	0.0243036	0.029766	0.0317778	0.034046	0.0416425	0.0413105	0.0673105	0.112289	0.193989	0.267444
</S>	0.0355468	0.0260546	0.0222369	0.0201083	0.0188035	0.0188489	0.0238817	0.0269545	0.0225187	0.0253901	0.0213938	0.0448008	0.0919955	0.199569	0.401896
