 	l'	arachide	s'	est	gâtée	</S>
a66	0.343742	0.244991	0.173565	0.127003	0.0653256	0.045373
a87	0.286168	0.21373	0.188504	0.170466	0.10131	0.0398212
a23	0.265883	0.237495	0.249327	0.169765	0.0557239	0.021806
a18	0.240807	0.208935	0.246551	0.16635	0.0866264	0.0507311
a50	0.196773	0.179141	0.260828	0.209083	0.104818	0.0493568
a34	0.274637	0.239959	0.252	0.190076	0.0355239	0.00780365
a56	0.19015	0.183105	0.260228	0.278773	0.077068	0.0106755
a96	0.1125	0.126838	0.220691	0.31726	0.176412	0.0462984
a18	0.0719745	0.0765818	0.125983	0.246023	0.336144	0.143293
a61	0.0442324	0.0413169	0.0602962	0.131708	0.431195	0.291252
a31	0.0564598	0.0479299	0.054823	0.0974111	0.389051	0.354326
a0	0.0193277	0.0125521	0.0122248	0.0313925	0.245568	0.678935
a11	0.00887248	0.00549781	0.00516855	0.0104737	0.103291	0.866697
a93	0.00858593	0.00590823	0.0076222	0.0164097	0.0873565	0.874117
a70	0.00758247	0.00534871	0.00783721	0.0214259	0.107649	0.850157
a13	0.00836269	0.0074924	0.0123493	0.0280607	0.11498	0.828755
a3	0.0647229	0.0445773	0.0436952	0.0475839	0.104243	0.695178
a97	0.342782	0.258869	0.179997	0.0920173	0.0525706	0.0737635
a87	0.305955	0.279345	0.210187	0.108902	0.0442672	0.0513447
a23	0.26349	0.23495	0.201024	0.118881	0.0681859	0.113469
a97	0.126007	0.088861	0.100825	0.11073	0.138969	0.434607
a99	0.0421716	0.0300272	0.0364178	0.0553357	0.144748	0.6913
a97	0.0521628	0.0425065	0.0625279	0.0961197	0.183914	0.562769
</S>	0.0738295	0.0584639	0.0664617	0.0788038	0.157896	0.564545
