 	les	fous	préparent	la	nourriture	pour	eux-	mêmes	</S>
a23	0.17808	0.197751	0.175823	0.148516	0.136962	0.0890005	0.040667	0.0188466	0.0143546
a83	0.2594	0.208842	0.199599	0.13463	0.0842862	0.0421001	0.0246452	0.0266771	0.0198202
a50	0.212647	0.196416	0.234597	0.161859	0.0898941	0.0421956	0.0291834	0.0153891	0.0178185
a70	0.279288	0.194854	0.179506	0.145677	0.0968414	0.0392958	0.0310009	0.0154427	0.0180941
a93	0.240719	0.211049	0.206737	0.150571	0.105959	0.0342821	0.0206083	0.0123908	0.0176844
a90	0.168575	0.186436	0.200814	0.145419	0.130769	0.0525593	0.0352734	0.0302234	0.0499315
a69	0.132852	0.161784	0.188042	0.137078	0.146903	0.0802801	0.0486026	0.0406059	0.0638528
a4	0.120068	0.159592	0.211084	0.154374	0.15774	0.0849361	0.0417514	0.0296915	0.0407625
a93	0.131206	0.161532	0.195377	0.142549	0.153038	0.0833991	0.0449036	0.0350606	0.052935
a4	0.130105	0.156418	0.178573	0.132437	0.147836	0.089527	0.0506377	0.0431336	0.0713323
a62	0.117757	0.150248	0.174628	0.141816	0.163545	0.105854	0.047385	0.0384918	0.0602745
a34	0.122772	0.153279	0.181351	0.150264	0.170531	0.107327	0.0442137	0.0292468	0.0410167
a75	0.0897673	0.122319	0.17099	0.131958	0.144235	0.131743	0.0766146	0.0525936	0.0797793
a44	0.0866992	0.115743	0.166766	0.117647	0.110756	0.104706	0.0823248	0.0726988	0.142659
a98	0.0831478	0.101327	0.14491	0.112638	0.108507	0.12686	0.101425	0.0805818	0.140603
a44	0.0895135	0.108399	0.145613	0.0973465	0.0774948	0.089995	0.091509	0.0913833	0.208746
a66	0.0758155	0.0930126	0.11511	0.0812153	0.0678961	0.106257	0.134132	0.110204	0.216357
a21	0.0316508	0.047835	0.089603	0.0585305	0.0472138	0.097906	0.191416	0.158524	0.27732
a92	0.10353	0.0870572	0.0903296	0.0733763	0.0824813	0.119258	0.158082	0.114341	0.171544
a56	0.0691566	0.0638297	0.0539838	0.0336942	0.0279972	0.0474878	0.0937972	0.168086	0.441968
a90	0.0367024	0.0304523	0.0282551	0.018439	0.0149708	0.0364348	0.10339	0.225173	0.506183
a93	0.0170992	0.016588	0.0168657	0.00994759	0.00749069	0.0225127	0.0847574	0.2371	0.587639
a13	0.0064862	0.00571691	0.00771489	0.00557804	0.00471043	0.0145082	0.0554075	0.2201	0.679778
a62	0.00420541	0.00394599	0.0062945	0.0044332	0.00339114	0.0118201	0.0517928	0.219898	0.694219
a21	0.00669743	0.0047909	0.00645337	0.00465816	0.00419488	0.0142359	0.059321	0.26383	0.635819
a92	0.00897325	0.00623369	0.00821852	0.00601215	0.00546107	0.0163948	0.0573205	0.220663	0.670723
a34	0.00381615	0.00259899	0.00346279	0.00295286	0.00340219	0.010624	0.0383153	0.183482	0.751345
a21	0.00230406	0.0015677	0.00209653	0.00191097	0.00220632	0.00758449	0.0325921	0.198004	0.751734
a96	0.00371339	0.00263048	0.003874	0.00342318	0.0036991	0.0118782	0.0448585	0.212036	0.713887
a71	0.0032139	0.00196414	0.00212803	0.00214446	0.00262852	0.00780541	0.0341679	0.193244	0.752704
a9	0.0459788	0.0230338	0.0211906	0.0202494	0.0123646	0.0243236	0.0703217	0.233554	0.548983
a87	0.0563915	0.0304197	0.0244696	0.0246225	0.0169479	0.0369003	0.076617	0.261507	0.472125
a23	0.0932302	0.0531281	0.0444437	0.0573113	0.0540192	0.0731999	0.0971361	0.220182	0.30735
a87	0.024892	0.0181057	0.0133382	0.0139129	0.0151145	0.0265267	0.0733121	0.201278	0.61352
</S>	0.003398	0.00318565	0.00475222	0.00550697	0.0070309	0.0159439	0.0445087	0.221381	0.694293
