 	ces	exerices	sont	encore	non	résolus	</S>
a66	0.228361	0.129487	0.136256	0.180487	0.158563	0.12673	0.0401146
a87	0.333446	0.269585	0.16415	0.111003	0.0597485	0.045557	0.0165114
a23	0.358197	0.384308	0.13119	0.0802774	0.0271153	0.0101991	0.00871332
a83	0.317565	0.496368	0.0833716	0.0499648	0.0264635	0.0164412	0.0098259
a9	0.364938	0.396162	0.0699771	0.0522765	0.0330757	0.044668	0.0389026
a24	0.33883	0.211561	0.0819674	0.0813816	0.0824064	0.117741	0.0861126
a70	0.206848	0.161186	0.0885627	0.0965944	0.111029	0.189962	0.145817
a56	0.0802339	0.0983945	0.0921465	0.104424	0.148257	0.269754	0.206789
a44	0.081674	0.155292	0.144018	0.171244	0.210395	0.163952	0.0734254
a62	0.0545343	0.135599	0.164705	0.202079	0.242785	0.139647	0.0606508
a31	0.0305668	0.115682	0.150451	0.194914	0.238116	0.145009	0.125261
a83	0.0275821	0.0861949	0.142577	0.190454	0.253038	0.165191	0.134963
a18	0.0216949	0.0563105	0.1311	0.185964	0.26623	0.183961	0.154739
a50	0.0170049	0.0361282	0.118787	0.162126	0.223305	0.199184	0.243464
a0	0.0134741	0.0259449	0.0864629	0.117013	0.175052	0.244987	0.337066
a24	0.00772178	0.0109388	0.0491307	0.0765171	0.133079	0.261681	0.460931
a62	0.00344475	0.00542515	0.0199688	0.037202	0.100296	0.315934	0.517729
a88	0.00248562	0.00460332	0.018414	0.0378723	0.101716	0.303799	0.53111
a90	0.000696827	0.00119792	0.00433696	0.00881859	0.0273182	0.144788	0.812843
a93	0.0011957	0.00195218	0.00651088	0.0142563	0.0438453	0.177223	0.755017
a90	0.000942909	0.00119416	0.00570591	0.0119449	0.0329699	0.130785	0.816457
a4	0.000539915	0.00078484	0.00450339	0.00981115	0.0323405	0.144918	0.807102
a53	0.000266691	0.000261983	0.00153936	0.00283067	0.0121659	0.0890843	0.893851
a4	0.000144812	0.000135058	0.000791362	0.0013739	0.00731281	0.0631566	0.927085
a13	0.000270086	0.000207156	0.00121014	0.00175835	0.00853094	0.0659812	0.922042
a82	0.000257259	0.000193677	0.000760026	0.000916058	0.00509092	0.0603721	0.93241
a97	0.00690129	0.00303933	0.00575986	0.00606828	0.0174465	0.0961491	0.864636
a87	0.0913416	0.0564384	0.114953	0.0887129	0.0714	0.126254	0.450901
a23	0.113008	0.0871524	0.132918	0.113326	0.105869	0.0974958	0.35023
a97	0.0634708	0.0540629	0.086429	0.0880794	0.0962067	0.149272	0.462479
a87	0.0138287	0.0249252	0.10436	0.126597	0.113878	0.119401	0.49701
a23	0.02062	0.0427383	0.123215	0.151823	0.133819	0.133411	0.394374
a87	0.0246948	0.0260583	0.0790723	0.113826	0.119965	0.163652	0.472732
</S>	0.0221147	0.0285117	0.0718626	0.0936278	0.0978388	0.1554	0.530644
